"","Arabidopsis-1d.1","Arabidopsis-1d.2","Arabidopsis-1d.3","Arabidopsis-1d.4","Arabidopsis-00h.1","Arabidopsis-00h.2","Arabidopsis-00h.3","Arabidopsis-00h.4","Arabidopsis-02h.1","Arabidopsis-02h.2","Arabidopsis-02h.3","Arabidopsis-02h.4","Arabidopsis-04h.1","Arabidopsis-04h.2","Arabidopsis-04h.3","Arabidopsis-04h.4","Arabidopsis-4d.1","Arabidopsis-4d.2","Arabidopsis-4d.3","Arabidopsis-4d.4","Arabidopsis-p5h.1","Arabidopsis-p5h.2","Arabidopsis-p5h.3","Arabidopsis-p5h.4"
"phenylalanine",0.000273331292937667,0.000254305242634768,8.79602805641295e-05,0.000189719359121646,0.00011873723631457,7.63181801554073e-05,3.22805003742166e-05,7.3093406074908e-05,0,0.000146977529834731,0.000130602095429174,0,0.000583813914756057,0.00029788259577496,0.00012610563615207,0.00029172973003712,0.000310497443842056,0.000370594471942876,0.000163155667593968,0.000145341538309281,8.58797606288611e-05,0.000316941085554844,1.73211117470944e-05,0.00023979128002101
"pipecolic acid",6.46125752034575e-06,9.53580426322095e-06,1.54651842381862e-06,4.80790105447377e-05,0,0,0,0,0,0,0,8.58538740453151e-06,4.28509334274764e-06,0,4.23848814099726e-06,0,0.00125891410610293,0.000192186254436781,0.000108864870092776,4.11477768673505e-05,0,0,0,0
"proline and unresolvable, unidentified isomers",0.00020034070404256,0.00025462199679301,9.49461154156722e-05,0.0001576262052,5.26814149790712e-06,1.08891876698228e-06,0,3.02367411671747e-05,0,3.99709365403686e-05,5.03974636924762e-05,1.62533837114042e-05,0.000184425935342634,0.000152069602529302,9.30295455835912e-05,0.000162442161791156,0.00508113111323421,0.00595183307617578,0.00021487219104252,0.002784215605108,4.52062298745538e-05,7.09612508836554e-05,0,0.00028511727771941
"pyridoxine",0.0230702327780146,0.0474233466992933,0.0316366915147382,0.0343669253617443,0.0215823726549493,0.000144382721035568,6.54879293170259e-05,0.000285038374890228,0,0.00390583985511683,0.00349033996807494,0.0118796793666163,0.008430513645365,0.0132811397944971,0,0.00902029685104844,0.0445299026102063,0.046349289164519,0.0616494481841397,0.0759614897935071,0.0203305103169274,0,0,0.0101321862087429
"sarcosine",0.00934408751155799,0.000485863053055932,0.00525029495389786,0.00095685412288656,9.19199348026682e-05,7.27724398871652e-05,4.25033079051139e-05,7.68451331823502e-05,0,0.000473709183297078,0.00041785571249127,0,0.000917760227628399,0.000484642366754331,0.00043780699323593,0.00933076408326118,0.0146264487923164,0.0144307194092068,0.000700946603742468,0.00018496971195552,2.75460066405218e-05,0.000243751974783848,9.32571992163774e-05,0.000153929490212317
"threonine",0.0070487026357363,0.0115344666490468,0.00330643791675784,0.000636214587184365,0.000439662140809507,0.000238857872113782,0.000124005902578987,0.000307212621940134,0,0,0,0,0.000846555240795941,0.000599891115566733,0.000461694151908904,0.000881480330344807,0.0194236851504047,0.0247878085373882,0.0105053846743235,0.00800201039617835,0.000409065106852936,0.000704442148308742,0.000147096078937497,0.000654827564118321
"thymidine",1.6124893300758e-05,8.02940866371845e-05,2.07584572648096e-05,4.49176602297635e-05,4.29057318530332e-05,1.56209081828555e-05,5.00784672773405e-05,5.69515034707765e-05,3.81597352422072e-06,0,7.06051527131737e-06,0,7.18155615259408e-05,9.61862038835767e-05,2.18318867297257e-05,0.000112799865832375,1.09482527263222e-05,2.76639109129592e-05,1.76045002313088e-05,2.54570957153969e-05,2.05463128408111e-05,2.85440771070704e-05,0.000115464356268026,2.88670099426404e-05
"trigonelline and unresolvable, unidentified isomers",8.46241377226731e-07,3.49073522406466e-06,2.38236901379332e-07,6.27174944883522e-06,0,0,0,0,1.29077595866209e-05,1.80647249479035e-06,1.05720052951236e-06,0,1.53895398901297e-05,0,0,0,0,0,0,0,0,0,0,0
"tyrosine",0.00504401693252655,0.00606096636647854,0.000226254917251401,0.00048937179881962,6.77846441688969e-05,5.58686442933173e-05,7.71139942533532e-05,5.18743044005837e-05,0,0.000126077791349886,0.000134982879923038,5.08926344205426e-05,0.000484437492989257,0.000274745989906945,0.000218961974106185,0.000385713881455899,0.0136257027213362,0.0171580115639726,0.0098013490851829,0.00719174456061472,5.9754223601167e-05,0.000165119381178875,3.52917957500749e-05,0.000153442199683065
"unidentified isomer of 3-hydroxyanthranilic acid",0,2.95041361420689e-06,0,0,0.000122333077192713,8.87177010584543e-05,0.000977151156920815,0.000238258674215221,9.81486859909041e-05,0,0,0,0,4.54016258733955e-06,0,9.58466462245438e-07,0,0,0,9.62195110935622e-07,2.96411784113647e-05,3.92404056672616e-05,0,8.53988226114934e-05
"unidentified isomer of cytidine",0.0522342575286119,0.0873314002103779,0.0554020785673925,0.0556797176479647,0.0587231064022759,0.0334253528353627,0.0380785864884078,0.0540607963046642,0.0246463862152335,0.0114454876651316,0.013323904603006,0,0.0470724661934959,0.0617369554593032,0.0312858291771079,0.0588155529406017,0.0430908951896587,0.0362576399562819,0.0406577722205754,0.069278788706001,0.043140286310611,0.0442602351191498,0.00140627757264304,0.0344576088649204
"unidentified isomer of nicotine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145992808508694,0,0,0
"unidentified isomer of nicotinic acid",0.0298999516081388,0.00311983041571299,0.023523165128838,0.0190758942553623,0.00124579995553661,0.000481468414877011,2.81175440870964e-06,0.0144288360469137,6.33513339409792e-05,0.00045933505853619,0.000586473694022236,4.90838943816874e-05,0.000741511302833685,4.85572502276361e-05,0.00841358401675779,0.012013419926254,0.0402091488342341,0.0557289956230254,0.084106159805355,0.0079528747121091,2.91434581979523e-05,0.000312617538679884,0.000268361361263275,0.000366233222683246
"unidentified isomer of valine",0,0.000127451273770687,0,0,0,0,0,0,0,0,0,0,0.00161322948031253,0.00146186542965168,0,0,0.00471692146034545,0.00651457673474329,9.1225510087668e-05,0.00324628902243658,0,0,0,0
"uracil",0.00335348128839929,0.000355863147265659,0.000329197097186555,0.000498132969085309,0.000354992696391738,0.00016580559638067,0.000173864320911102,0.00363233238328085,0,0.000730807972007071,0.0135518650422127,0.0106348749008101,0.000856407155156656,0.00741033218235555,0.000278407894592562,0.0138185891511748,0.000255591639278041,0.00325741857531529,0.000326638714128755,0.000281845558973905,0.000261441311551991,0.000440568635543533,6.24979562941341e-05,0.0039576681073912
"vanillic acid",1.38458940731631e-05,1.99291630067246e-05,3.6120929142907e-05,2.08832160656849e-05,2.58705038077438e-05,1.12709808425295e-05,2.77395283535822e-06,4.64125819405414e-05,6.2646659443984e-05,4.07366291961113e-06,7.12048784540207e-06,7.66088377868294e-06,4.72014647879782e-06,5.49769767064978e-06,1.53276146617706e-06,4.63985594001832e-07,0,0,0,0,1.07629475039576e-06,6.28223850165823e-06,0,1.08754796806095e-05
"xanthine",0,5.23238112866424e-05,0,0,0,0,0,0,0,0,0,0.0269168919248012,0.00443132779043746,0,0.00327321992051103,0,0,0.00157518061758027,0.00219242817344708,3.66024759038623e-05,0,0,0,0
