"","Arabidopsis-1d.1","Arabidopsis-1d.2","Arabidopsis-1d.3","Arabidopsis-1d.4","Arabidopsis-00h.1","Arabidopsis-00h.2","Arabidopsis-00h.3","Arabidopsis-00h.4","Arabidopsis-02h.1","Arabidopsis-02h.2","Arabidopsis-02h.3","Arabidopsis-02h.4","Arabidopsis-04h.1","Arabidopsis-04h.2","Arabidopsis-04h.3","Arabidopsis-04h.4","Arabidopsis-4d.1","Arabidopsis-4d.2","Arabidopsis-4d.3","Arabidopsis-4d.4","Arabidopsis-p5h.1","Arabidopsis-p5h.2","Arabidopsis-p5h.3","Arabidopsis-p5h.4"
"ferulic acid",356376.49121,400051.24121,443351.49121,518379.17871,27621.1782246667,23707.8598646667,6980.20166466667,53309.3735346667,187675.177116417,608068.583316417,375706.020816417,88176.8958164167,591108.989585333,167049.520885333,410163.864585333,496225.958385333,1918932.19286439,2789738.19286439,1745848.19286439,1768447.31786439,69600.81712875,95033.03587875,63373.80931875,137668.59837875
"glucuronolactone",778208.769523333,137900.300823333,0,179013.269523333,459976.109984083,542697.016184083,157354.125584083,600472.766184083,0,66292.9523874167,0,28352.8625374167,115275.385812417,97023.2999124167,31513.4365924167,79919.3780124167,78779.4759330278,42487.4759330278,45949.1868330278,149961.632233028,1446672.80556217,59232.9383721667,21843.1454021667,321020.211862167
"glutamine",863256092.252587,2523796252.25259,445553572.252587,609169092.252587,75571471.0768033,6928860.57680333,126642661.076803,7435084.57680333,0,50368098.8437333,81889438.8437333,119805678.843733,345991059.018213,666337619.018213,336595979.018213,305292359.018213,5282090388.4783,7086446548.4783,3153229588.4783,4655215188.4783,88515235.7296533,122317975.729653,2405521.97965333,95129965.7296533
"glyceraldehyde or lactic acid",241630678.864567,258061898.864567,6757606.36456667,182215358.864567,1251340.33333333,398085.645833333,16760598.0833333,1278317.20833333,0,860177.916666667,21484236.6666667,18154626.6666667,119812547.343567,86159097.3435667,1802796.84356667,92705117.3435667,288306700.649289,254606380.649289,86585820.6492889,451460360.649289,59814.3020666668,322892.302066667,57270.1770666668,0
"guanine",2688280287.16667,2031034527.16667,1140001807.16667,1704694847.16667,229917359.833333,636431259.833333,192588779.833333,341026579.833333,372507673.916667,1078289393.91667,1363526673.91667,233134953.916667,1126136660,914151060,642563140,588771060,1276292037.44444,1171539557.44444,1000151317.44444,1499594277.44444,319096166.666667,396757966.666667,252447366.666667,310466486.666667
"histamine and unresolvable, unidentified isomers",35713.140051,195423.706511,24844.536541,98034.065811,37929.4513396667,145742.232609667,3408.09391266667,89790.8185196667,245099515.409026,1130.46371633333,120041.690326333,0,60217.7337276667,175101.085287667,2796.59505766667,114968.975887667,0,0,0,0,64759.610681,219605.134141,0,163072.852841
"histidinol and unresolvable, unidentified isomers",222782.000106667,298293.484506667,67609.1953966667,104776.414106667,65614.7113493333,103387.633219333,61443.6019693333,59488.3754093333,13509748.31893,37753.65487,50819.04549,48292.98299,101087.761837667,95466.5196376667,73877.6133676667,59501.4610176667,852444.463503778,868965.900503778,430881.525503778,533006.150503778,129188.81458475,116582.63488475,31831.89656475,62276.30672475
"homovanillic acid",24705.4570266667,8724.53124666667,12149.0859366667,16173.4824266667,13891.717933,15780.573403,5231.337073,1359.250651,22864.592612,3090.023763,3236.177083,0,1005.38346333333,2994.83317033333,475.236491333333,993.719401333334,41513.7705386667,31678.1299086667,38675.9775686667,28413.7783486667,2915.96215833333,1643.85961933333,1149.57006833333,2614.81958033333
"hypoxanthine",16757778.1666667,20729128.1666667,0,0,177306637.166667,111689617.166667,57545597.1666667,58649207.1666667,64704547.7083333,242773507.708333,0,184004027.708333,52805676.25,52277096.25,21930736.25,0,0,0,0,0,141816061.583333,0,0,50922111.5833333
"inosine",0,0,0,0,0,0,0,0,153110.724016667,278300.474016667,0,216799.224016667,264901.721333333,0,3608.62763333332,0,0,0,0,0,80335.9947866667,2034987.30728667,0,154772.791686667
