"","MSSuc-ster-Brachy-1-419","MSSuc-ster-Brachy-2-420","MSSuc-ster-Brachy-3-421","MSSuc-ster-Brachy-4-422","MSSuc-ster-Brachy-5-423","MS-ster-Brachy-1-412","MS-ster-Brachy-2-413","MS-ster-Brachy-3-414","MS-ster-Brachy-4-415","MS-ster-Brachy-5-416","MS-nonster-Brachy-1-426","MS-nonster-Brachy-2-427","MS-nonster-Brachy-3-428","MS-nonster-Brachy-4-429","MS-nonster-Brachy-5-430","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","id","PCone"
"5-methylthioadenosine",0.0014262927436717,0.00185182903810527,0.000864219778168628,0.00210571139288567,0.0168389438400538,0,0,0.00325805853532601,0.000860587360387306,0,0.00123325894433887,0.00100050501950541,0.000537997547473324,0.00130334791758922,0.0018346592741012,-0.000870333781734047,0.0122472991997261,-0.0155163413906021,-0.0411946592117088,0.0870324052140303,-0.0404801941750078,0.00728190982955436,-0.0626265996139978,-0.0485398498579013,-0.0369001387117704,-0.0130330070339081,0.129652872567117,-0.0873765828565346,0.0186327627133385,-0.052660447001341,"5-methylthioadenosine",7.57480891627488e-07
"5-oxo-proline",0,0,0,0,0.00947638068750795,0.000728952272885494,0.000724362490937867,0.000661729071417498,0.00114977681455646,0.00114061283421855,0.000763558497741032,0.000747545520492233,0.00033694195763223,0.00108429863176478,0.00143524844944569,0.00123127909982496,0.00703459186092076,-0.00361502752838046,-0.0285255161636501,0.0430248804102955,-0.0176825536149135,0.00240659735533823,-0.0517262248487636,-0.047512925825672,-0.0322953661878938,0.000264647115128796,0.000700442288884848,0.0212474783254766,-0.0197397966394438,-0.022689057156817,"5-oxo-proline",1.51604822166576e-06
"5-valerolactone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5-valerolactone",0
"abscisic acid and/or isomers",0,0,0,0,0.0011708222707904,0,0,0,0,0,0,0,0,0,0,-2.00656077602429e-05,0.000790774127011877,-0.000755231661144731,-0.00345342900296233,0.00632307405942238,-0.00274220922253083,0.000964796581471708,-0.00613187692557034,-0.00551215601101118,-0.00336272062476936,0.00127300929319973,0.00119890873455474,0.00579387832971292,-0.0026721439427843,-0.00131706180777714,"abscisic acid and/or isomers",4.02628614787921e-10
"adenine",0.0939534412571457,0.159631165529225,0.0826598569108582,0.155941906502512,0.112066218664094,0.463067687650663,0.517221041777525,0.444121982258576,0.318374686464222,0.370743349715604,0.13962883389483,0.0936536918328539,0.0618130575642472,0.157727899365303,0.152433893911977,0.536340220866018,-0.48192410504698,-0.50024555791644,0.10123228019943,0.123015645282474,-0.192216274507167,-0.193480868426645,0.135933055441518,0.239310743885996,-0.0912264289068107,-0.00147556839902033,-0.0922039494031617,0.0579923363276444,0.0358332419394886,-0.0612952825512365,"adenine",0.287660832518609
"adenosine",0.00569056314113235,0.0069142320882396,0.00676681434276912,0.0066682206336733,0.0302097299197498,0.0251840282873353,0.0100485689154318,0.0276741037833789,0.0208896726269615,0.0175915640831128,0.00283645111574764,0,0.00057028806615464,0.00217812387297826,0.00270630299654706,0.0235821113088376,-0.00673345504551982,-0.0629427981142806,-0.0842122026785462,0.1749398593504,0.0550122526339634,0.0462106191183915,-0.202268004026885,0.195752753943265,-0.0161751806439158,0.288551774473738,0.0876183278971916,-0.646693252968668,-0.248685704041111,0.0231846586016627,"adenosine",0.000556115973782406
"alanine",0.00177579394602345,0.0010008665050346,0.000692117888461142,0.000778954957460397,0,0,0,0,0,0,0.00430307240857348,0.00375199457010164,0.00171968846881553,0.00803346627206846,0.00212167266361235,-0.00130532357411934,0.00782144430209016,0.0115760564167007,0.0232134967974755,-0.031019900329149,-0.0341121630282522,-0.0221607222845986,-0.0212286830293262,-0.000200650482302165,-0.0144461923073215,0.0841105468274187,0.0577985707360304,0.0887872711959652,-0.0989232128766083,-0.00929736570656549,"alanine",1.70386963315168e-06
"allantoin",7.79446086982242e-05,8.72935988223245e-05,5.11855162674396e-05,6.66521510069534e-05,8.68933343901985e-05,0.00167404050585499,0.00419133765291342,0.00234337624610642,0.00342106018262268,0.00251444478401959,0.00149716936018795,0.00292840943725859,0.000642187513497934,0.00243410916222904,0.00190986851009765,0.0043164496218568,-0.000512340490388731,0.00185416701876485,-0.00121970866657151,-0.018232715194827,0.00907975162582925,-0.0122229907097415,0.0060469740471926,-0.031441567450502,-0.00795776090107305,0.00826298473269951,0.0840766762278552,0.125414523260795,0.0436829682879551,-0.0197249709663156,"allantoin",1.86317373380277e-05
"arginine",0.00379058972872883,0.00512816918158898,0.00146069261779202,0.00532337146151179,0.0416409783215487,0.00555406421854073,0.00507850533489173,0.00248395577536786,0.00898752445755567,0.0058221386089598,0.0165889716113034,0.0023028886479304,0.00211028624045745,0.00298144257297592,0.0121260058674313,0.00434280985046493,0.0335458187457234,-0.0119668888156778,-0.122276485775594,0.154383640837446,-0.116454716687075,0.142175805316783,-0.197848205441125,-0.151016856728682,0.0121768573200128,-0.31692759202674,-0.175850951774052,-0.0925939370524364,0.161696482269118,-0.038778650030803,"arginine",1.88599973972952e-05
"asparagine",0.00326167610727397,0.00317347190464643,0.0032700167920845,0.00253968129215769,1.19372375281386e-05,0.00129677392825515,0.00356075422774278,0.000932842500897999,0.00176506274771541,0.00230416124487182,0.0089675530362628,0.00374782157020662,0.00222608321818084,0.0126270320227143,0.010514758775288,0.000733089258565152,0.0117649970519189,0.0228133988434787,0.0457650020307767,-0.0525067644405299,-0.0398923637025544,-0.0116900669255308,-0.0111295938650015,-0.0352919726381819,-0.0627918503648161,-0.144945847528652,-0.0863743950103447,-0.119983563128117,0.0729260108702831,-0.0287589034813076,"asparagine",5.37419861023605e-07
"aspartic acid and/or isomers",0.00536336120894788,0.00383571632384848,0.00455288484174054,0.00574147326855811,0,0.0087266712840699,0.0127752702671681,0.00593400162968261,0.00207021482099956,0.0134090583641835,0.000647076190783774,0.000155764315714482,0.000172268335889928,0.000207950994043633,0.000658796782832806,0.00853985250032397,-0.0212057706403387,0.016102108166865,0.0141436465777615,0.0396354073128903,-0.0011224405725401,0.0108662422619366,0.0624894141337789,-0.00165377274007847,0.0217751950627019,-0.0543390576005643,-0.085894554845247,0.125364432515485,-0.237272378596388,0.0644924102043052,"aspartic acid and/or isomers",7.29290807272896e-05
"azelaic acid",0.000698414670165537,0.000520286847519925,0.000425569728685729,0.000856662047665279,0.00227864745495224,0.00335682156707106,0.00516552081789587,0.00309670066607646,0.0072598103869488,0.00516723612045762,0.00312990764005047,0.016949553753985,0.0022880574461802,0.00520799180681793,0.0119847285212943,0.00576927314945755,0.0116483870133451,0.0119712408721611,-0.0233078984396684,-0.0589271016929128,0.0690598392702483,-0.0768752555419255,0.146617443952437,-0.16945822543098,0.0508571628945661,0.116099417507968,0.0118886116033941,0.090294028456031,0.0552451851019595,-0.0353933703169542,"azelaic acid",3.32845126730519e-05
"betaine and/or isomers",0.265061513959925,0.205860348197544,0.162494137206966,0.10317574709282,0.42061398089039,0.134270251385302,0.0225540197646639,0.20183680279541,0.228430224633093,0,0.305821330486733,0.335274835176143,0.147632811123715,0.328082240583182,0.367391800189569,-0.0720009319794132,0.739849263650378,-0.388163746277839,-0.119129088085929,0.0767701675816642,0.0183663281461524,-0.257549614735427,0.133245897532607,0.376276616369626,-0.0894780405027942,-0.0273575437637929,-0.0764871246002414,0.0754489295771088,0.0292555170143976,-0.0521967599201718,"betaine and/or isomers",0.00518413420590409
"biotin",7.7689186416631e-06,0,0,0,0.0014067863139589,0,0,0,0,0,1.19184011240668e-06,0,2.51588188904601e-06,3.82691758693369e-06,0,-2.70764300574571e-05,0.000952432120268716,-0.000904056339717502,-0.00413080232729492,0.00759585941043087,-0.00329940368342006,0.00113791135498656,-0.00738987420743406,-0.00653635115382554,-0.00403824985760868,0.00142706490768163,0.00146095552575064,0.00731173101411561,-0.00381780238028419,-0.00255303634589022,"biotin",7.33133064656368e-10
"bis(3-aminopropyl)amine",0,0.000712273165388009,0,0,0.00158535630219482,0,0,0,0,0,0,0.000236107590892282,0.000635934463494349,0.00044960464043837,0,-0.000517031209218848,0.00103691567194434,-0.00108781971314109,-0.00447799268612079,0.00657989282937691,-0.00731241255936489,-0.00591248420965225,-0.0119321450188231,-0.00328817825641066,-0.00504177207129317,0.00909729694563529,-0.0065383581929793,0.025132250986821,0.0568972393899351,0.00681715887916553,"bis(3-aminopropyl)amine",2.67321271306305e-07
"C6 sugar alcohol peak 1 (ex. sorbitol)",0.00521836472479581,0.00435199009546727,0.00534173547012542,0.00578156475107449,0.000327903636825939,0.00222001743380355,0.00384010205162555,0.00151116373288795,0.00157902668728316,0.00595832651029636,0.000393760366029849,0.00221743313795434,0.000322677855046724,0.000651844239249611,0.00160968654028582,-0.00141784504069716,-0.00758639560684882,0.0130167043129667,0.0182126738384288,0.025789124452901,0.0274247320148174,0.0100557088748972,0.0491932563995158,-0.00782175735239579,0.0666301805938256,-0.0299253535508871,0.00880874679748665,-0.0127544644457709,0.00172784148149985,-0.00897851554932492,"C6 sugar alcohol peak 1 (ex. sorbitol)",2.01028455942954e-06
"C6 sugar alcohol peak 2 (ex. mannitol, galactitol)",0.0408095807191465,0.0217849798163668,0.0813593544446966,0.0253589961455075,0,0,0,0,0,0,0.00015041500347562,0.000142670393259375,4.51554041360117e-05,0.000110703059899919,9.64968628588901e-05,-0.0535653154678224,-0.0268789325374088,0.0181147538078294,0.271450220191391,0.231634795716977,0.417343258482017,0.457979619064416,0.239143579435133,0.0794016882146003,-0.440504212430359,0.267616741214761,-0.0994113080738567,0.0396292217453065,0.208995314097949,-0.045222219812591,"C6 sugar alcohol peak 2 (ex. mannitol, galactitol)",0.00286924302116734
"caffeic acid and/or isomers",5.61765477311687e-05,0.000109760943451872,3.68865556196635e-05,0.000260600953350884,0.00743852999204849,0,0,0,0,0,0.000575176747922575,0,2.79951031298161e-06,6.45367039978479e-05,0.000553833836479539,-0.000178447384364427,0.00550662474791956,-0.0042039705898254,-0.0214140101055066,0.03803723298493,-0.0198943331711074,0.0100771055037904,-0.0355428188079237,-0.0359774952245213,-0.0186223952957539,-0.00962803062262252,-0.000862704099833066,0.00654106811371149,-0.0117861499808942,-0.0167264028319359,"caffeic acid and/or isomers",3.18434689865054e-08
"carnitine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carnitine",0
"choline o-sulfuric acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"choline o-sulfuric acid",0
"citrulline",0.00088353911799244,0.000394854007338857,0.000579905331741187,0.00033113673853003,0.00126158118805616,0,0,0,0,0,0.000457496040362315,0.000350848212846525,0.000158307641333263,0.000489144748769091,0.000362914131586816,-0.000676158442484532,0.00138075983148525,0.000144360190104451,0.000260318151175119,0.0064159528102175,-0.00208379843967244,0.00289893960433817,-0.001539904093578,-0.00102180634768901,-0.00149489095710072,-0.00497916890627174,-0.00108142732924179,0.0225938032246966,-0.0257107043456433,-0.000709958749967156,"citrulline",4.57190239343108e-07
"creatine",0,0,0,0,0,0,0,0,0,0,3.78852929962089e-06,0,7.39756814286861e-06,0,0,-3.78923592577544e-06,-1.56324207905867e-06,-4.50688218384857e-07,-2.36476414822369e-05,-3.52410999865113e-05,-3.54536443625301e-05,7.07186039031827e-06,-3.04107070747511e-05,3.62693679693172e-05,-6.61866939233833e-05,-3.73625579208495e-05,-3.95184914488354e-05,6.48627738963236e-05,-0.000100569029174791,3.25578356868815e-05,"creatine",1.43583089011873e-11
"creatinine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"creatinine",0
"cytidine",0.000100322445955782,0.000329311695226219,4.88548652845017e-05,0.000231248194122287,0.000539798493853091,0.00202930611022758,0.00241143734522831,0.00484291370348813,0.00319299123039534,0.00168607585305851,0.019074688551236,0.0101110452102961,0.00901496476477449,0.0163815489098012,0.00693813749877358,0.00158983776924453,0.0182534154264086,0.0206252007695627,0.00639109701923628,-0.130785241399053,-0.121257478914913,0.0102641549889591,-0.0295133335556699,0.0424085242066218,-0.114608235473958,0.174129241812923,0.201032807733848,0.0736717307518365,-0.155512521962894,-0.0748174825412358,"cytidine",2.52758413251644e-06
"cytosine",1.12934124373047e-05,0,0,0,0.00378735283396279,0,0,0,0,0,0.00169897835503945,0.00103633661728075,0.00108640237822362,0.00124639403708708,0.00064659441245053,-0.000483093342777617,0.00432008446486142,1.06398187877977e-05,-0.0119341429092109,0.0076997298805485,-0.0203907023135143,0.00379041532844574,-0.0196315144913136,-0.017456584946839,-0.0208185786740749,0.0184058506613641,0.0067555212917135,0.0334227027695797,-0.0290773562427348,-0.00946038155076646,"cytosine",2.33379177836052e-07
"deoxycarnitine",9.63879716072478e-05,6.31536821724051e-05,9.30063459656717e-05,2.54632019054383e-05,0.000856600232336855,8.54036285670925e-05,0.000327464147969759,0.000236499078136151,0.000829278227428189,3.39181857786099e-05,6.59171621262035e-05,0.000433307539260287,0.000381052838169017,0.000339706230037484,0.00017072309861485,0.000152864321592817,0.000649657348019083,-0.00140753085532736,-0.00317300865059537,0.0007417856734732,0.00315591392596172,-0.00184393887677169,-0.00988467938390011,-0.00670705127276542,-0.00190297319230709,0.00227849231231346,0.020527704881066,0.030002885403575,0.0123183514443026,-0.00702282573545076,"deoxycarnitine",2.33675008160322e-08
"deoxycytidine",0,6.84732314638756e-06,0,0,9.06878956638679e-05,0.000630839484969065,0.00100620484673747,0.000882877554960876,0.000808499519775047,0.000731296649776895,0.000983789019506942,0.000227600196621368,0.000226906152427901,0.000971537895248935,0.000735226031508246,0.00136237636458039,0.000154605981637263,0.000678526874246282,0.000755152373565442,-0.00584229291955942,-0.00342752131461972,0.000725831885685201,-0.0045781366168728,0.00171773828071729,-0.0103029857470088,-0.00978801359138747,0.0125530526977952,-0.00232663061170314,0.000261926982463189,-0.00301512524395521,"deoxycytidine",1.85606935876729e-06
