"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",0.05,0.630597826086957,0.00960020624861985,0.000960020624861985,"weighted","OE"
"2",0.1,0.577989130434783,0.0164342105392904,0.00164342105392904,"weighted","OE"
"3",0.15,0.535815217391304,0.0162969350737938,0.00162969350737938,"weighted","OE"
"4",0.2,0.485570652173913,0.0178909571872714,0.00178909571872714,"weighted","OE"
"5",0.25,0.439755434782609,0.0168135914875428,0.00168135914875428,"weighted","OE"
"6",0.3,0.396548913043478,0.0198459786005909,0.00198459786005909,"weighted","OE"
"7",0.35,0.355815217391304,0.0189010538779306,0.00189010538779306,"weighted","OE"
"8",0.4,0.31241847826087,0.0171143361527008,0.00171143361527008,"weighted","OE"
"9",0.45,0.267309782608696,0.0170278247508971,0.00170278247508971,"weighted","OE"
"10",0.5,0.22820652173913,0.0183490437927305,0.00183490437927305,"weighted","OE"
"11",0.55,0.19320652173913,0.0177562277942065,0.00177562277942065,"weighted","OE"
"12",0.6,0.157554347826087,0.0175767078530786,0.00175767078530786,"weighted","OE"
"13",0.65,0.128179347826087,0.014672057617858,0.0014672057617858,"weighted","OE"
"14",0.7,0.0961141304347826,0.0146037774357875,0.00146037774357875,"weighted","OE"
"15",0.75,0.0716576086956522,0.015625292382363,0.0015625292382363,"weighted","OE"
"16",0.8,0.0477989130434783,0.0128104585993438,0.00128104585993438,"weighted","OE"
"17",0.85,0.0277717391304348,0.0106797490680171,0.00106797490680171,"weighted","OE"
"18",0.9,0.0124728260869565,0.00681233658318175,0.000681233658318175,"weighted","OE"
"19",0.95,0.00358695652173913,0.00424645775080582,0.000424645775080582,"weighted","OE"
"20",1,0,0,0,"weighted","OE"
"21",0.05,0.583777173913044,0.0122932324605653,0.00122932324605653,"unweighted","OE"
"22",0.1,0.536222826086956,0.0169813294355173,0.00169813294355173,"unweighted","OE"
"23",0.15,0.493559782608696,0.0205636255257743,0.00205636255257743,"unweighted","OE"
"24",0.2,0.45116847826087,0.0205338610832041,0.00205338610832041,"unweighted","OE"
"25",0.25,0.408451086956522,0.0249701917680622,0.00249701917680622,"unweighted","OE"
"26",0.3,0.366032608695652,0.0212094422669421,0.00212094422669421,"unweighted","OE"
"27",0.35,0.326766304347826,0.0201337359968167,0.00201337359968167,"unweighted","OE"
"28",0.4,0.286467391304348,0.0229221502654154,0.00229221502654154,"unweighted","OE"
"29",0.45,0.248940217391304,0.0208275862784016,0.00208275862784016,"unweighted","OE"
"30",0.5,0.215652173913043,0.024010287562682,0.0024010287562682,"unweighted","OE"
"31",0.55,0.182391304347826,0.0199098616072344,0.00199098616072344,"unweighted","OE"
"32",0.6,0.151358695652174,0.0199705339209147,0.00199705339209147,"unweighted","OE"
"33",0.65,0.117228260869565,0.0175513979377982,0.00175513979377982,"unweighted","OE"
"34",0.7,0.0929619565217391,0.0155422027218321,0.00155422027218321,"unweighted","OE"
"35",0.75,0.066304347826087,0.0145697477206482,0.00145697477206482,"unweighted","OE"
"36",0.8,0.0437771739130435,0.0140479278928705,0.00140479278928705,"unweighted","OE"
"37",0.85,0.0260054347826087,0.00979582836594024,0.000979582836594024,"unweighted","OE"
"38",0.9,0.0120652173913043,0.00651258323776851,0.000651258323776851,"unweighted","OE"
"39",0.95,0.00260869565217391,0.00322961156567992,0.000322961156567992,"unweighted","OE"
"40",1,0,0,0,"unweighted","OE"
