"","exudate-EOD-Arabidopsis-1-451-1","exudate-EOD-Arabidopsis-2-452-1","exudate-EOD-Arabidopsis-3-453-1","exudate-EOD-Arabidopsis-4-454-1","exudate-EOD-Arabidopsis-5-455-1","exudate-EOD-Arabidopsis-6-456-1","exudate-EOD-Arabidopsis-7-457-1","exudate-EOD-Arabidopsis-8-458-1","exudate-EOD-Brachy-1-433-1","exudate-EOD-Brachy-2-434-1","exudate-EOD-Brachy-3-436-1","exudate-EOD-Brachy-4-437-1","exudate-EOD-Brachy-5-438-1","exudate-EOD-Brachy-6-439-1","exudate-EOD-Brachy-7-440-1","exudate-EOD-Medicago-1-442-1","exudate-EOD-Medicago-2-444-1","exudate-EOD-Medicago-3-449-1","exudate-EOD-TxCtrl-1-441-1","exudate-EOD-TxCtrl-2-450-1","exudate-EOD-TxCtrl-3-459-1","exudate-EOD-TxCtrl-4-460-1","exudate-EON-Arabidopsis-1-451-2","exudate-EON-Arabidopsis-2-452-2","exudate-EON-Arabidopsis-3-453-2","exudate-EON-Arabidopsis-4-454-2","exudate-EON-Arabidopsis-5-455-2","exudate-EON-Arabidopsis-6-456-2","exudate-EON-Arabidopsis-7-457-2","exudate-EON-Arabidopsis-8-458-2","exudate-EON-Brachy-1-433-2","exudate-EON-Brachy-2-434-2","exudate-EON-Brachy-3-436-2","exudate-EON-Brachy-4-437-2","exudate-EON-Brachy-5-438-2","exudate-EON-Brachy-6-439-2","exudate-EON-Brachy-7-440-2","exudate-EON-Medicago-1-442-2","exudate-EON-Medicago-2-444-2","exudate-EON-Medicago-3-449-2","exudate-EON-TxCtrl-1-441-2","exudate-EON-TxCtrl-2-450-2","exudate-EON-TxCtrl-3-459-2","exudate-EON-TxCtrl-4-460-2"
"2-hydroxypyridine",0.00281639099322412,0.00567201739005822,0.000563287852386787,0.000809300418282515,0.000987751569715656,0.000626241353671541,0.00277795210280315,0.00740177745165,0.000759508855722672,0.000697135309053455,0.00100415147113279,0.000934725758162799,0.000907655476675326,0.000919894122833561,0.00128720918449898,0.000632750613759835,0.00126347628637275,0.000460055037460328,0.00176985062760784,0.00289873116213823,0.00337645266683362,0.00224631040389379,0.000877800906749776,0.000811123974992438,0.000454346013953596,0.00051036494294501,0.000372515676881667,0.000369854361129863,0.000611839129697022,0.000770250359912531,0.000585029531464724,0.000487818211347089,0.000628720758449523,0.000489289934396301,0.000410014461567223,0.000832158971598457,0.00329346307684966,0.000676496709220097,0.000312485840209665,0.000371739662400528,0.00106941152187225,0.00166453762280306,0.00293306308682435,0.00510788765474466
"2,3-cyclic AMP",0.000726557799634018,0.000739926334715266,0.000656252340326701,0.000852848597798729,0.000153972370910853,0.00096945147696414,0.000523813096827677,0.000638760066190487,8.70046083585839e-05,6.69798386503529e-05,0.000130861129130106,0.000105305455597013,7.53447339779182e-05,0.000120349057616857,0.000119253367948231,0.000170581879889625,0.000186904249631633,0.000172682394508893,0,0,0,0,0.000586346483453789,0.000765385718080095,0.00045018190761725,0.000664441311961176,0.000120547373702915,0.000392889261655336,0.000710893151948862,0.000410234192860663,0.000144315652973834,0.000158765730964922,0.000111480376285163,0.000142437813845501,7.46767594703934e-05,8.64173697236838e-05,0,0.000140337184908376,0.000121769248516066,0.000335001985581704,0,0,0,0
"3-methyladenine",0.000662185763243128,0.00201284645788622,0.00130450777358885,0.0019487245083468,0.00213565111749011,0.00149804045847392,0.000926580481276072,0.00184702929342801,0,4.46916393755001e-05,1.9868598460905e-05,5.23469530292128e-05,3.00868677662409e-05,3.01747856484441e-05,0.0001264424057741,0,0,0,0.000112133266071018,0.000298037853029975,0,0,0.000520969475903862,0.000518926140849862,0.000334907599882198,0.000748280526936239,0.000532064649805084,0.000960146214257606,0.000596511299494353,0.000863135578176736,0.000484495487002335,2.52363173148544e-05,4.24346841158683e-05,0,0,0,0,7.82757607350699e-05,1.99185498544905e-05,0,0,0,5.59260818574902e-05,0
"3,5-diiodo-tyrosine",7.53701364168973e-05,0.00214296464561365,0.000949723286695749,2.06273485066113e-05,6.22633154914307e-05,5.24308118870372e-05,7.01017981909736e-05,6.17569389733447e-05,0,0,0,0,0,0,0,0,0,0.000104411583577871,0.000401768451979984,0.000218414432122407,0.000274815637580417,0.000401036736110389,7.62343066498301e-05,0,0,0.000167685385068701,0,0,0,0,0.000138347730446622,0.000154750806603653,0.000347747700276286,0,0,0,0,0,0,9.44059092100029e-05,0.000770043501294322,9.05377790768401e-05,0.000780188013712911,0.00044991513111852
"4-aminobutanoic acid",0.00243854401274175,0.000983566139134849,0.000143769918836426,0.000154770213086831,0.000599354269051393,0.000415821558964189,0.000244334438768188,0.0011947177701407,6.735626667354e-05,0,5.02824590154115e-05,9.23557475103133e-05,0.000196880311245523,6.40382811376479e-05,0,0.000269019242489283,0.000217633239779288,0.000544712653891503,0,0,0,0,0.000330341691922604,0.00327786972838409,0.00199708881156497,0.00027404419967897,0.000852292146686683,0.00260244124379399,0.000402708178672892,0.000346667091108812,0,0.00049068564630858,0.000548706397932821,0.000103071167135307,0,0,0,0.000166991082446737,0.000672506922232367,0.000587620094380586,0,0,0,0
"4-guanidinobutanoic acid",0.00187509119478754,0.00301838024675497,0.00339130260063179,0.00212833824342451,0.00204039825673494,0.00149704798011127,0.00174712180244365,0.00163857322346597,0.00064506315151957,0.000398240341364783,0.000572079155536549,0.000651382272244776,0.000505034513461874,0.000504360580368339,0.00652210386253596,0.00185663387143518,0.00172657618271858,0.00156948501132333,0.00186394686594482,0.00253895230724259,0.00124963606363571,0.00110170643539625,0.00126688808425291,0.000647508566735869,0.000480247615329581,0.00089444267416715,0.000528867163652879,0.00138564544548408,0.00102911498744293,0.00125503259316388,0.000605354510592858,0.00025310394101831,0.000513876156161429,0.000823060482055367,0.000613211840906663,0.000503002106946135,0.00208916782960646,0.00192054574978541,0.00259100067874458,0.00281800199851655,0.00182194390295163,0.000945783197907677,0.00216320105760609,0.00247447054273821
"4-hydroxy-2-quinolinecarboxylic acid",0,0.000230545140045477,2.45434746518721e-05,0.00034508841268488,0,0.000198627878868269,0,0.00218229022876203,0,0,0,0,0,0,0.009841332443016,0.000269361815397101,0.000915920456292892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-hydroxyproline",7.88758557310312e-05,0.00053320485116112,7.05968145740732e-05,0.000399486817998565,0.00045626726715077,0.000109772093793171,0.000144889099440558,0.000996097776589204,0,0,2.22037981571118e-05,0,0,4.69374847730875e-05,0.000131862036550303,0.000357725335547232,0.000508419059859144,0,0,6.67836740046743e-05,0.000174560607017562,8.36452331981691e-05,0.000325852809774759,9.89899428728697e-05,0.000109424787903796,0.000123197309210597,7.78258578837427e-05,7.24223256916127e-05,0.000320211080529328,0.000511277837461591,0,3.29998238842318e-05,0,0,0,0,0,5.60108130615536e-05,6.16305057572546e-05,6.55474821982689e-05,0,0,0,0
"4-quinolinecarboxylic acid and isomers",0.0125186411608112,0.0122303139748531,0.0154236574144425,0.0133805758743679,0.0268188678589689,0.0147086302534121,0.0142570038096891,0.0115688900319021,0.00194266847461604,0.000656964866104439,0.00286161900255327,0.00127126430890203,0.000652179866318231,0.000230644618998656,0.000842471710875751,0.00107045356106925,0.00204275697901396,0.000348931497177826,0.0091315961912477,0.0125200007725087,0.00969571218297448,0.0195462144906273,0.00565027655439704,0.00513763022453328,0.00447479661743222,0.00613272365048732,0.0070819671316589,0.00252805246485216,0.00524140075302615,0.00513493634859328,0.00431545321456903,0.00293282905365606,0.00321251721926226,0.00306629446518584,0.00309954692537698,0.00064164177926232,0.000575046323431532,0.000904056364317504,0.000589667925878595,0.000939478946985999,0.00221315855887302,0.00248849948393512,0.00128292819096506,0.00193597834178895
"5-oxo-proline",0.00602065915518436,0.00651753574291341,0.00413237495011888,0.00330138050735274,0.0018497983912636,0.00467436285240233,0.00217765245484226,0.0024559944907319,0.000352118930000841,0.000325673255215673,0.000699655821264603,0.000429796462687434,0.000363414840869263,0.000439150931820962,0.00274706420459963,0.00111826662366943,0.00132904372808063,0.000651496910791281,0.000306051308811931,0.000553529112994243,0.000936027525650233,0.000665715959113859,0.00176216746948646,0.00672224498700115,0.0045206210424191,0.00258140254218339,0.0042511880512192,0.0052320727233729,0.00235478442711194,0.0016442481516329,0.00113109095298281,0.000725278858693244,0.000493786493954958,0.000637061392893986,0.000358516838442885,0.000707710529936244,0.013637280077599,0.000847542124915404,0.00072147335363241,0.000602746795869843,0.000727531011967194,0.00093689901754797,0.00176028541168022,0.00140069097489905
