,root-EOD-Arabidopsis-1-451-3-R,root-EOD-Arabidopsis-2-452-3-R,root-EOD-Arabidopsis-3-453-3-R,root-EOD-Arabidopsis-4-454-3-R,root-EOD-Arabidopsis-5-455-3-R,root-EOD-Arabidopsis-6-456-3-R,root-EOD-Brachy-1-433-3-R,root-EOD-Brachy-2-434-3-R,root-EOD-Brachy-3-436-3-R,root-EOD-Brachy-4-437-3-R,root-EOD-Brachy-5-438-3-R,root-EOD-Brachy-6-439-3-R,root-EOD-Medicago-1-442-3a-R,root-EOD-Medicago-2-442-3b-R,root-EOD-Medicago-3-444-3a-R,root-EOD-Medicago-4-449-3a-R,root-EOD-Medicago-5-449-3b-R,root-EON-Arabidopsis-1-451-4-R,root-EON-Arabidopsis-2-452-4-R,root-EON-Arabidopsis-3-453-4-R,root-EON-Arabidopsis-4-454-4-R,root-EON-Arabidopsis-5-455-4-R,root-EON-Arabidopsis-6-456-4-R,root-EON-Brachy-1-433-4-R,root-EON-Brachy-2-434-4-R,root-EON-Brachy-3-436-4-R,root-EON-Brachy-4-437-4-R,root-EON-Brachy-5-438-4-R,root-EON-Brachy-6-439-4-R,root-EON-Medicago-1-442-4c-R,root-EON-Medicago-2-444-4b-R,root-EON-Medicago-3-444-4c-R,root-EON-Medicago-4-449-4c-R
3-methyl-histidine,6.58997403559155e-05,0.000114422042563303,3.88461955416369e-05,5.49470934060619e-05,6.2750163745181e-05,0.000113722772482887,0.000866947040385392,0.000874846805103286,0.000979438694430938,0.000782799346610854,0.000501570091516742,0.000753227119997177,7.76107298920076e-05,8.15801412662554e-05,6.14385037166117e-05,6.97349305727632e-05,6.93947638437523e-05,1.97958724317006e-05,3.75630574667107e-05,9.5227827782184e-05,3.30660231511126e-05,2.12273753824472e-05,0.00105282932254905,0.000560019597900985,0.00119529515492797,0.000155845016258691,0.000880459031000702,0.000806086570796113,0.00085376024952357,6.88754764938951e-05,7.47552565576413e-05,8.29631650833789e-05,5.31218593281126e-05
4-acetamidobutanoic acid,0.000602412958098455,0.000491590447985379,0.000728770760015443,0.000124435637825768,0.000315991428525264,0.000626285471936545,0.00164341729572358,0.00229226470218915,0.00241288028165629,0.00152370979305594,0.0011884306147915,0.00196246764247585,6.39360779107165e-05,7.87254639459004e-05,0.000102019007145604,6.22739726038246e-05,0.00010837433921405,0.000424628729063856,0.000238035410680063,0.000496839938611659,0.000201000795739618,0.000353099249742858,0.0018993685140842,0.00133562596279655,0.00392676902791451,0.000421966985548513,0.00240371987202279,0.00158888351434023,0.00201482970371112,0.000119269613838792,9.10480251680367e-05,0.000152344402464298,4.30167002233757e-05
4-imidazoleacetic acid,2.66572732035959e-05,9.34551620071195e-06,2.64901238285558e-05,9.46305146368119e-06,7.48597701897086e-06,1.12424514588214e-05,6.49980169370901e-06,4.32331127407495e-06,1.91479821073085e-06,5.80995733111712e-06,2.5104706742943e-06,4.74011715993404e-06,9.93931414053272e-06,6.42042064708535e-06,1.60594159606647e-05,7.79591861465752e-06,7.95973334777495e-06,6.68440647515367e-05,2.01202219439023e-05,2.33943407038766e-05,1.75567478632837e-05,4.48380331146491e-05,1.20749262590632e-05,1.84857781713621e-06,4.78432234975451e-06,3.8537560493068e-05,1.80087144144353e-06,8.21028169417739e-07,1.55143397060593e-06,1.42843484320989e-05,2.00131708758425e-05,7.05100714196978e-06,3.28495475402539e-05
4-pyridoxic acid,2.57704144929275e-05,1.55974022026889e-05,8.86388021691296e-05,1.1460146742599e-05,1.57539346990844e-05,2.18886281892288e-05,6.65242808971065e-06,1.15375293788783e-05,8.01227806803589e-06,3.58723526036409e-06,2.63782586682115e-06,1.2080183923244e-05,2.85250884933597e-05,1.48111242086087e-05,3.83600638205157e-05,2.61092654391884e-05,1.50915746817601e-05,7.28566062580289e-05,2.14127033677105e-05,5.4972391341061e-05,1.42033359009122e-05,4.34289906731496e-05,2.62514146920193e-05,1.3338290387373e-06,1.04278024575116e-05,3.72390437960791e-05,6.76964670745721e-06,5.20786526127941e-06,2.01096243005868e-06,3.44999902460508e-05,1.85541080607052e-05,2.27087623882278e-05,2.93049436964751e-05
5-hydroxyindoleacetic acid,0.000140803165196926,4.68345601387525e-05,7.94169784751888e-05,2.48954338692436e-05,2.11588965434037e-05,0.000140789249194019,1.09859281811096e-05,1.43655036398231e-05,1.76993226781403e-05,1.08699720385783e-05,1.39593034652188e-05,1.31951739524001e-05,8.84800412045655e-06,5.75217323536829e-06,1.69695783608829e-05,1.95883203174114e-06,9.28836595390098e-06,5.62656554594144e-05,8.1382720441592e-05,8.82986380188552e-05,6.33529496551135e-05,7.6440123462914e-05,1.60303354718364e-05,1.24624288653064e-05,1.34221740039035e-05,4.91005697348481e-05,1.32263754304013e-05,9.21865130701673e-06,1.45639294007214e-05,9.35866457772424e-06,2.66446655276399e-05,4.69702976411568e-06,1.20216458885866e-05
5-methylcytosine,8.90666874318185e-06,8.96431624202772e-06,1.8675300993924e-05,1.04639351745083e-06,6.60620382044558e-06,1.94846583690788e-05,0,5.89641666274685e-07,1.15798699739902e-06,0,1.38835858596488e-06,2.57869692666139e-06,4.34203450940921e-06,5.56984674167386e-06,5.46994165125089e-06,7.59402381922402e-06,4.85166769192684e-06,4.73463719143974e-06,5.08404730748314e-06,1.07458570486914e-05,5.84741866675109e-06,3.54986817209551e-06,1.70158602443822e-06,0,1.14950125048455e-06,0,2.18767121730821e-06,1.42181562914458e-06,0,6.93521124489404e-06,6.94795268141528e-06,5.2193491548737e-06,2.96262993253556e-06
5-oxo-proline and/or isomers,4.5161866274872e-05,5.81091253588018e-05,6.01251303156244e-05,3.23725241010145e-05,3.32478216137145e-05,6.17711930074716e-05,0,3.7855086417142e-06,0,0,3.15263038391895e-06,3.52578181329243e-06,4.5946491332505e-05,4.59813050680207e-05,2.36901595126652e-05,4.57545263911861e-05,2.38270923186853e-05,0.000120641129900581,2.80022239345107e-05,2.92241405665847e-05,5.37718994475363e-05,4.08230820002938e-05,4.26964127013914e-06,2.95715217221528e-06,2.80265390069178e-06,1.40220873020164e-05,2.18705483384619e-06,2.532464715985e-06,0,4.43251787914341e-05,1.6829835867609e-05,7.85780918033056e-05,1.8111471976898e-05
adenosine,7.93363686496533e-05,0.000932712891512829,0.000557822412064826,0,0.000205373498939219,0.00121600220171247,0,0.00010599010565594,0.000329947985463676,0,0,0.000117285026402985,4.49781977033034e-05,3.08297207007932e-05,0.000121133620932249,0.000170237745013239,8.98351953455626e-05,1.40542613175093e-05,0,0.000522023715353756,5.48769831670143e-05,0,0.000289521587608124,0,0.000318355901337027,0,0.000140704031975791,0.000187633591946192,0,0.00013189256506953,0,0.000495711750442816,0
adenosine 5-monophosphoric acid,2.25496073753596e-06,1.02154201418058e-05,2.5870905850767e-05,1.31812775114058e-05,4.39671942449989e-06,1.32499629306259e-05,2.54067940703329e-05,1.6079882066162e-05,5.37546218078845e-05,1.57441091035831e-05,1.46539948552064e-05,4.06041533741247e-05,7.9892611708257e-06,1.66169576487882e-05,6.27118475547055e-06,8.31660440560798e-06,5.51887452721282e-06,7.9143865978688e-06,1.91603876807874e-06,6.27535397720166e-06,3.01782862189593e-06,0,9.16255312976069e-06,1.45855781292729e-05,1.75072391310556e-05,4.27834972807652e-06,1.06246934670849e-05,1.26061077143363e-05,1.7708391842013e-05,7.70545296130608e-06,1.50373559204646e-05,7.47163677768051e-06,8.70638468643719e-06
azelaic acid,4.11120901424357e-05,3.07182108771961e-05,4.26443355017444e-05,2.68711498388467e-05,1.7582961916634e-05,4.32958550671468e-05,0.00028258230705866,0.000217121664888673,0.000400087622750604,0.000292262980067608,0.000118413163202721,0.000336889614919664,8.92326525687855e-05,0.000177144686502369,6.4083138578069e-05,5.5781250512295e-05,6.17773486126754e-05,3.54888108075501e-05,4.14089787613614e-05,3.64266790474488e-05,3.46723026622791e-05,4.38794105810308e-05,0.000183806727535641,0.000276514126518076,0.000679206767700918,7.6010396035795e-05,0.0002312979838123,0.0002064788205589,0.000619712092652055,4.45859070725206e-05,7.93355616230919e-05,0.000163582784809266,0.000112698336211494
biliverdin,1.27546612281633e-05,2.19927531787551e-05,2.08896764106283e-05,2.09736765632206e-05,1.6702029995203e-05,2.40289062517938e-05,9.05021317171295e-06,1.84090824634785e-05,2.01549805360151e-05,1.05735437989697e-05,8.12272605084564e-06,1.73383596894573e-05,2.38096475146437e-05,2.38683287479912e-05,2.34574824649269e-05,2.73144573597383e-05,2.47226570184076e-05,1.43093393524609e-05,1.17567017624168e-05,1.21188720236188e-05,1.67230555247897e-05,9.83625249323491e-06,1.64500062830971e-05,1.01406774021885e-05,1.87035557234933e-05,9.0377376580417e-06,2.27094005684538e-05,1.75417394642019e-05,1.01440496744854e-05,2.04698045105707e-05,2.65340368518078e-05,1.68946827726172e-05,1.83579073477545e-05
carnosine,1.27546612281633e-05,2.19927531787551e-05,2.08896764106283e-05,2.09736765632206e-05,1.6702029995203e-05,2.40289062517938e-05,9.05021317171295e-06,1.84090824634785e-05,2.01549805360151e-05,1.05735437989697e-05,8.12272605084564e-06,1.73383596894573e-05,2.38096475146437e-05,2.38683287479912e-05,2.34574824649269e-05,2.73144573597383e-05,2.47226570184076e-05,1.43093393524609e-05,1.17567017624168e-05,1.21188720236188e-05,1.67230555247897e-05,9.83625249323491e-06,1.64500062830971e-05,1.01406774021885e-05,1.87035557234933e-05,9.0377376580417e-06,2.27094005684538e-05,1.75417394642019e-05,1.01440496744854e-05,2.04698045105707e-05,2.65340368518078e-05,1.68946827726172e-05,1.83579073477545e-05
choline and or isomers,0.000129325149613063,9.73893733159451e-05,0.000107311432834915,3.49735199650357e-05,3.73082124010122e-05,0.000159581620695551,5.47543032877046e-05,6.82686611958179e-05,6.52650865307196e-05,5.24665580856749e-05,7.97543774259075e-05,5.47359001012476e-05,0.000125017613903252,8.25917870060613e-05,0.000133446907537005,0.000121223998423355,0.000158481446598855,0.000131442250402987,6.71312647565277e-05,0.00010121350271557,5.4216874666254e-05,8.75969325265042e-05,9.60499582887018e-05,5.35263515911994e-05,4.34490279786488e-05,6.6553670778007e-05,3.0151708468466e-05,5.31989414495834e-05,6.08314797937993e-05,0.000107700119389205,0.000126527631188852,0.000130414610620114,9.02405314879393e-05
cysteic acid,7.59494342649784e-05,0.000120863267264376,8.19872840625953e-05,9.26374227584049e-05,8.12227004838219e-05,0.000120406948300025,0,3.46666008098721e-06,4.43588337272868e-07,0,0,6.44501222965517e-05,5.71110663050471e-05,5.579793044693e-05,7.68967409609163e-05,5.51711857809132e-05,6.89876035317207e-05,0.00011768107270203,7.92728721228737e-05,7.42286135574797e-05,0.000102558757837076,0.000124910701110783,0,0,3.81616555860711e-05,7.78452935097242e-05,5.40078265210335e-05,3.5690506007306e-05,6.07494622503624e-05,0.000104726152695245,0.000115084442362365,4.88946781399549e-05,3.7669209248849e-05
cytidine 2,3-cyclic mono-phosphoric acid,4.28462128042602e-06,2.60925034813581e-05,1.57464522848832e-05,6.73976929409056e-06,2.51186802374983e-05,2.56649987893367e-05,2.35466156649113e-06,1.43012355178545e-05,2.04268780328369e-05,1.77815739568535e-06,7.50964448337635e-07,1.61816578156751e-05,1.51928303311655e-05,1.43995791155665e-05,2.13725386548899e-05,2.07860275172365e-05,2.18085767549989e-05,7.39295708220301e-06,1.06811100219712e-05,2.08818288110556e-05,1.41968849378724e-05,1.34069502015262e-05,3.19440698192618e-05,2.69679435582265e-06,2.04675337519402e-05,6.60110682626903e-06,1.66953416133297e-05,1.75467813106491e-05,1.44603022720852e-05,2.04971138743452e-05,1.24157433345575e-05,1.4882996706405e-05,7.9519064015219e-06
dAMP,0.000737018942504297,0.00199388711609328,0.000786658709278921,0.00320608180494031,0.00213418376497177,0.00125785889118965,0.00263159260269702,0.0024868342612263,0.00272385583377688,0.00217298537205371,0.00235005858158681,0.00190172321678069,0.000393431000075814,0.000483102757046574,0.000501217540761857,0.000433912715053085,0.000479316062324877,0.00174028857711016,0.000820563432885688,0.000455839896078544,0.00212989436218476,0.000860926503193898,0.00348656837010252,0.00229226194308293,0.00261261178564004,0.00135482630539957,0.00362833938634338,0.0028983387665952,0.00268110833688858,0.000952402590393472,0.00166155834457162,0.000404710660446564,0.000993265978293161
