"","Carboxylic acids and derivatives","Diazines","Fatty Acyls","Imidazopyrimidines","Organooxygen compounds","Phenols","Pyridines and derivatives","Pyrimidine nucleosides","Unknown"
"Arabidopsis_00h","ab","a","a","bc","a","ab","a","a","c"
"Arabidopsis_02h","ab","a","a","a","a","a","a","a","d"
"Arabidopsis_04h","bc","a","a","abc","a","c","b","a","bcd"
"Arabidopsis_1d","c","a","a","ab","a","b","b","a","b"
"Arabidopsis_4d","c","a","a","d","a","b","ab","a","a"
"Arabidopsis_p5h","a","a","a","c","a","a","a","a","cd"
