"","Alcohols and polyols","Amino acids, peptides, and analogues","Fatty acids and conjugates","Methoxyphenols","Purines and purine derivatives","Pyridinecarboxylic acids and derivatives","Pyrimidine 2-deoxyribonucleosides","Pyrimidines and pyrimidine derivatives","Unknown"
"Arabidopsis_00h","a","ab","a","ab","bc","a","a","a","c"
"Arabidopsis_02h","a","ab","a","a","a","a","a","a","d"
"Arabidopsis_04h","a","bc","a","c","abc","b","a","a","bcd"
"Arabidopsis_1d","a","c","a","b","ab","b","a","a","b"
"Arabidopsis_4d","a","c","a","b","d","ab","a","a","a"
"Arabidopsis_p5h","a","a","a","a","c","a","a","a","cd"
