"","id","group","Benzenoids","Lipids and lipid-like molecules","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic oxygen compounds","Organoheterocyclic compounds","Unknown"
"1","Arabidopsis.1d.1","Arabidopsis_1d",2.35061473034692e-06,0,7.94683102275386e-05,0.132204234828981,0.00759195951299723,0.477658498630561,0.382463488102504
"2","Arabidopsis.1d.2","Arabidopsis_1d",1.39600717475931e-06,0,0.00370068126244214,0.111503737824269,6.78276236709052e-05,0.399658901782251,0.485067455500192
"3","Arabidopsis.1d.3","Arabidopsis_1d",2.79316369555255e-06,0,8.39631449595561e-05,0.202991512382644,0.000557367488782836,0.45041664456599,0.345947719253928
"4","Arabidopsis.1d.4","Arabidopsis_1d",2.40234314273052e-06,0,0.000131820903791868,0.19103308056316,0.000672358347387391,0.436389950193719,0.371770387648799
"5","Arabidopsis.00h.1","Arabidopsis_00h",4.34172779138529e-05,0,0.000132960581744933,0.401332956410793,0.00143810090975098,0.212104175951971,0.384948388867826
"6","Arabidopsis.00h.2","Arabidopsis_00h",3.70127845283555e-05,0,5.62126448933899e-05,0.439881902883183,0.0007582572529642,0.342786455596474,0.216480158837957
"7","Arabidopsis.00h.3","Arabidopsis_00h",7.6377287192841e-06,0,0.000161077316402735,0.46262623056664,0.000114252663632711,0.352502350184493,0.184588451540113
"8","Arabidopsis.00h.4","Arabidopsis_00h",2.90949133544531e-05,0,0.000171184741032712,0.344379218106295,0.00120278211727163,0.292545102177713,0.361672617944333
"9","Arabidopsis.02h.1","Arabidopsis_02h",0.000281762155524125,0,0.00059463105642164,0.281266192034037,0.000500640204605842,0.536144601839853,0.181212172709559
"10","Arabidopsis.02h.2","Arabidopsis_02h",2.80071731538216e-06,0,0,0.339927962339979,0.000505900530956812,0.48535884718586,0.174204489225888
"11","Arabidopsis.02h.3","Arabidopsis_02h",1.52766439411207e-06,2.37191797033956e-05,7.06051527131737e-06,0.336555912733212,0.00511074712076863,0.552411714687282,0.105889318099369
"12","Arabidopsis.02h.4","Arabidopsis_02h",1.86043718437031e-06,0,1.60844703652254e-05,0.4845188497606,2.13021139326466e-05,0.271281276546053,0.244160626671865
"13","Arabidopsis.04h.1","Arabidopsis_04h",1.63113972709172e-07,1.70005186887667e-05,0.000164935070857573,0.190990792806236,0.00520969803374811,0.527387405458721,0.276230004997776
"14","Arabidopsis.04h.2","Arabidopsis_04h",5.54889170071113e-07,8.3757583704647e-06,0.000245774292182601,0.164260324343844,2.628931240121e-05,0.498364868533778,0.337093812870253
"15","Arabidopsis.04h.3","Arabidopsis_04h",1.41295691688399e-07,0,3.2875586972174e-05,0.372176779744417,0.000407032311735282,0.364394784145468,0.262988386915716
"16","Arabidopsis.04h.4","Arabidopsis_04h",2.75949139326059e-07,7.2527793448862e-05,0.000227291652873577,0.314568591199063,0.000510924485835107,0.349735311763443,0.334885077156197
"17","Arabidopsis.4d.1","Arabidopsis_4d",2.91549750443757e-06,0,0.000135583173084515,0.157421736961313,0.00960272558808541,0.14140268789796,0.691434350882053
"18","Arabidopsis.4d.2","Arabidopsis_4d",1.80070277111181e-06,0,0.00232515830791935,0.132281679567354,0.00625212572950955,0.114575790131511,0.744563445560935
"19","Arabidopsis.4d.3","Arabidopsis_4d",3.36304721170606e-06,0,0.000196955357128299,0.172547754948779,0.00926902598679876,0.209158763526058,0.608824137134024
"20","Arabidopsis.4d.4","Arabidopsis_4d",3.33660087068261e-06,0,0.00397560936646782,0.15672945432284,0.000169875538607846,0.20322370258303,0.635898021588184
"21","Arabidopsis.p5h.1","Arabidopsis_p5h",4.33084255184673e-06,0,0.000134673167507224,0.436716346881632,0.00012258659595042,0.281201244155245,0.281820818357113
"22","Arabidopsis.p5h.2","Arabidopsis_p5h",1.2133292921092e-05,0,0.000123937388347203,0.41407800143302,0.00110562493830138,0.328726927103289,0.255953375844122
"23","Arabidopsis.p5h.3","Arabidopsis_p5h",6.3894617628861e-07,0,0.000127169284790227,0.684263654887501,0.000449050910353571,0.250734479578043,0.0644250063931362
"24","Arabidopsis.p5h.4","Arabidopsis_p5h",4.44400605300691e-06,0,0.000158468420188087,0.460741725012979,0.00120772515323623,0.283224365697748,0.254663271709796
