"","Benzenoids","Lipids and lipid-like molecules","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic oxygen compounds","Organoheterocyclic compounds","Unknown"
"Arabidopsis_00h","ab","a","a","ab","a","bc","c"
"Arabidopsis_02h","a","a","a","ab","a","a","d"
"Arabidopsis_04h","c","a","a","bc","a","abc","bcd"
"Arabidopsis_1d","b","a","a","c","a","ab","b"
"Arabidopsis_4d","b","a","a","c","a","d","a"
"Arabidopsis_p5h","a","a","a","a","a","c","cd"
