"","Alkaloids and derivatives","Benzenoids","Lipids and lipid-like molecules","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic nitrogen compounds","Organic oxygen compounds","Organoheterocyclic compounds","Unknown"
"root.Arabidopsis","bd","d","cd","bd","a","b","c","a","c"
"root.Brachy","a","c","a","a","b","a","bc","a","e"
"root.Medicago","bd","c","ab","a","a","e","d","a","d"
"shoot.Arabidopsis","d","bc","d","d","d","c","a","c","a"
"shoot.Brachy","bc","a","c","c","c","a","ab","b","b"
"shoot.Medicago","ac","b","b","bc","ab","d","a","a","d"
