"","id","group","Azoles","Benzene and substituted derivatives","Carboximidic acids and derivatives","Carboxylic acids and derivatives","Diazines","Fatty Acyls","Imidazopyrimidines","Indoles and derivatives","Organonitrogen compounds","Organooxygen compounds","Pteridines and derivatives","Purine nucleosides","Pyridines and derivatives","Pyrimidine nucleosides","Quinolines and derivatives","Tetrapyrroles and derivatives","Unknown"
"1","root.EOD.Arabidopsis.1.451.3.R","root.Arabidopsis",2.45471426094012e-05,0.0011285086784714,9.33417598173698e-08,0.0306803700869649,0.232463616746743,0.0017891374977125,9.16843938607757e-05,0.0164902634591062,0.000121719180233016,0.0176793869497522,0.00126362163218319,0.000550722500925137,0.00057880836030628,0.00020939958319555,0,1.27554848397948e-05,0.696915364961337
"2","root.EOD.Arabidopsis.2.452.3.R","root.Arabidopsis",2.38820241597932e-05,0.00164772707478724,0,0.0151882249959647,0.177121863399188,0.0170028486824016,0.00112648517250459,0.00428061443746621,0.00011708611620544,0.0240448582641319,0.000248891357645169,0.000517103040140399,0.000199525300373288,0.000255203462159274,0,2.19936119536407e-05,0.758203693060919
"3","root.EOD.Arabidopsis.3.453.3.R","root.Arabidopsis",1.5487127738141e-05,0.00111896257132785,0,0.0207631133900043,0.170611153264872,0.00914816431406673,0.000609525831031109,0.0122952828916238,8.73034482058806e-05,0.0327163900434042,0.000505223553835898,0.000187661374925144,0.000396973320635697,0.000145550194925145,0,2.08906309670033e-05,0.751378318042437
"4","root.EOD.Arabidopsis.4.454.3.R","root.Arabidopsis",5.22861309264035e-05,0.00202029525586188,0,0.0227164184044849,0.235429234360858,0.0047518375830947,0.00028287647005149,0.00515365856322,0.000148022797236482,0.0178981342896296,0.000351221080445271,0.00164401016282909,0.000333099644500757,0.000504590396985775,2.23384353983002e-05,2.0973212852087e-05,0.708671003211625
"5","root.EOD.Arabidopsis.5.455.3.R","root.Arabidopsis",3.72323975591885e-05,0.00101464982527513,0,0.0123624944765344,0.158511403303071,0.0234134322422649,0.00024612742675485,0.00348685778905143,9.64089230149906e-05,0.0254554666056409,0.00034290141232813,0.000608445671054375,0.000319385831930101,0.000280805773646953,0,1.67027548125656e-05,0.773807685567062
"6","root.EOD.Arabidopsis.6.456.3.R","root.Arabidopsis",2.12564268541081e-05,0.00211739649341944,0,0.0209594088892792,0.233425336229758,0.00784582684309355,0.00142197113234271,0.00199571583120574,0.000133206558423368,0.0252144467636161,0.000244025489370371,0.000256089853128018,0.000218761245267369,0.000312173825837981,0,2.40297064863809e-05,0.705810354711918
"7","root.EOD.Brachy.1.433.3.R","root.Brachy",3.91450611518828e-05,0.00192051092073008,0,0.0157831720825595,0.16119982105409,0.214641034457587,0.000755564614699166,0.0594091852777819,0.00024279489233516,0.019785269283374,0.000198822342582673,0.00159188092558503,0.000370553048481006,0.000715769150024044,0.00369513564890808,9.05000111557251e-06,0.519642291238995
"8","root.EOD.Brachy.2.434.3.R","root.Brachy",3.5114355641828e-05,0.00204485567131415,0,0.0118267362715167,0.1151679231359,0.191199261739481,0.000656742253453448,0.0398831467499305,0.000582366880406383,0.029323679179183,0.000146990293479306,0.000900777510141972,0.000241130271308422,0.000490644839363793,0.00333958365565902,1.84100632448809e-05,0.604142637129976
"9","root.EOD.Brachy.3.436.3.R","root.Brachy",2.52014778744457e-05,0.00263694304380582,0,0.0137377881029004,0.153377371416162,0.206703165854576,0.000806465110536345,0.0572667760181509,0.000632257484307847,0.0368734120736647,8.63678327632854e-05,0.0011023092471053,0.00015949993860864,0.000446604051444696,0.0028954971339671,2.01562485687491e-05,0.523230184965564
"10","root.EOD.Brachy.4.437.3.R","root.Brachy",4.16360254542436e-05,0.00258367082446338,0,0.0150686423181512,0.165583344160192,0.192112663123748,0.000698587677393803,0.0607878555755959,0.000252105030890129,0.0181255927411132,0.000246299812063294,0.00180499806320477,0.000469199036372881,0.0003969616538284,0.00378794883921149,1.05732860247412e-05,0.538029921832292
"11","root.EOD.Brachy.5.438.3.R","root.Brachy",3.95577703198696e-05,0.00118511341320834,0,0.0129139826729927,0.160165538020303,0.225939599205876,0.000768652945893233,0.100773876829887,0.000161106473809821,0.0241797726680244,0.000219690063748379,0.00224173912513165,0.000263369549734776,0.00025802602458795,0.0029885304995997,8.12260678349753e-06,0.4678933221301
"12","root.EOD.Brachy.6.439.3.R","root.Brachy",4.73546349017634e-05,0.00138071810550515,0,0.0114621092967641,0.154507739544726,0.234017782917585,0.000689750003606451,0.0438521043345742,0.000717148741853216,0.0278310665484451,0.000152902551117448,0.00172077518664002,0.000197925015184954,0.000367577015996043,0.00380269913036474,1.7339150388173e-05,0.519235007822347
"13","root.EOD.Medicago.1.442.3a.R","root.Medicago",6.05837957419431e-05,0.00184902725631564,0,0.0152685467395419,0.0979422934821282,0.159739894281368,0.000801187491554365,0.0514473110675365,3.38618646576718e-05,0.0111090845560205,0.000300313672239236,0.00147202202788564,5.79076008318071e-05,0.000173736656645107,0.00138734314806818,2.38107043989935e-05,0.658333075655067
"14","root.EOD.Medicago.2.442.3b.R","root.Medicago",6.63188484029233e-05,0.00125050841251553,0,0.0134368227273949,0.0932068369649961,0.18351780564673,0.000840223843129315,0.0448164406196546,2.16637360113749e-05,0.0119910111377191,0.000237284411938011,0.00159700493126184,4.27383266523845e-05,0.000141056374344168,0.00147682970429486,2.38694645999279e-05,0.647333584850355
"15","root.EOD.Medicago.3.444.3a.R","root.Medicago",7.06505473887448e-05,0.00198930190948784,0,0.0159480321452774,0.129721174085855,0.182146260776397,0.000629409592238296,0.0556869173529499,2.59709909412459e-05,0.013707333455683,0.000364956197272328,0.00122671352888617,9.52109834437348e-05,0.000243436683736842,0.0014570606755117,2.34585089412372e-05,0.59666411256599
