"","id","group","Alcohols and polyols","Alloxazines and isoalloxazines","Amines","Amino acids, peptides, and analogues","Benzoic acids and derivatives","Bilirubins","Carbohydrates and carbohydrate conjugates","Carboximidic acids","Dicarboxylic acids and derivatives","Fatty acids and conjugates","Hydroxyindoles","Imidazoles","Indolyl carboxylic acids and derivatives","Purines and purine derivatives","Pyridinecarboxylic acids and derivatives","Pyridoxamines","Pyrimidine 2-deoxyribonucleosides","Pyrimidines and pyrimidine derivatives","Quinoline carboxylic acids","Tryptamines and derivatives","Unknown"
"1","root.EOD.Arabidopsis.1.451.3.R","root.Arabidopsis",0.0156624709813022,0.00126362163218319,0.000121719180233016,0.0306071887682061,0.0011285086784714,1.27554848397948e-05,0.00201691596844999,9.33417598173698e-08,7.3181318758793e-05,0.0017891374977125,0.00135127603014658,2.45471426094012e-05,0.0151389874289596,9.16843938607757e-05,2.62659224491026e-05,0.000552542437857178,0.000169463611078753,0.232463616746743,0,0,0.697506023434379
"2","root.EOD.Arabidopsis.2.452.3.R","root.Arabidopsis",0.0230612189007606,0.000248891357645169,0.00011708611620544,0.0150644057046772,0.00164772707478724,2.19936119536407e-05,0.000983639363371243,0,0.00012381929128751,0.0170028486824016,0.00307315435101725,2.38820241597932e-05,0.00120251885889722,0.00112648517250459,1.58950618426865e-05,0.000183630238530601,0.000191202902045764,0.177121863399188,0,4.94122755174734e-06,0.758784796661173
"3","root.EOD.Arabidopsis.3.453.3.R","root.Arabidopsis",0.0310061913386919,0.000505223553835898,8.73034482058806e-05,0.0207086078759075,0.00111896257132785,2.08906309670033e-05,0.0017101987047123,0,5.45055140968298e-05,0.00914816431406673,0.00128990332547784,1.5487127738141e-05,0.0110053795661459,0.000609525831031109,8.89907783081535e-05,0.000307982542327543,0.00011654581675728,0.170611153264872,0,0,0.75159498379553
"4","root.EOD.Arabidopsis.4.454.3.R","root.Arabidopsis",0.017122440642727,0.000351221080445271,0.000148022797236482,0.0226198389770465,0.00202029525586188,2.0973212852087e-05,0.000775693646902596,0,9.65794274383718e-05,0.0047518375830947,0.00487495539674121,5.22861309264035e-05,0.000278703166478782,0.00028287647005149,1.20371363026387e-05,0.000321062508198119,0.000378137390227676,0.235429234360858,2.23384353983002e-05,0,0.710441466381213
"5","root.EOD.Arabidopsis.5.455.3.R","root.Arabidopsis",0.0247082085496376,0.00034290141232813,9.64089230149906e-05,0.0123383749586446,0.00101464982527513,1.67027548125656e-05,0.000747258056003331,0,2.41195178897777e-05,0.0234134322422649,0.00297374619731084,3.72323975591885e-05,0.000513111591740589,0.00024612742675485,1.60819360524243e-05,0.000303303895877677,0.000207453133338702,0.158511403303071,0,0,0.774489483878424
"6","root.EOD.Arabidopsis.6.456.3.R","root.Arabidopsis",0.0241294768653041,0.000244025489370371,0.000133206558423368,0.020763738298698,0.00211739649341944,2.40297064863809e-05,0.00108496989831204,0,0.000195670590581261,0.00784582684309355,0.000988823911373342,2.12564268541081e-05,0.0010023050009324,0.00142197113234271,2.21365457332511e-05,0.000196624699534118,0.000265714076580448,0.233425336229758,0,4.58691890000269e-06,0.706112904314304
"7","root.EOD.Brachy.1.433.3.R","root.Brachy",0.0197735741381985,0.000198822342582673,0.00024279489233516,0.0157368574988188,0.00192051092073008,9.05000111557251e-06,1.16951451754686e-05,0,4.6314583740695e-05,0.214641034457587,0.00270213567949117,3.91450611518828e-05,0.0567070495982908,0.000755564614699166,7.14610277558887e-06,0.000363406945705417,0.000187353124216788,0.16119982105409,0.00369513564890808,0,0.521762588190387
"8","root.EOD.Brachy.2.434.3.R","root.Brachy",0.0293051006491869,0.000146990293479306,0.000582366880406383,0.0117932569756289,0.00204485567131415,1.84100632448809e-05,1.85785299960492e-05,0,3.34792958877905e-05,0.191199261739481,0.00268029083723243,3.5114355641828e-05,0.0372018438536365,0.000656742253453448,1.19355179653026e-05,0.000229194753343119,0.00015693694097963,0.1151679231359,0.00333958365565902,1.01205906162623e-06,0.605377122538502
"9","root.EOD.Brachy.3.436.3.R","root.Brachy",0.0368550433250867,8.63678327632854e-05,0.000632257484307847,0.0136948463505078,0.00263694304380582,2.01562485687491e-05,1.83687485779898e-05,0,4.29417523925348e-05,0.206703165854576,0.00199031566671116,2.52014778744457e-05,0.0552764603514398,0.000806465110536345,8.47171292014457e-06,0.000151028225688495,0.000100071355649366,0.153377371416162,0.0028954971339671,0,0.524679026908465
"10","root.EOD.Brachy.4.437.3.R","root.Brachy",0.018116080403562,0.000246299812063294,0.000252105030890129,0.0150242849413663,0.00258367082446338,1.05732860247412e-05,9.51233755125274e-06,0,4.43573767849068e-05,0.192112663123748,0.00396924488678687,4.16360254542436e-05,0.056818610688809,0.000698587677393803,4.10591938537778e-06,0.000465093116987503,0.000201444183135268,0.165583344160192,0.00378794883921149,0,0.54003043736619
"11","root.EOD.Brachy.5.438.3.R","root.Brachy",0.0241612297436791,0.000219690063748379,0.000161106473809821,0.0128930015414771,0.00118511341320834,8.12260678349753e-06,1.85429243453106e-05,0,2.09811315156224e-05,0.225939599205876,0.00186056586322265,3.95577703198696e-05,0.098913310966664,0.000768652945893233,3.05341311784187e-06,0.000260316136616934,0.000191631150282477,0.160165538020303,0.0029885304995997,0,0.470201456129537
"12","root.EOD.Brachy.6.439.3.R","root.Brachy",0.0278196583067114,0.000152902551117448,0.000717148741853216,0.0114253301421082,0.00138071810550515,1.7339150388173e-05,1.14082417337453e-05,0,3.67791546558366e-05,0.234017782917585,0.00221268398257877,4.73546349017634e-05,0.0416379913604443,0.000689750003606451,1.24263971371383e-05,0.000185498618047815,0.000190815392301937,0.154507739544726,0.00380269913036474,1.4289915511427e-06,0.521132544632681
"13","root.EOD.Medicago.1.442.3a.R","root.Medicago",0.0110993249762049,0.000300313672239236,3.38618646576718e-05,0.015260295354885,0.00184902725631564,2.38107043989935e-05,9.75957981567443e-06,0,8.25138465692667e-06,0.159739894281368,0.00387140354460682,6.05837957419431e-05,0.0475359865909043,0.000801187491554365,2.88615214377107e-05,2.90460793940964e-05,1.03507969101878e-05,0.0979422934821282,0.00138734314806818,3.9920932025374e-05,0.659968483542687
"14","root.EOD.Medicago.2.442.3b.R","root.Medicago",0.0119751133262168,0.000237284411938011,2.16637360113749e-05,0.0134258758788423,0.00125050841251553,2.38694645999279e-05,1.58978115022245e-05,0,1.09468485525319e-05,0.18351780564673,0.00648542958379869,6.63188484029233e-05,0.038302346080151,0.000840223843129315,1.51828126559255e-05,2.7555513996459e-05,2.31423014346733e-05,0.0932068369649961,0.00147682970429486,2.86649557048838e-05,0.649048503854527
"15","root.EOD.Medicago.3.444.3a.R","root.Medicago",0.0137002665979101,0.000364956197272328,2.59709909412459e-05,0.0159148141063467,0.00198930190948784,2.34585089412372e-05,7.06685777284702e-06,0,3.3218038930781e-05,0.182146260776397,0.00519794624873899,7.06505473887448e-05,0.0504810228564486,0.000629409592238296,3.869044940097e-05,5.65205340427648e-05,1.39082110522024e-05,0.129721174085855,0.0014570606755117,7.94824776239704e-06,0.598120354567561
"16","root.EOD.Medicago.4.449.3a.R","root.Medicago",0.0136837658571319,0.000270111890107596,3.95686904427972e-05,0.0156813528869078,0.00185993314497756,2.73158281053569e-05,2.47664174973352e-05,0,2.52184379899553e-05,0.159311062315395,0.00632465346266313,7.55590744696831e-05,0.0658473113166204,0.000593304944683607,2.64688654430857e-05,5.38106504753971e-05,2.39159751289461e-05,0.122567214076045,0.00179557323622126,8.51290280395778e-06,0.61176058002689
"17","root.EOD.Medicago.5.449.3b.R","root.Medicago",0.0108252016367969,0.000553061371681649,3.79200108112986e-05,0.0188192269928953,0.00251078633389052,2.47237968922867e-05,1.44177224441879e-05,0,8.53759360050673e-06,0.190364079000003,0.00455384425338021,7.1593332128764e-05,0.0572127243900847,0.000372525884476566,1.54330914584633e-05,5.51708393901354e-05,1.34103517265924e-05,0.137781554239766,0.001944142982585,1.93568299039155e-05,0.574802289346084
"18","root.EON.Arabidopsis.1.451.4.R","root.Arabidopsis",0.0193169070651641,0.00132660907255462,5.26071818656603e-05,0.0182396862308421,0.000912149045640737,1.43140132000851e-05,0.00135912783036695,0,1.46821253033623e-05,0.00203336955400191,0.0031652206050983,4.17418728233527e-05,0.0467586986251925,4.44892883573564e-05,7.32955123132054e-05,0.000735727600553346,0.00020955669919657,0.164009865642617,0,0,0.741691952034908
"19","root.EON.Arabidopsis.2.452.4.R","root.Arabidopsis",0.0153202368653608,0.0006548598673015,6.5355095892606e-05,0.0207921529304392,0.000927911436714403,1.17610357884692e-05,0.00175355797720071,0,5.13474167934208e-05,0.00319540314224288,0.00157309602172705,2.88404247109113e-05,0.011868538051353,7.34383693935136e-05,2.1929382406065e-05,0.000254915045098317,0.000230789667879319,0.232742901813855,0,6.68175821528606e-06,0.710426283697628
