"","id","group","Alkaloids and derivatives","Benzenoids","Lipids and lipid-like molecules","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic nitrogen compounds","Organic oxygen compounds","Organoheterocyclic compounds","Unknown"
"1","root.EOD.Arabidopsis.1.451.3.R","root.Arabidopsis",0.00379801299830646,0.0011285086784714,0.0017891374977125,0.000760122084120686,0.0306804634287247,0.000121719180233016,0.0176793869497522,0.250925297219649,0.69311735196303
"2","root.EOD.Arabidopsis.2.452.3.R","root.Arabidopsis",0.00174162705964264,0.00164772707478724,0.0170028486824016,0.000772306502299673,0.0151882249959647,0.00011708611620544,0.0240448582641319,0.183023255303291,0.756462066001276
"3","root.EOD.Arabidopsis.3.453.3.R","root.Arabidopsis",0.00194011041572024,0.00111896257132785,0.00914816431406673,0.000333211569850289,0.0207631133900043,8.73034482058806e-05,0.0327163900434042,0.184454536620704,0.749438207626717
"4","root.EOD.Arabidopsis.4.454.3.R","root.Arabidopsis",0.00382559572606138,0.00202029525586188,0.0047518375830947,0.00214860055981487,0.0227164184044849,0.000148022797236482,0.0178981342896296,0.241645687898252,0.704845407485564
"5","root.EOD.Arabidopsis.5.455.3.R","root.Arabidopsis",0.00251394393515239,0.00101464982527513,0.0234134322422649,0.000889251444701328,0.0123624944765344,9.64089230149906e-05,0.0254554666056409,0.162960610915507,0.771293741631909
"6","root.EOD.Arabidopsis.6.456.3.R","root.Arabidopsis",0.00264370908315211,0.00211739649341944,0.00784582684309355,0.000568263678965999,0.0209594088892792,0.000133206558423368,0.0252144467636161,0.237351096061284,0.703166645628766
"7","root.EOD.Brachy.1.433.3.R","root.Brachy",0.0107167387804371,0.00192051092073008,0.214641034457587,0.00230765007560907,0.0157831720825595,0.00024279489233516,0.019785269283374,0.225677277048811,0.508925552458558
"8","root.EOD.Brachy.2.434.3.R","root.Brachy",0.00804989686175387,0.00204485567131415,0.191199261739481,0.00139142234950577,0.0118267362715167,0.000582366880406383,0.029323679179183,0.159489040778618,0.596092740268222
"9","root.EOD.Brachy.3.436.3.R","root.Brachy",0.0104558268934906,0.00263694304380582,0.206703165854576,0.00154891329855,0.0137377881029004,0.000632257484307847,0.0368734120736647,0.214637335176631,0.512774358072074
"10","root.EOD.Brachy.4.437.3.R","root.Brachy",0.0102464940022614,0.00258367082446338,0.192112663123748,0.00220195971703317,0.0150686423181512,0.000252105030890129,0.0181255927411132,0.231625444412309,0.527783427830031
"11","root.EOD.Brachy.5.438.3.R","root.Brachy",0.00859595403936178,0.00118511341320834,0.225939599205876,0.0024997651497196,0.0129139826729927,0.000161106473809821,0.0241797726680244,0.265227338286269,0.459297368090738
"12","root.EOD.Brachy.6.439.3.R","root.Brachy",0.0050230924105751,0.00138071810550515,0.234017782917585,0.00208835220263607,0.0114621092967641,0.000717148741853216,0.0278310665484451,0.203267814364864,0.514211915411772
"13","root.EOD.Medicago.1.442.3a.R","root.Medicago",0.00284301847897839,0.00184902725631564,0.159739894281368,0.00164575868453075,0.0152685467395419,3.38618646576718e-05,0.0111090845560205,0.152020750962499,0.655490057176088
"14","root.EOD.Medicago.2.442.3b.R","root.Medicago",0.00309288846129945,0.00125050841251553,0.18351780564673,0.00173806130560601,0.0134368227273949,2.16637360113749e-05,0.0119910111377191,0.140710542183668,0.644240696389056
