,exudate-EON-Arabidopsis-1-451-2,exudate-EON-Arabidopsis-2-452-2,exudate-EON-Arabidopsis-3-453-2,exudate-EON-Arabidopsis-4-454-2,exudate-EON-Arabidopsis-5-455-2,exudate-EON-Arabidopsis-6-456-2,exudate-EON-Arabidopsis-7-457-2,exudate-EON-Arabidopsis-8-458-2,exudate-EON-Brachy-1-433-2,exudate-EON-Brachy-2-434-2,exudate-EON-Brachy-3-436-2,exudate-EON-Brachy-4-437-2,exudate-EON-Brachy-5-438-2,exudate-EON-Brachy-6-439-2,exudate-EON-Brachy-7-440-2,exudate-EON-Medicago-1-442-2,exudate-EON-Medicago-2-444-2,exudate-EON-Medicago-3-449-2,exudate-EOD-Arabidopsis-1-451-1,exudate-EOD-Arabidopsis-2-452-1,exudate-EOD-Arabidopsis-3-453-1,exudate-EOD-Arabidopsis-4-454-1,exudate-EOD-Arabidopsis-5-455-1,exudate-EOD-Arabidopsis-6-456-1,exudate-EOD-Arabidopsis-7-457-1,exudate-EOD-Arabidopsis-8-458-1,exudate-EOD-Brachy-1-433-1,exudate-EOD-Brachy-2-434-1,exudate-EOD-Brachy-3-436-1,exudate-EOD-Brachy-4-437-1,exudate-EOD-Brachy-5-438-1,exudate-EOD-Brachy-6-439-1,exudate-EOD-Brachy-7-440-1,exudate-EOD-Medicago-1-442-1,exudate-EOD-Medicago-2-444-1,exudate-EOD-Medicago-3-449-1
3-methyladenine,0.00076804284890966,0.000655751827656087,0.000423819126932352,0.00104160897517459,0.000831494358033627,0.00117990561540329,0.000747057278436576,0.0011179328947149,0.00110585392392824,5.42175077184095e-05,8.37970345601585e-05,0,0,0,0,0.000148347806103119,2.63241673779705e-05,0,0.00109601705357217,0.00236326119327255,0.00185976148499142,0.00257398295068701,0.00359923582361909,0.00193565856671813,0.00122532605398667,0.00220820190279429,0,0,0,0,0,0,0,0,0,0
4-quinolinecarboxylic acid and isomers,0.00732554950048128,0.00591241943975319,0.00508582503730796,0.00767983063486303,0.0098604330314292,0.00259915972792082,0.00602765931566497,0.00590662842185054,0.00570442739149344,0.00379230692732356,0.00428709827491049,0.00298689153323229,0.003821191050362,0,0,0,0,0,0.0122560174196489,0.0114270317334828,0.0161804618206614,0.0128671743445013,0.03368388569053,0.0150438654572929,0.0129423678848894,0.0102032386288699,0,0,0,0,0,0,0,0,0,0
5-oxo-proline,0.00211629087287762,0.00823880960564467,0.0054639588437321,0.00318677031258965,0.00608082065202753,0.0061975420901319,0.00269496950214104,0.00177525742751826,0.000592127818295256,0,0,0,0,0,0.0336288202905364,0.000411555229741644,0.000138069500652202,0,0.01026577925215,0.00758476375225625,0.00574627507892489,0.00418002858482377,0.00256647034934382,0.00594106079571917,0.00267778945464172,0.00278840544921157,0,0,0.000366181447575706,2.35587963800018e-05,2.49424329123884e-05,2.50071722004525e-05,0.00801276303092042,0.00146140903186617,0.00150400831967979,0.00014063470443051
adenosine and isomers,0.19762599750529,0.126165447212589,0.148751820806814,0.181561878197812,0.0104403300889113,0.106344208904944,0.205214730876793,0.186641717568773,0,0,0,0,0,0,0,0.173548041370281,0.103489217537554,0.104766297483073,0.0773680021694882,0.164402138457419,0.17936002801238,0.161506981012537,0.0348574938600201,0.196752317661587,0.187170188698639,0.140512871699059,0.0140063602239896,0.00922435624169311,0.0101524904374804,0.0131593631726387,0.00361100046808877,0.0115901310265745,0,0.14727801355602,0.112989836998809,0.18335904713055
dihexose (ex. trehalose, melibiose),0.000192163033167545,0.00024797729801529,0.000305414604758312,0.000326760709552905,0.000178706208183021,0.000245352783602425,0.000273874891922014,0.000215596743787909,0,0,0,2.57897266525171e-05,0,0,0,0,0,0,0.00037903629349309,0.000314024526047618,0.000350084030052885,0.000308561947104366,0.000471376412870914,0.000453351455942071,0.00028016953031596,0.000200845322138526,0,0,3.20284546574888e-05,0,0,0,0,0,0,0
glyceraldehyde or lactic acid,0.000804856226200197,0.00320745840218119,0.0019565792967344,0.00062867603050301,0.00188518610992042,0.00192988230830115,0.000518482774377872,0.000492299973116718,0,0.00757552340886179,0.0056036139894558,2.66038666396933e-06,0,0.00189501587539027,0.0213875872798216,0.000627036781085825,0.00157947585193356,0.00237907754363813,0.0015644982551331,0.000127562626342615,0,0,0,0,0,0.000665787368454041,0,0,0,0,0,0,0,0,0,0
isomer of 5-methylcytosine,0.000604940156842195,0.000581899759396681,0.000325504174222915,0.000556807661588727,0.000284329447736337,0.000370725830727204,0.000408763979510283,0.000321975588405841,0.00634677844130571,0.00492060700810996,0.00669625282610959,0.00480374118281698,0.00608695328602128,0.00503892812291264,0.00117987787007699,0.00672196982072568,0.002672561964348,0.00711450598798351,0.00133400643181308,0.0011028916023456,0.00145384872249781,0.00206183807998514,0.000277126767692864,0.00142006985724283,0.00109249173034227,0.000214328236916202,0.00394335389242017,0.00453335549297231,0.00604771766964192,0.00446456570987157,0.0056228969605627,0.00425021755784696,0.000273302973464857,0.00441302599049798,0.00767471648709813,0.00571830268799598
isomer of kynurenine,6.39353550430469e-05,0,0,6.26184075343615e-05,2.89707731077849e-05,9.03498080578653e-06,1.8033142597902e-05,2.44762615041189e-05,0.000224508517366827,0.00025208843729775,9.78149336107809e-05,0.000300674050748108,0.000502143404460193,0.000531294520840304,0.00260084254919218,0,0,0,1.04043747940503e-05,0,2.28562419718779e-05,9.1331516000397e-06,3.56822463967784e-05,1.03332000565669e-05,1.57971026265288e-05,6.57028565520453e-06,0.000588619673427562,0.000602371116188641,0.000649179899597059,0.000776698588338283,0.00040901947797511,0.000765054217314831,0.00440927104899679,3.1044468711907e-05,6.22719896781011e-05,1.94328565586325e-05
trans-cinnamic acid,0.00778136551531908,0.00402055288205444,0.00773767636107492,0.00352604595385031,0.00276334756179806,0.00122948058131238,0.00746969831550886,0.0025279826698891,0,0,0,0,0,0,0,2.06705927102467e-06,0,4.63004421690901e-05,0.000329418228720006,0.000688866372474287,0.000915484486540334,0.00069845296891359,0.00124540596760279,0.001730752895727,0.00109243123394582,0.000454908929406755,0,0,0,0,0,0,0,0,0,0
valine and/or norvaline,0.00181587244135007,0.00409319635292865,0.00261995727925768,0.00244428579706627,0.00272155606478923,0.00274624360259398,0.00143689113304593,0.00143643944485147,0.000130979419101774,0.000391700465361043,0.000602025248885278,0,0.000253729276142459,0.00090367734992793,0,0.000159978455550684,0.000616003728192377,0.000342626242719831,0.00281787297521319,0.0038547996182335,0.00324900702632913,0.00287115631274066,0.00190139894812973,0.00255080513451656,0.00153537697618366,0.00148220679354,0,0,0,0,0,0,0,0.000168607240086325,0.000124941012736474,0.000142834370957881
