"","Alcohols and polyols","Amino acids, peptides, and analogues","Fatty acids and conjugates","Methoxyphenols","Purines and purine derivatives","Pyridinecarboxylic acids and derivatives","Pyrimidine 2-deoxyribonucleosides","Pyrimidines and pyrimidine derivatives","Unknown"
"Medicago_00h","ab","a","ab","ab","ab","a","b","b","ab"
"Medicago_02h","ab","a","b","b","ab","a","ab","a","ab"
"Medicago_04h","b","a","ab","b","a","a","a","a","ab"
"Medicago_1d","ab","a","ab","ab","ab","a","a","a","b"
"Medicago_4d","a","a","a","a","b","a","a","a","a"
"Medicago_p5h","ab","a","a","ab","a","a","ab","ab","b"
