"","Brachy-1d.1","Brachy-1d.2","Brachy-1d.3","Brachy-1d.4","Brachy-00h.1","Brachy-00h.2","Brachy-00h.3","Brachy-00h.4","Brachy-02h.1","Brachy-02h.2","Brachy-02h.3","Brachy-02h.4","Brachy-04h.1","Brachy-04h.2","Brachy-04h.3","Brachy-04h.4","Brachy-4d.1","Brachy-4d.2","Brachy-4d.3","Brachy-4d.4","Brachy-p5h.1","Brachy-p5h.2","Brachy-p5h.3","Brachy-p5h.4","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","id","PCone"
"2-deoxyadenosine",0,0,0,0,0,0.00212537627926172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000215060195576092,0.000349082761622566,0.000492904202300336,0.000184109174305583,0.000685492774854749,0.00010635774882111,0.00138029649861647,0.000241806840774673,0.000948721048661245,-0.00285202941237275,0.00515610060913735,-0.00381047692327999,0.00861456964607223,-0.00958382451652053,-0.00841577002949849,0.016628726162496,-0.0334372199607949,-0.0145787493910276,-0.0100703325839401,-0.0135196916808771,0.00908108261969585,-0.0951235402813259,0.179297073645261,-0.0545553778277391,-0.0961648048606159,-0.106686750044672,0.0368844138268998,0.125769074708061,"2-deoxyadenosine",4.69900344378063e-07
"2-deoxyguanosine",4.76530663573083e-06,2.74017864318246e-06,0,1.26100734153898e-06,0.000324869904243048,0.000577853997808541,0.00579714691248856,0.000369201606889576,1.73760401312565e-07,0,0,0,0,1.64667286873972e-06,1.24284540484885e-06,1.14103369230409e-06,1.71347850173244e-06,7.42323133985922e-07,0,3.1561294037402e-06,0.000315805869177135,0.000349860372893963,0.000544768337988621,0.000438739427117776,0.00201546958843559,-0.00285723008943915,0.00553780653258365,-0.00274855384675876,-0.000638210940101589,0.015032769209846,-0.00142217971923673,0.0220865866824669,-0.00184464032343887,-0.0058320830299318,-0.0421154838681475,-0.0144995150199813,0.0233358721806787,0.00472282266879607,-0.00862025018126642,0.112493576525082,0.0633374237862876,0.110127540978707,-0.186715004225958,-0.439459678548312,0.064473709165255,0.0212185428981968,0.304071074906481,0.300026515302808,"2-deoxyguanosine",4.06211766190871e-06
"2-hydroxypyridine",0.00146186716884641,0,0,0,0.000185904355838549,2.28038644083922e-05,0.00013014520167692,0,0,0,0,0,0.000279356820234763,0,0,0,0,0,0,0.00034577241440513,0.00109085166615349,0,0,0,6.72854591172495e-05,-0.000221517988658057,-0.000603800257772187,0.00234854428405322,0.000328165016286885,-0.000441855911473804,0.00541748310270538,0.0073985374021831,0.00279220214989873,0.00580469866709146,0.00471689419859724,-0.0119322706926491,0.00614176781164093,-0.00577077135708155,-0.0238665845166853,-0.0315914117237216,0.0739658199582276,0.0979469561780397,0.0713646697206443,-0.0175509159146212,-0.15098662959815,0.221750930943522,0.0388004773755704,-0.810184664813993,"2-hydroxypyridine",4.52733300861906e-09
"3-methoxytyramine",5.22107007312655e-05,7.2495403422627e-05,0.000114404584889557,9.78714824676838e-05,9.51657579502432e-05,9.70658048761892e-05,4.37329252884709e-05,3.15938226933512e-05,3.24543993272729e-05,3.67107677611632e-05,9.69875937024122e-05,0.000172196294449359,0,1.50662658011356e-05,0.00013563051173529,5.69507994370416e-05,3.78076435814278e-05,7.01036416581044e-05,0.000123190193534901,8.74585600885269e-05,0.000173645008273233,0.000219140928322776,0.000305020753236728,0.000101523737223725,0.000188550473253736,0.000330526528383621,-0.000234562111489443,-0.000118093690562681,5.15504582045935e-06,-0.000251500509152492,-0.000475992387247577,-0.000218187579758035,1.16116414944494e-05,9.17885330985548e-05,0.000515944971717177,0.00222780202405483,-0.00255846542699879,-0.000442546754563109,-0.000667929229381653,0.00326407037605642,0.00368170651755711,0.00274305093951119,-0.00158027634697249,-0.00897073101132553,-0.00622416389870843,0.000357698340614844,-0.0138037357524799,-0.0285491256527397,"3-methoxytyramine",3.55512809642079e-08
"3-methyladenine",0.000149067502117893,9.70383613662149e-05,0.000117761120505073,0.000174874340406636,0.000345692251788995,0.000577953017795423,0.000341060721099655,0.000414773978076048,0.000200122859376064,0.000110759290814792,9.42809722365819e-05,9.1067910108663e-05,5.57827824959521e-05,5.93113299358857e-05,6.34646287747613e-05,0.000103531455106753,0.000235593219970728,0.000265361825180937,0.000229387701789332,0.0046825744895054,0.000226060839623719,0.000264833825713141,0.000111732834697682,0.00029818953546213,-0.000290945390756441,-0.000413076592460354,0.00124882422788456,-0.000769678953812801,0.00299894650728763,-0.00883449059838586,-0.000224506346415485,0.00449703582401061,-0.00705587287739212,-0.0136165899344396,-0.00777087682075743,-0.0126829212022652,-0.0747376530811081,0.0545642456187435,0.158988575241963,-0.130472438841929,0.204161740521698,0.216418845408833,-0.145034830649544,0.0338714804958253,-0.0551115927065247,-0.180685064117355,-0.208140807643819,-0.0512347747296969,"3-methyladenine",8.4649220402418e-08
"4-aminobutanoic acid",0.0093863168254926,0.0130898885852027,0.00096394788523815,0.0193503599913861,0.000697708316077116,0.0117749848246507,0.000394892814513337,0.000291897403676266,0,0,0,0,0.000112005070340699,0.00547204340736149,0.000633660153147294,0.0229683720105188,0.000486326046173745,0.00752588558683788,0.00998469662721781,0.01057335425219,0.00371585393399723,0.0164962897433837,0.000754253507923737,0.000959170012731047,0.00179103592263571,0.00316138178316099,-0.0106684610533502,-0.0117688640896579,0.0512381523339392,-0.0688654638245378,0.102265495782084,-0.16446920055754,0.091561139648667,0.114662699797118,-0.336183294613509,-0.652819641246397,-0.301291397664337,-0.310933139113607,0.0682885494151745,-0.0354649661855777,-0.129958322068574,-0.179556384408055,-0.141005951285391,0.217109310321209,0.0183313230168764,0.0751799091725866,0.1146421115583,-0.0417534542929317,"4-aminobutanoic acid",3.20780967617154e-06
"4-guanidinobutanoic acid",0.0124599007409699,0.00730074989628755,0.000643733855888044,0.00891645417993146,0.0232890127181438,0.00146134287324035,0.00210804341633464,0.000932970838160093,0.00128439385668481,0.000688583248701373,0.00995772776405865,0.0305095608359053,4.99623737782822e-05,0.0273625934004889,0.000805373103382769,0.0118889429680701,0.040009022637685,0.0188450777506561,0.048299106600864,0.0206266620806258,0.0874642178236043,0.000780948365350686,0.00164070693322342,0.00205455626919663,0.0138375813204649,-0.0227323716950097,-0.135938530661475,0.149110200163237,0.0554647085823467,-0.192960322249049,0.0303862147018721,0.729212471568557,-0.2625451122066,-0.185369744877326,-0.147772407205782,-0.224429355088877,0.28506499303442,-0.0517680464587853,-0.133046221910149,-0.186570213742122,-0.10376746481535,0.0608284766850041,0.0757230643561582,0.0210466131909085,0.0277256215130202,-0.042805688986884,-0.0101271608390653,-0.0264150246825522,"4-guanidinobutanoic acid",0.000191478656800478
"4-hydroxybenzoic acid",0,0,0,0.00229014618170875,6.53823867657087e-05,0,0,0,0,0,0,0,0,0,0,0,0.000548103515325883,0,0.00119665330300649,0,0.000395910203014842,0,0,0,-8.0251703942838e-05,-0.000273246257773848,-0.0012373395716142,0.000405584116398789,0.0024961387547166,-0.00355885506515082,0.00202016689828417,0.0028205698075418,-0.0106630345200407,0.0155556234791918,-0.00222119788265072,-0.0196797553755593,-0.0469026377713735,-0.011053626017486,-0.03110451139656,0.110545423540264,-0.048004484218876,0.0370164729395793,0.0479717178968603,0.00649583685671999,0.293051796108662,-0.123142596732429,0.000730994092564764,-0.117763266934617,"4-hydroxybenzoic acid",6.44033598572891e-09
"4-imidazoleacetic acid",4.62117621337605e-05,7.74600007238863e-05,0.000273270410561035,9.30950256323413e-05,1.9953423112196e-05,2.85065728383623e-05,2.43864307626817e-05,5.52816370775003e-06,4.17194192280626e-06,1.78378115216496e-05,3.49113834936635e-05,0.000414235048095119,3.68859901747975e-05,3.36326363335393e-05,5.64178897939931e-05,8.14937509973064e-05,7.11507103918356e-05,0.00118583831328754,0.00642848326319677,0.000177264035256036,3.65215006037779e-05,1.32266332291343e-05,3.87387379383601e-05,0.000272028366333137,0.00040902593403177,-0.00111799350074056,-0.00314636809326954,0.000352702522393494,0.00925802368179741,-0.00765120517121505,-0.017214179745072,0.0058680037150955,-0.059478526623871,0.0312200992329934,-0.0480742326490304,0.0350304085712161,-0.030457879501458,0.0912426038152639,-0.027209985162247,-0.0151202487711295,-0.252292773136602,-0.0916237884827414,0.0492538107739964,-0.028397084654639,-0.16864598325812,0.381420583485903,-0.210287756222206,0.0155630793957317,"4-imidazoleacetic acid",1.67302214710562e-07
"4-pyridoxic acid",5.69931945697934e-05,9.04398142365583e-05,8.06160775709586e-05,7.75107906948888e-05,0.000173133910124303,0.0025249660280139,0.000153559051025409,0.00115937917533561,8.35397763233279e-05,8.27893404143714e-05,9.01176025951281e-05,8.7841802863713e-05,0,5.93563831938932e-05,4.95035358976666e-05,0.000103527590482249,0.000139380127039341,0.00234836313983804,0.000211612272179316,0.00224347470627324,0.000145676389845769,0.000151465705343668,9.0843396871423e-05,0.000175684973286939,-0.000120956005364015,-0.00103756860728429,0.00261952392135402,-0.00131614824960572,0.00372717012877147,-0.00987360312469052,0.00480290078472707,-0.00278357163885802,-0.00689842916748564,-0.0304542177433006,-0.0168195642482239,0.0202615726863922,-0.0634129841383057,-0.051849877020839,0.0336914935164671,-0.044128496096445,0.0679411968709988,0.00347818758672739,-0.0276467198860759,0.14723946223986,-0.377025180134774,-0.0880652067649689,-0.154468150749435,0.225351807558348,"4-pyridoxic acid",1.46303552336197e-08
