"","Brachy-1d.1","Brachy-1d.2","Brachy-1d.3","Brachy-1d.4","Brachy-00h.1","Brachy-00h.2","Brachy-00h.3","Brachy-00h.4","Brachy-02h.1","Brachy-02h.2","Brachy-02h.3","Brachy-02h.4","Brachy-04h.1","Brachy-04h.2","Brachy-04h.3","Brachy-04h.4","Brachy-4d.1","Brachy-4d.2","Brachy-4d.3","Brachy-4d.4","Brachy-p5h.1","Brachy-p5h.2","Brachy-p5h.3","Brachy-p5h.4","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","id","PCone"
"4-quinolinecarboxylic acid",5.02942072648326e-05,3.90258543318413e-05,3.38966482723455e-05,3.17988866942335e-05,9.07487925139169e-05,5.07940743921835e-05,0.00011747214220523,2.60751402385539e-05,5.80441006854781e-05,1.55662673943126e-05,7.96123982559518e-05,2.03064538341691e-05,0,8.16078677105825e-05,3.65929877064151e-05,2.81117394386505e-05,0,0,0,0,7.97124051869276e-05,2.70145017239717e-05,3.27166286910296e-05,4.21592910360214e-05,4.40270829845781e-05,-7.29477585911152e-05,5.74149084216783e-05,-4.19107821491723e-06,-0.000178207298116405,7.33383382243041e-05,6.37455957652096e-05,0.000764908134525988,0.0010312027474737,0.000475148631696946,0.000375517841039238,-2.16884772413038e-05,0.000973239898465783,-0.00202520363250029,-0.00132194746133222,-0.00190561644235756,-0.00138547831538217,0.000982626821543984,-0.0036100279683509,-0.01705329886647,0.00169580266461587,-0.0035711115470006,0.0240911612623472,-0.0640996689163227,"4-quinolinecarboxylic acid",1.93838403613093e-09
"5-deoxyadenosine",0.00317030786067971,3.75013404377704e-05,0.00012148223386364,0.00138987639638967,0,0,0,0,0.000106650496709196,0.000225099812979181,0.00263100680474503,0.000335915284810442,0,0,0,0,0,1.01938040981519e-05,0,0,0,0,0,3.33031637362009e-05,-0.000670656906413075,-0.000274834678964108,-0.000294424986452369,-0.00200618465580236,-0.00437774346893701,-0.00222674484329797,-0.00665076018173177,0.00236697684573658,-0.000349386614158297,0.0294472692461973,0.0241115140846911,-0.0575924609160366,-0.00917792417211355,-0.0627243111369458,-0.0579644486558218,-0.00691432249690927,0.0354974773850108,0.179028832483767,0.309474354505213,-0.169380608778685,-0.342658778294856,0.12031441266723,-0.0194475554003964,-0.0237354008386274,"5-deoxyadenosine",4.49780686119556e-07
"5-methylcytosine",0.000875017294323883,0.0058062718314646,0.000472706572072535,0.000620614280338921,0.000555975892326419,0.000381473188967211,0.000354114807542954,0.000366279249179281,0.0010909291664514,0.00101549104282557,0.000884474835862315,0.000554113790412066,1.20675374256522e-06,0.000621372309372703,0.000354173339786286,0.000608509413520481,0.00727238391839772,0.00677119010346599,0.00517029088059514,0.00675103726552197,0.000218995948539873,0.000272216276612537,0.0001389008989325,0.00452784996793526,-0.00217864356436855,-0.00239712814037302,-0.00166702208173165,-0.00458601210210483,0.00717741864638844,-0.0372603891526085,0.0163804367374639,-0.0085651715625032,-0.137543170609774,-0.0464539063262743,-0.0134079223814574,-0.0487183095023525,0.0899131518581948,0.109318855194144,0.245431341738072,0.0649343105465134,0.259726282938147,-0.257752536139948,-0.250172252043568,-0.0282591963194181,-0.0613889165670623,0.147075231482352,-0.33437149927046,-0.0873552654515546,"5-methylcytosine",4.74648778056448e-06
"5-methylthioadenosine",0.00301430212485843,0.000138544169638763,9.10888855283689e-05,0.000219769916026292,0.0319632983698705,0.0166205227076596,0.0145722353648291,0.0140876095809647,3.207252577564e-05,9.42782464274677e-05,0.000337838048842634,0.000305725434381939,0,0,0,0,0.00566340270883924,1.19547073575814e-05,0.000507261002296732,0.00268192329887497,0.0126231880902485,0.000408377450935693,0.000630229297938144,0.00113859896399821,0.0129416243554272,-0.0249771562852494,0.0316368892238277,0.0171755188648289,0.0401172569744212,-0.0603408449098997,-0.0195860226370002,0.21540315225482,0.254715972163367,-0.0512708731131268,0.283454554217798,0.16508819281452,0.134486245431904,-0.000926165265952931,-0.157525014182968,0.241679442650241,0.0505292138439567,-0.233341961415993,-0.455458711203331,0.4203638868064,-0.164713289456155,-0.00375490620564401,0.245776746555546,-0.0710222979034098,"5-methylthioadenosine",0.000167485640956987
"acetylcholine",0,0,4.57274054777753e-05,2.34015807538683e-05,0,0,0,0,0,0,0,0,0.000916428522250076,0,0,0,6.77599397632757e-08,1.31911206544975e-06,0.000126070356010134,0.00133741509676433,0,0,0,0,-0.000379355705366107,0.000184841683874042,0.000717737285166234,0.00223526252601562,0.00139543157105208,0.000161001921873088,-0.00257742244372979,-0.00134637681905977,-0.00405357249052657,-0.00258455753729947,-0.00153086164156116,-0.00573809193595694,-0.0238371682145629,0.021543762999054,0.0538580995846422,-0.0348307144958072,0.0531771225341015,0.0621005591644372,-0.0325919489996809,0.0130576337389603,-0.0155902925251922,-0.0248760595468894,-0.0731520880792038,0.0332015973151165,"acetylcholine",1.43910751193816e-07
"adenine",0.239420976082444,0.26199291151097,0.448679976577671,0.246357377547316,0.276508091971884,0.278581031688616,0.360974377994052,0.209773245844385,0.167576360572205,0.20881697219057,0.215407772382227,0.480331843175393,0,0.199431268311385,0.204929011046569,0.367750592824192,0.229183127814298,0.184006538438163,0.351121311352746,0.194453046546861,0.434848203050183,0.236962267275603,0.244766957419525,0.320098494438453,0.299988860534654,-0.325299337334576,-0.662692783755012,-0.346312381194512,-0.0186677349449179,0.380193520180113,-0.0154195208393747,0.00201177307657785,0.0898404336688107,-0.0668674437778821,-0.0605570621748126,0.130518731527906,0.0130933096098078,-0.145243890572823,-0.00861848267336072,-0.0111578359525883,0.018330429918882,-0.0172628509371703,0.0500934532932413,0.0461594575982369,0.0439707694069843,0.0257251362979727,-0.0228953296795267,-0.0353223157133499,"adenine",0.0899933164448799
"adenosine",0.0226531628955884,0.0160698351441898,0.0164261932831714,0.0206682761547521,0,0.0247181318398208,0,0.00309963442779131,0,0,0,0.00769911774835421,0,0.0302151670530088,0.0155764410692468,0.0325132530101872,0.0088643879176704,0,0.0015231489484038,0,0.087768645673874,0,0.0205775032294395,0.0891982736145576,0.0406056459407926,-0.0208304016898556,-0.0822115394474653,0.176260836515354,-0.212777260299632,-0.123361007792337,0.876203754613003,-0.0904551081934594,0.0287407571449269,0.140485380274255,0.0234249465544758,0.159674227264152,0.00802735278102766,0.0376425322578782,-0.0893599577394956,0.00120330552308055,0.0088020081799258,-0.00173298873355019,0.0748671739442681,-0.00795596865380395,-0.0585007346302478,-0.0837940241292062,0.0431858312218375,-0.0509127293463424,"adenosine",0.00164881848226901
"alpha-hydroxyisobutyric acid",0,0,2.45720911911873e-06,0,6.92659548381286e-06,6.0567123787686e-07,0,0,0,0,0,0,1.86822981899308e-06,0,8.33640780308518e-07,0,1.17573915562191e-07,0,5.21914145203885e-07,5.77992213381037e-07,0,3.68505683052073e-06,0,0,1.71082300495476e-06,5.81514624449018e-07,3.88145269005881e-06,4.96248686719638e-06,1.37348209247529e-05,-1.09713046123851e-05,-3.31401134323901e-05,-1.75180027469199e-05,4.43055936002938e-05,7.83186368347282e-06,7.23418421608065e-05,4.42798572472035e-05,0.000108887320950791,-3.8074743535501e-07,3.29253041873656e-05,-8.99205218421719e-05,-0.000103807932380824,0.000203161887748796,-0.000125194287953032,4.62493563652449e-05,0.000525038921026106,0.000138517431998728,0.000200879776329238,0.0230396376396044,"alpha-hydroxyisobutyric acid",2.92691535428244e-12
"an hydroxycinnamic acid",0.000233054456299113,0.000140578451264309,5.93366713393089e-05,0.000397535993304832,0.000387051186401877,0.000181462301119232,0.000151842925762428,0.00017073634716282,0,0,0,0,0,4.05174884821713e-05,6.00824807291456e-05,0.000142436255385657,9.68008835730531e-05,8.68878646052268e-05,9.49738646041336e-05,0.000171131204894193,0.000165907594783764,0.000124043373490512,6.07790795547158e-05,0.000191000264414684,0.000135260710333866,-0.000239324529339034,0.000222470231849524,2.86798895562695e-05,0.00063536244688504,-0.00156638837573657,0.00190428217236994,4.91337048245195e-05,0.00173730134688096,0.0023777147258127,0.00382564997236197,-0.00542118952654169,-0.00349865421001886,-0.00150220059295857,-0.00417800430114238,0.0121515496474067,0.00215202261642129,0.0169754022426431,-0.012100166262791,0.00343352994561852,0.0191645857673103,0.00556289264051905,-0.00362469257987665,0.0253584828462734,"an hydroxycinnamic acid",1.8295459760022e-08
"azelaic acid and unresolvable, unidentified isomers",2.96657044964541e-05,4.01993010800928e-05,0,0.000927462614480734,5.23138135122445e-05,1.44224302590936e-05,0,0,4.31969334988767e-05,0.000122061532329547,9.20234920590424e-05,0,0,2.98116506691656e-05,2.69754749066192e-05,7.73061143343548e-05,4.61323405682109e-05,4.79800500807805e-05,0,7.07782455811438e-05,0,0,0,0,-0.000150104257000121,-4.8671422161053e-05,-0.000108265149433255,-0.000344798820838917,0.000138928612523294,-0.000879830237376989,0.00124121536864684,-0.00112930202754464,0.000484562133438314,0.00387850204357468,0.00229014920122074,-0.0110756625669709,-0.0200685915435192,-0.0153964962877589,-0.00755377358898041,0.0360986702082404,-0.00825888353560993,0.0240710452997218,0.00133208808802663,-0.00294780230469345,0.115116852826272,-0.0305337632887708,-0.0194283663965929,-0.0302789652284315,"azelaic acid and unresolvable, unidentified isomers",2.25312879695583e-08
"betaine",0.42083080735845,0.388853103489602,0.153147691948625,0.401269006999717,0.0877175624229211,0.0734810916230808,0,0.359746752870824,0.61630248970413,0.527590915099104,0.409344864383481,0.180156845935303,0.54212897507825,0.533089591284203,0.597950596480911,0.281533822796947,0.464017582841799,0.480249189545307,0.201421650765624,0.425981507779566,0,0,0,0,-0.904040545222044,0.0208000976956445,-0.0958710187802939,-0.260807066315896,-0.116349393116611,0.117217150532307,0.00438604380464972,0.0503263757664094,0.0360751825872445,0.0406837713686368,-0.062107306215903,0.113299211244367,0.0174644085463333,-0.103316195854106,-0.043347020388112,-0.0171675946383309,-0.00357454144944602,-0.00933160904878197,0.0408349729547609,0.0362435269442575,0.0206702993013538,-0.00365656999403948,-0.00882165068493969,-0.0396501930309301,"betaine",0.817289307405371
"bis(3-aminopropyl)amine",0.00365467637245541,0.00616776696396111,0,0,0.0260851792115322,0.0213198678886797,0.000214250998854383,0,0,0,0,0.00363879713291095,0.0061214934748293,0,0.0167273470964171,0.0236823368976545,0,0,0,0.00428513279540906,0.00221446345979167,0.0385831466464992,0,0,0.0120590133997809,0.0159187599410492,0.0141069709950833,0.00915644744494179,0.0672898399613227,-0.108922615928295,-0.099613499103476,-0.258048073766778,0.579044841177043,-0.037460891310079,-0.247649811180492,-0.106176307188889,0.554201243148019,0.232991602933593,-0.0332463774876199,-0.15387152068194,-0.143181911109772,0.0565971117677742,0.0413094284958448,-0.0704368569268064,-0.0628694253156719,-0.118935225501435,-0.0296340138371721,-0.0616461737878274,"bis(3-aminopropyl)amine",0.000145419804176096
"caffeic acid",0,0,0,0,0,0,0,0,0,0,0,0,0.000125404650883144,0,0,0.00120527331776168,0,0,0,0,0,0,0,0,-1.01032230598267e-06,-0.000120359114673433,-0.000530334937314129,1.97128550197369e-05,0.000140787270704622,0.00111123613489041,0.00210115797733489,-0.00339428864097329,0.00847662956940893,0.00203178125823223,-0.00936732493745144,-0.0160368132072481,0.00493213488944753,0.00205249956636331,0.0394399207176848,0.0149385732841778,-0.0394065378857524,-0.0229925637093874,-0.0147048703310478,0.0777622071216759,-0.0679658016290698,0.0735860234220072,0.00557288004743956,0.018364375411859,"caffeic acid",1.02075116196615e-12
"carnitine",0,0,0,0,0,0,0,0,0,0,0,0,0.00831766492493378,0,0,0,1.58532319165628e-05,0,0,0,0,0,0,0,-0.00215030437944769,0.00210865790379519,0.00577731809941037,0.0220469147793498,0.00366978151877464,0.0212448853241865,-0.0181445746282006,-0.0211056110967452,-0.00619570699427984,-0.00167733760854274,0.00784879681675344,-0.0167303862899169,-0.0137551808733691,0.0374461443560543,0.0374177543123459,0.0544327345144339,-0.0181763141933552,-0.0387843803398992,0.10271206742843,0.121795509112431,-0.0519241478187679,0.189248050510005,0.030413411839561,0.0915867747726823,"carnitine",4.62380892427193e-06
"choline o-sulfuric acid",0,0,0,0,0.00191273003519166,4.618565842024e-06,0,1.89651176733645e-05,9.15005966250369e-05,3.8366415018049e-05,5.42563592200185e-05,0,3.9451271891444e-05,0,0,0,0,0,0,0,0,0.000129109741116868,9.48544798378428e-05,0.000219433564775564,0.000363077087586115,-0.000340839257542652,0.00099435354364333,0.000578372111112341,0.00150959843316042,-0.0044527260086042,-0.00508615534571038,0.00257455758273179,0.0107839893821598,0.000947634864593391,0.0268130060774424,0.0049386839359415,0.0178661939087464,0.00886278188850876,0.0112234827281174,-0.00135634951035972,-0.0511845875442599,0.0116146794556279,-0.0641270425625145,-0.017142395226341,0.0935164833420895,0.16957804806036,0.0446693297691001,0.00458007474313669,"choline o-sulfuric acid",1.31824971530015e-07
"cytosine",0,0.0010002338402231,0,0,0,0,0.00535462864711331,0,0,0,0,0,0.0267029464856989,0,0,0,0.00939358906790532,0.00420106620726899,0.00353252830209271,0.0054447588632098,0,0.000267619918182639,0,0,-0.00790417939364386,0.00354647171984084,0.020731882336809,0.064290923690704,0.0263046844241512,0.0577112359845206,-0.0588886825692092,-0.015841813396224,-0.120956043910628,-0.07495446460254,-0.0368915399501219,-0.113136634640223,0.0950390335269621,0.23213810546366,0.400172558665878,0.503259701595751,0.204045052630391,0.0300724505814295,0.410228089174008,0.202719065248157,-0.0366240660773217,-0.0525427124693931,0.250235889438686,-0.0425154734384328,"cytosine",6.24760518869043e-05
"deoxycarnitine",7.35995375663325e-06,6.52494781525621e-06,9.43618667293089e-06,6.69197632337144e-06,3.53176638049849e-05,2.68008290900159e-05,4.60241802528044e-05,2.1918264229631e-05,0,0,0,0,1.44340556560975e-06,4.90486528147612e-06,5.12033088737447e-06,7.05181910262103e-06,2.74056869365537e-05,2.08625910205486e-05,3.87122360136656e-05,2.4607804903707e-05,5.47181827345991e-05,9.24105622179842e-06,2.67527995794498e-05,1.98403690799552e-05,3.82331787230309e-05,-2.66955567282727e-05,1.57720707244166e-05,5.71540476494292e-05,8.33529484478538e-05,-0.000106630782693484,0.000154110340669874,0.000569547851748495,-0.000233980887041103,-3.86005452142306e-05,-0.00023368905655922,0.000447673322218863,0.00013236351589979,8.32794245405443e-05,0.000575735638256057,0.00120386186293081,0.000725221952874999,0.00031854300752861,-0.00166417181368524,-0.000286369483989586,-0.00121742035263124,0.000769303709551558,-0.000208387629053867,-8.54474933134852e-05,"deoxycarnitine",1.46177595526722e-09
"deoxycytidine",0.000347358011916902,0.0057026820412153,0.0136765114764576,0.000726323266122827,0.000324331551761101,0.000169096836655111,0.000129466802367793,8.11183578915044e-05,0.00222094707921721,8.10768622468921e-05,0,0.0150506790767495,0,0.00012122726834637,0.000399533291445795,0.000666621880352426,0.000283318404391649,0.000330923012476424,0.0188210263864323,0.00652530469206943,0.00039498768542402,0.000355235969426066,0.000152519547468974,0.000143400744145852,0.00345572701953264,-0.00935071802157036,-0.0304832467117502,-0.0116017937088868,0.0355537009891844,0.0266174195206439,-0.114031109649471,-0.0644202509586827,-0.185479656356332,0.0380425102478491,0.0180492786115595,0.119755267665357,-0.246231600017484,0.404888291056506,0.0587568019253261,-0.558302015717946,-0.0718602969889964,-0.242803153980205,0.0385002376731118,0.0324179940610974,-0.0813902780050152,-0.101480287512855,0.422518454770153,-0.0805034378797028,"deoxycytidine",1.1942049233528e-05
"dethiobiotin",5.76409602638233e-05,8.16181240739058e-05,5.94942850031212e-05,7.77541307803325e-05,0.00066317158403938,0.000604388680812078,0.000321694303972055,0.000322440147179181,0,0,0,0,0,0,1.46771179647372e-05,2.9995672095392e-06,0.0019423874342797,0,0.00199508571237511,0,0.000220220096559698,0.000138442748376001,0.000130373802428551,0.000348765764207022,0.000345943635505749,-0.000740011550050409,-0.00019014911008974,0.000143894068722913,0.00403354700261892,-0.00523652681451811,-0.00155464473803013,0.0109841000052859,-0.0173829257186619,0.00291320623012673,-0.00446984331297065,0.00763806343920463,0.0271469875185338,0.0611333453494799,0.00998613564866661,0.06631943772239,-0.0551807253815058,-0.0817026554147048,0.166043214102107,0.0390002362915344,0.063108492855803,-0.158985337372587,-0.00621316202110224,-0.026982324732983,"dethiobiotin",1.19676998946934e-07
"dihexose(s)",8.02135046816527e-05,0.000114251393227381,1.00077093814845e-05,0.000260012103159474,0,0.00790265363452465,7.14140298171319e-07,0.000463898552952484,6.72904924406703e-06,7.74157874067423e-05,0,0,0.000135950313424523,0.000238007998727455,0.000228399359307621,7.80058500630561e-05,0.000737991420582148,0,0,0,0,0.324802558311075,0.465306864116777,0,0.209754560549213,0.789628702391485,0.157611775611249,-0.361134652306492,0.116657273212296,0.264677405129822,0.108017678241385,0.10507987506528,0.00991366176286782,-0.0128587359174522,-0.0651913992155316,0.104288052309918,0.0185217208824936,-0.0901365432591799,-0.0501597567664889,-0.0314739050686413,-0.0107469674384883,-0.00808803029248413,0.0441016230950847,0.0375186906231884,0.0232107591749568,-0.00340498150610016,-0.0143887454134321,-0.041122850609114,"dihexose(s)",0.0439969756711933
"ferulic acid",0.000127669410627053,0.000141282074664017,3.06070620638456e-05,0.000205833244742711,7.96419519498908e-05,4.67053076200062e-05,3.51369899029828e-05,3.87536004939356e-05,0,2.61121187562928e-06,1.70361112643193e-05,0,2.18995683577498e-06,1.78799143461692e-05,9.32341346843515e-05,3.55212447723977e-05,2.69081114159597e-05,6.27581929246938e-06,2.33707741794237e-05,2.63781472761524e-05,1.41365662933831e-05,3.00470615045201e-05,9.5883830900921e-06,5.00781103170229e-05,-1.83059156751898e-05,-6.36694387997603e-05,2.94091064347719e-06,-0.000119241041884686,0.000193407255816586,-0.000370525616743027,0.000930218996577712,-0.000877584221495068,0.000587968518582089,0.00204522604161522,0.00168425446986293,-0.00260749920873926,-0.00153266656063865,-0.000881510209251624,-0.00517015204380771,0.00747848474165265,0.00537374516935134,0.00213974508926351,-0.00276325579950885,-0.0157022302852848,0.00834292500693504,-0.00509435825667937,-0.00927073889809997,-0.00560356658336422,"ferulic acid",3.35106548707159e-10
