,logFC,level,p,Genus,ord
g__Agromyces,0.843353672304776,enriched,2.1597623131324e-07,g__Agromyces,0.711245416589951
g__Marmoricola,-0.82785932750358,depleted,4.20553088382225e-05,g__Marmoricola,0.68535106613468
g__unclassified_f__Roseiflexaceae,-0.817494418007785,depleted,7.10714468027766e-06,g__unclassified_f__Roseiflexaceae,0.668297123473888
g__unclassified_f__AKIW781,-0.805017670839492,depleted,1.72050712453816e-07,g__unclassified_f__AKIW781,0.648053450363841
g__unclassified_o__Burkholderiales,0.801017743498585,enriched,6.69029355634386e-06,g__unclassified_o__Burkholderiales,0.641629425399565
g__Microlunatus,-0.78775427176973,depleted,0.0015307073343907,g__Microlunatus,0.620556792691458
g__Thermincola,0.782547183102635,enriched,0.00305546856157226,g__Thermincola,0.612380093781868
g__Conexibacter,-0.77801560891018,depleted,5.36605279970332e-05,g__Conexibacter,0.605308287707877
g__Dongia,0.776282711491182,enriched,3.93806476768159e-08,g__Dongia,0.602614848160101
g__Altererythrobacter,0.772623005010911,enriched,0.00288216506517757,g__Altererythrobacter,0.59694630787209
g__unclassified_f__Chitinophagaceae,-0.770799391944963,depleted,1.61712020032939e-07,g__unclassified_f__Chitinophagaceae,0.594131702622724
g__unclassified_f__Intrasporangiaceae,-0.770396375146242,depleted,0.000293199911404207,g__unclassified_f__Intrasporangiaceae,0.593510574838469
g__Bauldia,0.767193430883726,enriched,0.000655508229201445,g__Bauldia,0.588585760391142
g__Methylotenera,0.765119027929697,enriched,0.00765295179202752,g__Methylotenera,0.585407126900084
g__unclassified_c__MB-A2-108,0.763888610539268,enriched,0.00766204110699032,g__unclassified_c__MB-A2-108,0.583525809311613
g__unclassified_f__Rhizobiales_Incertae_Sedis,0.762833225180509,enriched,2.5360619392739e-05,g__unclassified_f__Rhizobiales_Incertae_Sedis,0.581914529439296
g__Blastococcus,-0.762262831676092,depleted,0.000369838534913898,g__Blastococcus,0.581044624554854
g__P3OB-42,0.759354013437107,enriched,0.006320926053128,g__P3OB-42,0.576618517723042
g__Flavitalea,-0.758945991714701,depleted,3.93672296111724e-06,g__Flavitalea,0.575999018339811
g__unclassified_o__S085,0.755347228176417,enriched,0.000377418341626543,g__unclassified_o__S085,0.570549435113796
g__Skermanella,-0.71321038474884,depleted,2.51202313057925e-06,g__Skermanella,0.508669052913588
g__unclassified_c__JG30-KF-CM66,0.709728226757022,enriched,0.0020143007026277,g__unclassified_c__JG30-KF-CM66,0.503714155855667
g__unclassified_f__Devosiaceae,0.703789517411732,enriched,0.000166673423979155,g__unclassified_f__Devosiaceae,0.495319684818639
g__Roseomonas,-0.699059093980339,depleted,0.00679810909561923,g__Roseomonas,0.488683616876612
g__Haliangium,0.686284626645624,enriched,8.9662132664179e-05,g__Haliangium,0.470986588770123
g__Terrimonas,0.684456741316852,enriched,5.3931755740251e-06,g__Terrimonas,0.468481030734084
g__unclassified_f__SC-I-84,-0.674474070544369,depleted,1.51078570497166e-06,g__unclassified_f__SC-I-84,0.454915271836691
g__Bryobacter,-0.644991714008665,depleted,9.91277698330729e-08,g__Bryobacter,0.416014311139835
g__unclassified_f__Myxococcaceae,-0.642882945883465,depleted,0.000358267653130059,g__unclassified_f__Myxococcaceae,0.413298482107802
g__unclassified_f__Nocardioidaceae,-0.627375636784102,depleted,9.93464461466644e-07,g__unclassified_f__Nocardioidaceae,0.393600189630257
g__Labrys,-0.613966496467811,depleted,0.000346253983155875,g__Labrys,0.376954858784959
g__Actinoallomurus,-0.612212064470694,depleted,0.00251969066458182,g__Actinoallomurus,0.374803611883469
g__FFCH5858,-0.603253789344928,depleted,0.010465042413732,g__FFCH5858,0.363915134359015
g__unclassified_f__Polyangiaceae,-0.598286084576274,depleted,0.0117757985481309,g__unclassified_f__Polyangiaceae,0.357946238997608
g__Lysobacter,0.5951845871057,enriched,0.00445665000797938,g__Lysobacter,0.354244692728182
g__Microvirga,-0.593324710951377,depleted,9.13400475496747e-06,g__Microvirga,0.352034212625535
g__unclassified_o__Frankiales,-0.586623341836337,depleted,0.00657333074903082,g__unclassified_o__Frankiales,0.344126945187232
g__Iamia,0.575306869250672,enriched,0.00106815457539936,g__Iamia,0.33097799380701
g__unclassified_f__Xanthomonadaceae,-0.572635420770377,depleted,0.00564138835957491,g__unclassified_f__Xanthomonadaceae,0.327911325120867
g__Bacillus,-0.557059012094108,depleted,3.60078219155803e-05,g__Bacillus,0.310314742955264
g__OM27_clade,0.556187264272676,enriched,0.0123510255735031,g__OM27_clade,0.309344272939124
g__unclassified_f__Beijerinckiaceae,-0.554596740508892,depleted,0.000161290417078342,g__unclassified_f__Beijerinckiaceae,0.307577544583087
g__Lysinibacillus,-0.553478409168848,depleted,0.00128035523882611,g__Lysinibacillus,0.306338349416078
g__unclassified_p__RCP2-54,0.51596141563722,enriched,0.00858406115067663,g__unclassified_p__RCP2-54,0.266216182426364
g__Bradyrhizobium,-0.50980338657941,depleted,2.0479553768021e-06,g__Bradyrhizobium,0.259899492967835
g__Ferruginibacter,-0.505263891926612,depleted,0.00372861757801837,g__Ferruginibacter,0.255291600484827
g__unclassified_o__Bacillales,-0.491170475070756,depleted,0.0021459526048428,g__unclassified_o__Bacillales,0.241248435581232
g__unclassified_f__JG30-KF-CM45,-0.473425484732274,depleted,0.00220553750156679,g__unclassified_f__JG30-KF-CM45,0.224131689593988
g__unclassified_f__67-14,-0.443080633905722,depleted,0.00342370208539583,g__unclassified_f__67-14,0.196320448142297
g__unclassified_f__Methyloligellaceae,-0.410880382282811,depleted,0.00492472446056244,g__unclassified_f__Methyloligellaceae,0.168822688544869
g__unclassified_c__Acidimicrobiia,0.4030199229067,enriched,0.00877171440251525,g__unclassified_c__Acidimicrobiia,0.162425058259722
g__Ellin6067,-0.39402640785045,depleted,0.00463368895265055,g__Ellin6067,0.155256810083529
