,logFC,level,p,Genus,ord
g__Altererythrobacter,0.84559894742219,enriched,0.00114569168080731,g__Altererythrobacter,0.715037579881515
g__Fonticella,0.84541066667198,enriched,0.0112894325971099,g__Fonticella,0.714719195322762
g__Anaeromyxobacter,-0.845270033108423,depleted,0.00669698876120784,g__Anaeromyxobacter,0.714481428871115
g__mle1-7,-0.843899904073093,depleted,0.00034521227433332,g__mle1-7,0.712167048094576
g__unclassified_f__Oxalobacteraceae,-0.840976717466949,depleted,1.7488934806567e-05,g__unclassified_f__Oxalobacteraceae,0.707241839321485
g__Streptosporangium,0.834186666947402,enriched,0.00205696268278377,g__Streptosporangium,0.695867395312815
g__unclassified_f__Chitinophagaceae,-0.830296662298917,depleted,1.85513229901417e-08,g__unclassified_f__Chitinophagaceae,0.689392547424721
g__unclassified_p__RCP2-54,0.822712483255172,enriched,2.97326071183538e-05,g__unclassified_p__RCP2-54,0.676855830103891
g__unclassified_o__mle1-27,-0.821671664626557,depleted,0.002311679865212,g__unclassified_o__mle1-27,0.675144324450178
g__FFCH5858,-0.820692759931557,depleted,0.0006956163487774,g__FFCH5858,0.673536606204077
g__Skermanella,-0.814371789259357,depleted,8.8985382109966e-08,g__Skermanella,0.663201411141487
g__Flavitalea,-0.807161733768037,depleted,1.13243713049158e-06,g__Flavitalea,0.651510064459424
g__unclassified_f__Roseiflexaceae,-0.800655195885572,depleted,1.1153128903999e-05,g__unclassified_f__Roseiflexaceae,0.641048742698564
g__unclassified_c__MB-A2-108,0.780556160734528,enriched,0.00645420387466984,g__unclassified_c__MB-A2-108,0.609267920060626
g__Hyphomicrobium,0.723920753271365,enriched,0.000500031253171339,g__Hyphomicrobium,0.52406125701698
g__Terrimonas,0.715953204917957,enriched,2.07974193255853e-06,g__Terrimonas,0.512588991632294
g__unclassified_f__Geodermatophilaceae,-0.690476258049077,depleted,0.000103890136634736,g__unclassified_f__Geodermatophilaceae,0.476757462929456
g__Bacillus,-0.679479860736234,depleted,4.99286123290892e-07,g__Bacillus,0.461692881146132
g__Phenylobacterium,-0.677865092570503,depleted,4.34330832265014e-05,g__Phenylobacterium,0.459501083725617
g__Actinoallomurus,-0.673251609438874,depleted,0.00106750931619341,g__Actinoallomurus,0.453267729612034
g__unclassified_f__AKIW781,-0.666169718755247,depleted,1.60339403132657e-05,g__unclassified_f__AKIW781,0.443782094186445
