"","L1S140","L1S208","L1S8","L1S281","L3S242","L2S309","L2S357","L4S112","L2S155","L2S382","L4S63","L2S222","L3S341","L3S360","L2S204","L4S137","L3S294","L2S175","L5S203","L6S93","L6S20","L6S68","L1S257","L3S378","L1S105","L5S174","L5S155","L5S222","L5S104","L1S57","L1S76","L5S240","L3S313","L2S240"
"1088305",1,0,0,0,0,5,10,41,68,3,49,18,10,11,15,44,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
"12574",0,0,0,0,0,1,2,1,1,0,1,0,0,0,1,5,0,1,10,7,49,14,0,0,0,10,3,3,4,0,0,2,0,16
"4453773",42,21,63,26,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,28,10,82,0,0,0,0,36,31,0,0,0
"988314",0,1,0,0,1,0,1,13,354,1,33,24,5,8,15,3,132,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,9
"968954",0,0,0,0,0,2,10,29,6,8,12,3,0,0,1,27,2,12,55,46,31,77,0,0,0,29,76,46,69,1,0,21,2,52
"942534",0,0,0,0,0,0,5,10,21,46,3,12,6,0,5,83,2,22,3,1,5,4,0,0,0,1,1,0,1,0,0,2,4,13
"4403854",0,1,0,0,0,0,0,0,0,5,2,0,0,0,1,6,0,1,2,24,19,18,0,0,0,1,1,1,4,0,0,6,1,14
"2825358",0,0,0,0,0,0,1,5,4,28,0,0,0,1,0,29,0,3,1,7,3,4,0,0,0,0,0,1,1,0,0,2,0,5
"342427",0,5,1,0,1,0,3,8,15,19,3,1,2,1,1,32,3,26,96,195,35,20,0,0,1,268,76,117,84,0,0,7,5,56
"1068499",0,0,0,0,0,0,0,1,2,10,2,3,2,0,2,27,2,15,8,8,4,8,0,0,0,3,2,2,6,0,0,2,4,1
"993610",0,0,0,0,0,8,6,21,24,3,50,247,4,38,36,2,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"262379",0,0,0,0,0,1,2,12,0,0,78,1,5,5,7,2,4,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,1,2
"221648",0,0,0,0,0,0,3,9,13,42,4,3,0,0,3,82,3,19,12,16,30,12,0,0,0,2,10,5,5,0,0,8,2,17
"556835",237,122,488,73,76,3,2,1,0,1,0,3,0,0,1,0,0,1,0,0,0,0,69,35,126,0,0,0,0,421,140,0,0,0
"1082539",0,0,2,0,0,90,166,429,158,251,135,27,28,13,35,693,17,324,87,144,55,167,0,0,0,47,45,50,72,0,0,27,38,176
"4298291",0,0,0,0,0,1,0,0,0,4,0,0,0,2,0,4,0,7,5,274,27,31,0,0,0,24,0,7,0,0,0,5,0,7
"4430826",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,2,1,4,34,21,42,0,0,0,4,0,15,2,0,0,2,0,28
"1059729",0,0,0,0,0,2,10,39,2,1,11,2,6,2,3,42,2,8,2,6,1,7,0,0,0,0,0,0,1,0,0,0,0,0
"518743",1,1,2,0,0,1,8,24,1,76,21,5,0,0,1,108,1,10,47,330,286,253,1,0,1,37,28,36,59,0,0,91,4,285
