"","Group","Class","Abundance(%)"
"1","Arabidopsis_00h","Carboxylic acids and derivatives",41.2055076991728
"2","Arabidopsis_00h","Diazines",0.11686196882859
"3","Arabidopsis_00h","Fatty Acyls",0
"4","Arabidopsis_00h","Imidazopyrimidines",29.8806673026536
"5","Arabidopsis_00h","Organooxygen compounds",0.087834823590488
"6","Arabidopsis_00h","Phenols",0.00292906761289864
"7","Arabidopsis_00h","Pyridines and derivatives",0.000922826284061523
"8","Arabidopsis_00h","Pyrimidine nucleosides",0.0130358821018442
"9","Arabidopsis_00h","Unknown",28.6922404297557
"10","Arabidopsis_02h","Carboxylic acids and derivatives",36.0567229216957
"11","Arabidopsis_02h","Diazines",0.643600686069165
"12","Arabidopsis_02h","Fatty Acyls",0.00059297949258489
"13","Arabidopsis_02h","Imidazopyrimidines",45.4846172919848
"14","Arabidopsis_02h","Organooxygen compounds",0.153464749256598
"15","Arabidopsis_02h","Phenols",0.00719877436044975
"16","Arabidopsis_02h","Pyridines and derivatives",0.00169302842222319
"17","Arabidopsis_02h","Pyrimidine nucleosides",0.0154444010514546
"18","Arabidopsis_02h","Unknown",17.636665167667
"19","Arabidopsis_04h","Carboxylic acids and derivatives",26.049912202339
"20","Arabidopsis_04h","Diazines",0.563907887066637
"21","Arabidopsis_04h","Fatty Acyls",0.00244760176270234
"22","Arabidopsis_04h","Imidazopyrimidines",42.9325958223083
"23","Arabidopsis_04h","Organooxygen compounds",0.153848603592993
"24","Arabidopsis_04h","Phenols",2.83811993448686e-05
"25","Arabidopsis_04h","Pyridines and derivatives",0.000555538160306207
"26","Arabidopsis_04h","Pyrimidine nucleosides",0.0167719150721482
"27","Arabidopsis_04h","Unknown",30.2799320484986
"28","Arabidopsis_1d","Carboxylic acids and derivatives",15.9433141399763
"29","Arabidopsis_1d","Diazines",0.128191844025066
"30","Arabidopsis_1d","Fatty Acyls",0
"31","Arabidopsis_1d","Imidazopyrimidines",43.9740499113579
"32","Arabidopsis_1d","Organooxygen compounds",0.222237824320959
"33","Arabidopsis_1d","Phenols",0.000223553218584732
"34","Arabidopsis_1d","Pyridines and derivatives",0.000858123930049162
"35","Arabidopsis_1d","Pyrimidine nucleosides",0.0998983405355277
"36","Arabidopsis_1d","Unknown",39.6312262626356
"37","Arabidopsis_4d","Carboxylic acids and derivatives",15.4745156450072
"38","Arabidopsis_4d","Diazines",0.155983734306731
"39","Arabidopsis_4d","Fatty Acyls",0
"40","Arabidopsis_4d","Imidazopyrimidines",16.5513514289496
"41","Arabidopsis_4d","Organooxygen compounds",0.632343821075039
"42","Arabidopsis_4d","Phenols",0.000285396208948451
"43","Arabidopsis_4d","Pyridines and derivatives",0.00168844020768102
"44","Arabidopsis_4d","Pyrimidine nucleosides",0.165832655115
"45","Arabidopsis_4d","Unknown",67.0179988791299
"46","Arabidopsis_p5h","Carboxylic acids and derivatives",49.8949932053783
"47","Arabidopsis_p5h","Diazines",0.124617753395244
"48","Arabidopsis_p5h","Fatty Acyls",0
"49","Arabidopsis_p5h","Imidazopyrimidines",28.4716350023664
"50","Arabidopsis_p5h","Organooxygen compounds",0.0721246899460398
"51","Arabidopsis_p5h","Phenols",0.000538677192555856
"52","Arabidopsis_p5h","Pyridines and derivatives",0.000922657596452439
"53","Arabidopsis_p5h","Pyrimidine nucleosides",0.0136062065208185
"54","Arabidopsis_p5h","Unknown",21.4215618076042
