"","Number.hub.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",1,0.545935828877005,0.00551223880003009,0.000551223880003009,"weighted","WT"
"2",2,0.545133689839572,0.00641891258349545,0.000641891258349545,"weighted","WT"
"3",3,0.543850267379679,0.00722070162345204,0.000722070162345204,"weighted","WT"
"4",4,0.544679144385027,0.00831139109727029,0.000831139109727029,"weighted","WT"
"5",5,0.54475935828877,0.0083228954793169,0.00083228954793169,"weighted","WT"
"6",6,0.543529411764706,0.00784461028285275,0.000784461028285275,"weighted","WT"
"7",7,0.543582887700535,0.00781158485919976,0.000781158485919976,"weighted","WT"
"8",8,0.542486631016043,0.0084629283311803,0.00084629283311803,"weighted","WT"
"9",9,0.541844919786096,0.00715413838248002,0.000715413838248002,"weighted","WT"
"10",10,0.539411764705882,0.00770097737854192,0.000770097737854192,"weighted","WT"
"11",11,0.538770053475936,0.00644383962104473,0.000644383962104473,"weighted","WT"
"12",12,0.538582887700535,0.00611912561801551,0.000611912561801551,"weighted","WT"
"13",13,0.535267379679144,0.00568399826630555,0.000568399826630555,"weighted","WT"
"14",14,0.533743315508021,0.0053581163685998,0.00053581163685998,"weighted","WT"
"15",15,0.532192513368984,0.00417902402208995,0.000417902402208995,"weighted","WT"
"16",16,0.530053475935829,0.00352677544931694,0.000352677544931694,"weighted","WT"
"17",17,0.528155080213904,0.00267258115292163,0.000267258115292163,"weighted","WT"
"18",18,0.527620320855615,0.00252245484814349,0.000252245484814349,"weighted","WT"
"19",19,0.526737967914438,0,0,"weighted","WT"
"20",1,0.557967914438503,0.00377902728171083,0.000377902728171083,"unweighted","WT"
"21",2,0.55475935828877,0.00455220155012625,0.000455220155012625,"unweighted","WT"
"22",3,0.552245989304813,0.00520275967023941,0.000520275967023941,"unweighted","WT"
"23",4,0.54975935828877,0.00525077096402691,0.000525077096402691,"unweighted","WT"
"24",5,0.547486631016043,0.0059134527488578,0.00059134527488578,"unweighted","WT"
"25",6,0.545160427807487,0.00545316575130389,0.000545316575130389,"unweighted","WT"
"26",7,0.541711229946524,0.0058382380601691,0.00058382380601691,"unweighted","WT"
"27",8,0.541417112299465,0.00614550381966926,0.000614550381966926,"unweighted","WT"
"28",9,0.537994652406417,0.00564063656566691,0.000564063656566691,"unweighted","WT"
"29",10,0.537112299465241,0.00549780917417339,0.000549780917417339,"unweighted","WT"
"30",11,0.534491978609626,0.0056687957056269,0.00056687957056269,"unweighted","WT"
"31",12,0.533368983957219,0.00542109056658117,0.000542109056658117,"unweighted","WT"
"32",13,0.53072192513369,0.00453654905271227,0.000453654905271227,"unweighted","WT"
"33",14,0.528502673796792,0.00411459085838294,0.000411459085838294,"unweighted","WT"
"34",15,0.52716577540107,0.00341441554469801,0.000341441554469801,"unweighted","WT"
"35",16,0.526310160427807,0.00288728037899607,0.000288728037899607,"unweighted","WT"
"36",17,0.524919786096257,0.0019703366266175,0.00019703366266175,"unweighted","WT"
"37",18,0.524064171122995,0,0,"unweighted","WT"
"38",19,0.524064171122995,0,0,"unweighted","WT"
