"","Number.hub.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",1,0.544016393442623,0.0031283975242415,0.00031283975242415,"weighted","KO"
"2",2,0.542568306010929,0.00370822526963162,0.000370822526963162,"weighted","KO"
"3",3,0.540464480874317,0.00414082615800044,0.000414082615800044,"weighted","KO"
"4",4,0.53931693989071,0.00412623224975998,0.000412623224975998,"weighted","KO"
"5",5,0.537049180327869,0.00464910885437078,0.000464910885437078,"weighted","KO"
"6",6,0.536475409836066,0.00479372564091243,0.000479372564091243,"weighted","KO"
"7",7,0.535245901639344,0.00455373406193079,0.000455373406193079,"weighted","KO"
"8",8,0.535081967213115,0.00579556690954857,0.000579556690954857,"weighted","KO"
"9",9,0.531420765027322,0.00538805080428017,0.000538805080428017,"weighted","KO"
"10",10,0.530737704918033,0.00509862950368765,0.000509862950368765,"weighted","KO"
"11",11,0.529153005464481,0.00467716473840469,0.000467716473840469,"weighted","KO"
"12",12,0.528715846994536,0.00476406140751367,0.000476406140751367,"weighted","KO"
"13",13,0.526612021857924,0.00448902525627282,0.000448902525627282,"weighted","KO"
"14",14,0.525655737704918,0.0039583449566668,0.00039583449566668,"weighted","KO"
"15",15,0.524426229508197,0.00357655945712566,0.000357655945712566,"weighted","KO"
"16",16,0.522868852459016,0.00253630389288188,0.000253630389288188,"weighted","KO"
"17",17,0.521885245901639,0.000726005490608972,7.26005490608972e-05,"weighted","KO"
"18",18,0.521857923497268,0,0,"weighted","KO"
"19",1,0.535027322404372,0.00514287949154246,0.000514287949154246,"unweighted","KO"
"20",2,0.535027322404372,0.00643268879065479,0.000643268879065479,"unweighted","KO"
"21",3,0.534125683060109,0.007059903452198,0.0007059903452198,"unweighted","KO"
"22",4,0.531967213114754,0.00695232926154355,0.000695232926154355,"unweighted","KO"
"23",5,0.531639344262295,0.00767094408912953,0.000767094408912953,"unweighted","KO"
"24",6,0.528715846994536,0.00769366690015296,0.000769366690015296,"unweighted","KO"
"25",7,0.527540983606557,0.0077540489790272,0.00077540489790272,"unweighted","KO"
"26",8,0.527568306010929,0.00743041745397968,0.000743041745397968,"unweighted","KO"
"27",9,0.525273224043716,0.00659470114030689,0.000659470114030689,"unweighted","KO"
"28",10,0.525,0.00630236554878792,0.000630236554878792,"unweighted","KO"
"29",11,0.522650273224044,0.00584189563794415,0.000584189563794415,"unweighted","KO"
"30",12,0.521311475409836,0.00607854109719413,0.000607854109719413,"unweighted","KO"
"31",13,0.51983606557377,0.00548679002939914,0.000548679002939914,"unweighted","KO"
"32",14,0.519234972677596,0.00401555695538226,0.000401555695538226,"unweighted","KO"
"33",15,0.518715846994536,0.00301748338204039,0.000301748338204039,"unweighted","KO"
"34",16,0.517322404371585,0.00187131725800669,0.000187131725800669,"unweighted","KO"
"35",17,0.516420765027322,0.000273224043715847,2.73224043715847e-05,"unweighted","KO"
"36",18,0.516393442622951,0,0,"unweighted","KO"
