"","exudate-EOD-Arabidopsis-1-451-1","exudate-EOD-Arabidopsis-2-452-1","exudate-EOD-Arabidopsis-3-453-1","exudate-EOD-Arabidopsis-4-454-1","exudate-EOD-Arabidopsis-5-455-1","exudate-EOD-Arabidopsis-6-456-1","exudate-EOD-Arabidopsis-7-457-1","exudate-EOD-Arabidopsis-8-458-1","exudate-EOD-Brachy-1-433-1","exudate-EOD-Brachy-2-434-1","exudate-EOD-Brachy-3-436-1","exudate-EOD-Brachy-4-437-1","exudate-EOD-Brachy-5-438-1","exudate-EOD-Brachy-6-439-1","exudate-EOD-Brachy-7-440-1","exudate-EOD-Medicago-1-442-1","exudate-EOD-Medicago-2-444-1","exudate-EOD-Medicago-3-449-1","exudate-EOD-TxCtrl-1-441-1","exudate-EOD-TxCtrl-2-450-1","exudate-EOD-TxCtrl-3-459-1","exudate-EOD-TxCtrl-4-460-1","exudate-EON-Arabidopsis-1-451-2","exudate-EON-Arabidopsis-2-452-2","exudate-EON-Arabidopsis-3-453-2","exudate-EON-Arabidopsis-4-454-2","exudate-EON-Arabidopsis-5-455-2","exudate-EON-Arabidopsis-6-456-2","exudate-EON-Arabidopsis-7-457-2","exudate-EON-Arabidopsis-8-458-2","exudate-EON-Brachy-1-433-2","exudate-EON-Brachy-2-434-2","exudate-EON-Brachy-3-436-2","exudate-EON-Brachy-4-437-2","exudate-EON-Brachy-5-438-2","exudate-EON-Brachy-6-439-2","exudate-EON-Brachy-7-440-2","exudate-EON-Medicago-1-442-2","exudate-EON-Medicago-2-444-2","exudate-EON-Medicago-3-449-2","exudate-EON-TxCtrl-1-441-2","exudate-EON-TxCtrl-2-450-2","exudate-EON-TxCtrl-3-459-2","exudate-EON-TxCtrl-4-460-2","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","id","PCone"
"2-hydroxypyridine",0.00281639099322412,0.00567201739005822,0.000563287852386787,0.000809300418282515,0.000987751569715656,0.000626241353671541,0.00277795210280315,0.00740177745165,0.000759508855722672,0.000697135309053455,0.00100415147113279,0.000934725758162799,0.000907655476675326,0.000919894122833561,0.00128720918449898,0.000632750613759835,0.00126347628637275,0.000460055037460328,0.00176985062760784,0.00289873116213823,0.00337645266683362,0.00224631040389379,0.000877800906749776,0.000811123974992438,0.000454346013953596,0.00051036494294501,0.000372515676881667,0.000369854361129863,0.000611839129697022,0.000770250359912531,0.000585029531464724,0.000487818211347089,0.000628720758449523,0.000489289934396301,0.000410014461567223,0.000832158971598457,0.00329346307684966,0.000676496709220097,0.000312485840209665,0.000371739662400528,0.00106941152187225,0.00166453762280306,0.00293306308682435,0.00510788765474466,0.00105214715103968,0.00429573887934676,0.00923408827921202,-0.0194716366158559,-0.00299229704121519,-0.00338472821241237,0.00873836187501842,-0.00608278252616178,-0.0196910658911005,0.00468218779851038,0.0237724007697009,-0.0514361606729623,-0.057057642984943,0.0101998067633287,0.0218860689608764,-0.00424793845045931,-0.0212554650098547,-0.0580429549434778,-0.0435058625091034,0.06771600396027,-0.0568783063183571,0.0356423631575862,-0.266262771582641,-0.0224863172304205,-0.0207624603436849,-0.261966508959931,0.274060030615291,0.257129056280508,0.263303768593974,-0.36834045205503,-0.0404901154227137,-0.215714368753303,-0.0131608066935852,0.0157492390814144,0.196857745976002,0.0590303440894915,-0.332305106635457,0.103267606931211,0.0424969654480054,-0.14544046875056,-0.157537601593787,-0.0166787003642059,0.0429651719306739,-0.00341352927879532,"2-hydroxypyridine",1.10701362744092e-06
"2,3-cyclic AMP",0.000726557799634018,0.000739926334715266,0.000656252340326701,0.000852848597798729,0.000153972370910853,0.00096945147696414,0.000523813096827677,0.000638760066190487,8.70046083585839e-05,6.69798386503529e-05,0.000130861129130106,0.000105305455597013,7.53447339779182e-05,0.000120349057616857,0.000119253367948231,0.000170581879889625,0.000186904249631633,0.000172682394508893,0,0,0,0,0.000586346483453789,0.000765385718080095,0.00045018190761725,0.000664441311961176,0.000120547373702915,0.000392889261655336,0.000710893151948862,0.000410234192860663,0.000144315652973834,0.000158765730964922,0.000111480376285163,0.000142437813845501,7.46767594703934e-05,8.64173697236838e-05,0,0.000140337184908376,0.000121769248516066,0.000335001985581704,0,0,0,0,-0.00067285856840138,0.0013530210666399,0.00253094128285147,0.00164066959801528,-1.00422064213262e-05,0.00031341751371558,-0.000248226812907149,0.000471114484091428,-0.00231982597125452,-0.00138068056877234,-0.000518689005225783,-0.000699179730656745,0.00555391664665462,0.000287587308323956,0.00392060042277402,-0.00359250267665553,0.00346940580892315,-0.00906961190302168,-0.00211535288150905,0.00366634871191562,-0.0053621776425781,0.00500430169349136,0.012012995464566,0.0335222986626697,0.0330975499973767,0.0147485140089374,0.0136123160658335,0.0234876049622947,-0.0253344395482013,0.0129692313046338,0.0146135801723526,-0.0113830926743231,0.03727428393457,-0.0634807602257897,0.0891431126534558,0.186511293982916,0.0117136490360462,-0.0755101966230027,0.0919931001355139,-0.0476261881838097,-0.0313589362324025,0.119158753753697,0.0452672752100506,0.779223907670288,"2,3-cyclic AMP",4.52738653071154e-07
"3-methyladenine",0.000662185763243128,0.00201284645788622,0.00130450777358885,0.0019487245083468,0.00213565111749011,0.00149804045847392,0.000926580481276072,0.00184702929342801,0,4.46916393755001e-05,1.9868598460905e-05,5.23469530292128e-05,3.00868677662409e-05,3.01747856484441e-05,0.0001264424057741,0,0,0,0.000112133266071018,0.000298037853029975,0,0,0.000520969475903862,0.000518926140849862,0.000334907599882198,0.000748280526936239,0.000532064649805084,0.000960146214257606,0.000596511299494353,0.000863135578176736,0.000484495487002335,2.52363173148544e-05,4.24346841158683e-05,0,0,0,0,7.82757607350699e-05,1.99185498544905e-05,0,0,0,5.59260818574902e-05,0,-0.00125758179809699,0.0024793675486926,0.00605719286772388,-0.000854277431098685,0.000329783549893867,0.000366177032971482,0.0033494938689419,0.00467634825003209,-0.00502685487242918,-0.00170372631462787,0.0216238869677266,0.0202078833749573,-0.00608558839763079,0.0208007430516144,0.000961485698908075,0.016628488247783,0.00349068784180815,-0.0100306873465299,-0.00468045269349541,0.00823206548157541,-0.00979874898792581,0.0095258337128805,-0.0271714646521033,0.0633621541886966,0.0368840165234797,-0.0267556872535909,-0.0653257549156293,-0.0149073143990133,-0.0529893150933785,0.0884318178964841,0.00580290127560716,0.0578252790410447,-0.108779439905798,0.0161711569465927,0.141374294598379,-0.0755866460136697,-0.0327769520916175,-0.176639082951126,-0.1027703168437,-0.261240298667944,0.429474418425295,-0.211921784703878,-0.0149123811937053,-0.0788408411804447,"3-methyladenine",1.58151197890485e-06
"3,5-diiodo-tyrosine",7.53701364168973e-05,0.00214296464561365,0.000949723286695749,2.06273485066113e-05,6.22633154914307e-05,5.24308118870372e-05,7.01017981909736e-05,6.17569389733447e-05,0,0,0,0,0,0,0,0,0,0.000104411583577871,0.000401768451979984,0.000218414432122407,0.000274815637580417,0.000401036736110389,7.62343066498301e-05,0,0,0.000167685385068701,0,0,0,0,0.000138347730446622,0.000154750806603653,0.000347747700276286,0,0,0,0,0,0,9.44059092100029e-05,0.000770043501294322,9.05377790768401e-05,0.000780188013712911,0.00044991513111852,0.000192826091589682,0.000761356348283282,0.00232748625823187,0.000299772502711917,-0.000125803411717274,8.83345743080896e-05,0.00309240513506276,0.00292512976020834,-0.00150684507130583,0.0156837400201815,0.00890611047893482,-0.0130131871989556,-0.0160900704259874,0.00610539684990133,-0.00820210712682146,0.00628374137361802,-0.000684889449407824,0.0167197746255019,0.00435310512516272,0.0146170284127616,-0.00470176780073411,-0.0160503134427619,-0.0587364997472918,-0.0252136008730151,0.0084306734002231,-0.105841713185168,0.0655958036614406,0.00317186241644193,-0.0997168637269717,0.000774801338502304,-0.0384098583510363,0.14526969745042,0.237210112710599,0.0254523338362772,-0.0915609867168879,-0.150510804758954,-0.0136376061720681,0.0102313799448569,-0.00495037451084777,-0.3576237443236,-0.0755033386748464,0.121031591796622,0.136514104123219,0.180174727160625,"3,5-diiodo-tyrosine",3.71819015977525e-08
"4-aminobutanoic acid",0.00243854401274175,0.000983566139134849,0.000143769918836426,0.000154770213086831,0.000599354269051393,0.000415821558964189,0.000244334438768188,0.0011947177701407,6.735626667354e-05,0,5.02824590154115e-05,9.23557475103133e-05,0.000196880311245523,6.40382811376479e-05,0,0.000269019242489283,0.000217633239779288,0.000544712653891503,0,0,0,0,0.000330341691922604,0.00327786972838409,0.00199708881156497,0.00027404419967897,0.000852292146686683,0.00260244124379399,0.000402708178672892,0.000346667091108812,0,0.00049068564630858,0.000548706397932821,0.000103071167135307,0,0,0,0.000166991082446737,0.000672506922232367,0.000587620094380586,0,0,0,0,-0.000560534647374861,0.00255700047922969,0.0041475486160793,0.00271639248826896,0.0036836544507001,-8.34549675426954e-06,0.00818473614034065,0.00937471106086329,0.00626436899278998,-0.0168058048960867,-0.0274771773260433,-0.00802480437682365,-0.00829884079200155,-0.0321348688586901,0.026409236069353,-8.68405709647316e-05,0.0324707739428865,-0.0457687376406898,0.0205764510175841,-0.0101692626815823,-0.000875233099186912,0.0035996599055791,0.10669139259484,0.138888356942315,-0.205048378325176,0.0124766822077745,-0.0449069855463411,0.0337815424743517,0.114379342390713,0.0638053514931021,-0.10821723396422,-0.0877393720528978,0.00554487465036859,-0.11970768360525,-0.109866202038252,-0.0819161735736864,-0.0174275919064573,0.180789883771794,0.141787118476581,-0.044067240350479,-0.0287954960078425,-0.128844012352257,-0.0420122714090858,0.0319300438962135,"4-aminobutanoic acid",3.1419909090766e-07
"4-guanidinobutanoic acid",0.00187509119478754,0.00301838024675497,0.00339130260063179,0.00212833824342451,0.00204039825673494,0.00149704798011127,0.00174712180244365,0.00163857322346597,0.00064506315151957,0.000398240341364783,0.000572079155536549,0.000651382272244776,0.000505034513461874,0.000504360580368339,0.00652210386253596,0.00185663387143518,0.00172657618271858,0.00156948501132333,0.00186394686594482,0.00253895230724259,0.00124963606363571,0.00110170643539625,0.00126688808425291,0.000647508566735869,0.000480247615329581,0.00089444267416715,0.000528867163652879,0.00138564544548408,0.00102911498744293,0.00125503259316388,0.000605354510592858,0.00025310394101831,0.000513876156161429,0.000823060482055367,0.000613211840906663,0.000503002106946135,0.00208916782960646,0.00192054574978541,0.00259100067874458,0.00281800199851655,0.00182194390295163,0.000945783197907677,0.00216320105760609,0.00247447054273821,0.00131555143587936,0.00508302874633171,-0.000513308829720123,-0.00355390375622155,0.00329004377428904,-0.00432536211602574,0.000496729080266878,0.00676526482783799,-0.0174694532111907,0.0159482046512074,-0.012438700942624,0.014049235609708,0.0137852909997572,0.0645407373914822,-0.0266455645341642,0.0142285496329673,-0.0689487153936414,0.065246657744792,0.0267076312638595,0.105295250649081,-0.0243892979747234,0.139699538660227,0.153343378867721,0.0025424414115956,0.0962821517575549,-0.293853417633259,-0.0374278198119893,0.136541540314135,-0.135050117975336,-0.245775763012193,-0.175617349566342,0.352224431651449,0.0999300990632551,-0.0706876755676804,-0.0909991943980605,-0.0302990502850464,-0.0281223386053973,0.0157856976746344,0.054613972923976,-0.226143421717895,-0.0768423874011112,-0.219741194579262,-0.167866774058295,-0.249003752939235,"4-guanidinobutanoic acid",1.73067558044426e-06
"4-hydroxy-2-quinolinecarboxylic acid",0,0.000230545140045477,2.45434746518721e-05,0.00034508841268488,0,0.000198627878868269,0,0.00218229022876203,0,0,0,0,0,0,0.009841332443016,0.000269361815397101,0.000915920456292892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107249004275317,0.000842082554004411,0.00104944585656493,-0.00789904559953158,0.00155433821025383,-0.00365957964487916,-0.00441975316387866,0.0148896551241751,-0.023797340035458,-0.0183780969384861,-0.0740210042494511,-0.00470402445213617,0.0462559511559561,0.101047548076023,-0.051822427395802,0.0203875417512298,-0.136204381450751,0.0897025695805692,0.0813072025891805,0.171229334978497,-0.00380175356299585,0.178176723881425,0.1560994703385,0.301588847832614,0.0816840383579228,0.0105121290934936,-0.0117053853670181,0.119355416505527,0.0234420538540331,-0.0715173885923495,-0.161940003211847,0.160959391751815,-0.173972788326037,-0.129756855490866,-0.055447495433486,0.0236190061426892,0.186121016570303,0.0539456876533457,-0.255356767514791,0.229567383795027,-0.0247935159995605,0.00701605247602319,0.260083359111017,0.00315515624143491,"4-hydroxy-2-quinolinecarboxylic acid",1.15023489180469e-06
"4-hydroxyproline",7.88758557310312e-05,0.00053320485116112,7.05968145740732e-05,0.000399486817998565,0.00045626726715077,0.000109772093793171,0.000144889099440558,0.000996097776589204,0,0,2.22037981571118e-05,0,0,4.69374847730875e-05,0.000131862036550303,0.000357725335547232,0.000508419059859144,0,0,6.67836740046743e-05,0.000174560607017562,8.36452331981691e-05,0.000325852809774759,9.89899428728697e-05,0.000109424787903796,0.000123197309210597,7.78258578837427e-05,7.24223256916127e-05,0.000320211080529328,0.000511277837461591,0,3.29998238842318e-05,0,0,0,0,0,5.60108130615536e-05,6.16305057572546e-05,6.55474821982689e-05,0,0,0,0,-0.000285068032176739,0.000968644033303404,0.000734230662093245,-0.0014690456110148,-0.00175643278181364,0.00058731358312325,-0.000333484345278579,0.000544289236203255,-0.00174043409757346,-0.00464367339867543,0.00348542176025556,2.61184864543858e-05,-0.00386396055927199,0.00707094831197691,-0.0066610691621518,0.00143352236920924,-0.00137728017265436,-0.00755940199514879,-0.00565158829608901,0.00785487864421654,0.00100435443714228,0.0128592537001534,-0.029607460269107,0.0315927611519123,-0.0406771207384418,0.0134045026340051,-0.0325214822646615,-0.0175141299161593,-0.0191249590697039,0.0429940963296826,0.047564008221891,0.0122148013652072,0.0227481304879454,-0.0115201185417604,0.0345730840439629,0.0637407366116299,0.0365191739709452,0.00541570683339509,-0.00445422339808589,-0.0461960463252857,-0.0195677507520429,0.147505590773707,-0.0330831739500289,-0.0495141094790614,"4-hydroxyproline",8.12637829691182e-08
"4-quinolinecarboxylic acid and isomers",0.0125186411608112,0.0122303139748531,0.0154236574144425,0.0133805758743679,0.0268188678589689,0.0147086302534121,0.0142570038096891,0.0115688900319021,0.00194266847461604,0.000656964866104439,0.00286161900255327,0.00127126430890203,0.000652179866318231,0.000230644618998656,0.000842471710875751,0.00107045356106925,0.00204275697901396,0.000348931497177826,0.0091315961912477,0.0125200007725087,0.00969571218297448,0.0195462144906273,0.00565027655439704,0.00513763022453328,0.00447479661743222,0.00613272365048732,0.0070819671316589,0.00252805246485216,0.00524140075302615,0.00513493634859328,0.00431545321456903,0.00293282905365606,0.00321251721926226,0.00306629446518584,0.00309954692537698,0.00064164177926232,0.000575046323431532,0.000904056364317504,0.000589667925878595,0.000939478946985999,0.00221315855887302,0.00248849948393512,0.00128292819096506,0.00193597834178895,-0.00136982850751262,0.0132187264526592,0.052865909068882,0.00368456183106558,-0.00656737037671373,0.00474792702823329,0.0904205331372734,-0.0249060287592116,-0.080942705703786,-0.0706338130246839,0.390901174189231,0.228118699138653,0.044827083200001,0.212519936027437,-0.0693457067744823,0.108636633972208,-0.0032095015250913,-0.0813700984837401,-0.272902736276506,0.0377530878428096,0.438592355735597,-0.299682775181399,0.191998429431853,-0.00831707700783992,-0.0747969896044717,0.164652571133138,0.323022665861814,0.0672873125029149,0.0314769740157801,0.193678189519763,0.0413399819763422,0.144108017219546,-0.110281436579173,-0.000396066895032398,-0.0324062320446353,0.028078617459639,-0.137649258299075,-0.03670695954684,-0.0362038914831274,-0.0377994073482667,-0.110981799881268,-0.0928263636168251,-0.00450630793485009,-0.0581193349320093,"4-quinolinecarboxylic acid and isomers",1.87643013999426e-06
"5-methylthioadenosine",0.000644248844589028,0.000943848310297421,0.000535662645272369,0.00124013738267434,0.00183869833323092,0.00114051977185447,0.00087967046393489,0.000898175888744317,0.000928889559407646,0.000910873720853739,0.000893789391952689,0.000746886156907187,0.000866306428768003,0.00121454763215426,0.00119980078011738,0.000334861287962404,0.000371864562740876,0.000456997245432669,0,9.69608446538856e-05,9.49152223034707e-05,0.000128170617188115,0.000441986602969559,0.000469851098097814,0.000460208432153826,0.00017123278007262,0.00033205228257957,0.000293868311394917,0.000174847985464296,0.000361575950137444,0.000369234398644486,0.00039957160936468,0,0.000449740904140099,0.000502456172466647,0.000342661797354489,0,0.000359362220671114,0.000346848991859059,0.000175310017077255,0,0.000148497493529844,0,0,-0.0011360051559777,-0.000244651708684517,0.000576769777408049,-0.00118791014665191,0.000298731568009969,-0.00161619387004078,0.00354151436433252,0.00568257261058169,-0.00874544216885381,-5.4017627073577e-06,0.00595235840189738,0.00827950973638494,0.00822106086271973,0.0164164178359674,-0.00135852538469174,0.00952493860858637,-0.0345054831711856,0.00335004777476741,0.0006161809303913,-0.00390065122658891,0.0163155744989676,0.0226326252406096,0.0225303233745115,0.0263349864995917,-0.00706586586124558,0.0737782421562108,-0.0975826197879491,-0.00864491452300873,0.0396443156796066,0.0123589867056768,-0.0667849198049836,-0.00870168708774794,-0.238527668061009,-0.0486130903492475,0.10194095718429,-0.159006908159892,-0.0984281669761051,0.045601166300115,-0.111135997418825,0.0408048731897159,-0.0689523634506667,0.414481561606848,-0.0368417965396899,-0.0881339102001271,"5-methylthioadenosine",1.29050771440793e-06
