"","Azoles","Benzene and substituted derivatives","Biotin and derivatives","Carboxylic acids and derivatives","Diazines","Fatty Acyls","Imidazopyrimidines","Indoles and derivatives","Organonitrogen compounds","Organooxygen compounds","Pteridines and derivatives","Purine nucleosides","Pyridines and derivatives","Pyrimidine nucleosides","Unknown"
"MS.nonster.Brachy","a","a","a","a","a","ab","b","a","a","a","a","a","a","a","a"
"MS.ster.Brachy","a","b","a","b","ab","b","a","b","a","b","b","b","a","b","b"
"MSSuc.ster.Brachy","b","a","a","a","b","a","b","a","b","b","a","a","a","c","a"
