"","id","group","Alkaloids and derivatives","Benzenoids","Lipids and lipid-like molecules","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic nitrogen compounds","Organic oxygen compounds","Organoheterocyclic compounds","Unknown"
"1","MSSuc.ster.Brachy.1.419","MSSuc.ster.Brachy",0,0.000583370454946309,0,0.00871305284414606,0.0140994675209069,0.00283871872561907,0.000438356577718508,0.101246148719518,0.872080885157145
"2","MSSuc.ster.Brachy.2.420","MSSuc.ster.Brachy",0,0.000695255168247823,0,0.00943859229157944,0.0107830908256897,0.00210845524294697,0.00104809190266452,0.175870682611264,0.800055831957608
"3","MSSuc.ster.Brachy.3.421","MSSuc.ster.Brachy",0,0.00024368415948056,0,0.00382899356374804,0.0140938955251589,0.00188297745084021,0.000527404078680593,0.0877470676651509,0.891675977556941
"4","MSSuc.ster.Brachy.4.422","MSSuc.ster.Brachy",0,0.000647522301935646,7.45329328172216e-06,0.0121307955882622,0.00907308976689145,0.0017305923987081,0.000957355337944509,0.172039253637029,0.803413937675948
"5","MSSuc.ster.Brachy.5.423","MSSuc.ster.Brachy",0.000601407470477145,1.11395578332811e-05,0.0125483210852487,0.00078529426033199,0.00648697749275406,0.00501658031362737,0.00139722466899797,0.131297914608308,0.841855140542422
"6","MS.ster.Brachy.1.412","MS.ster.Brachy",0.00671595308614574,0,0,0.00348168783852948,0.00489062012558124,0.0482339043418843,0.00225498637779205,0.515277055965369,0.419145792264698
"7","MS.ster.Brachy.2.413","MS.ster.Brachy",0.00471796275826852,0,0,0.00454138427922037,0.00501237981241261,0.0597697378645057,0.00234880869415748,0.57998952104479,0.343620205546645
"8","MS.ster.Brachy.3.414","MS.ster.Brachy",0.00327735735527211,0,0,0.00677557800406487,0.00300413965141988,0.0480325513482072,0.00203303730432929,0.488006248804653,0.448871087532054
"9","MS.ster.Brachy.4.415","MS.ster.Brachy",0.00368241072855979,0,0,0.00565369724094498,0.00395744220199963,0.0542631411963349,0.00283236015941817,0.370913137112407,0.558697811360336
"10","MS.ster.Brachy.5.416","MS.ster.Brachy",0.00368296142189687,0,0,0.00416837871164673,0.00590597280853385,0.0482957047588888,0.000708672164464341,0.466646555814121,0.470591754320448
"11","MS.nonster.Brachy.1.426","MS.nonster.Brachy",0.00332748721746857,4.15780623644027e-05,3.90819168195307e-06,0.0238036731252983,0.0172900424468911,0.0334882208503147,0.0101135093934331,0.222672844169676,0.689258736542872
"12","MS.nonster.Brachy.2.427","MS.nonster.Brachy",0.00395043445334324,2.8139593261463e-05,0,0.02923446122301,0.016048286054878,0.0384338166757284,0.0244094563740145,0.153201904713333,0.734693500912432
"13","MS.nonster.Brachy.3.428","MS.nonster.Brachy",0.00153007340035138,1.17562979287838e-05,7.2095068542777e-06,0.0121420698724779,0.00514591573938398,0.0148229114872823,0.00615337990610126,0.0965815696330097,0.86360511415661
"14","MS.nonster.Brachy.4.429","MS.nonster.Brachy",0.00386058597022723,6.26340479346277e-05,1.46659911959685e-05,0.0213887603941949,0.0184784255173979,0.0301912293438806,0.0144645197074051,0.224547195792331,0.686991983235432
"15","MS.nonster.Brachy.5.430","MS.nonster.Brachy",0.00482959385478477,1.72453842716831e-05,5.47934443704409e-06,0.0161547410954094,0.0217018491013328,0.0558639601994298,0.0162165340633076,0.208301495006423,0.676909101950604
