"","id","group","Azoles","Benzene and substituted derivatives","Biotin and derivatives","Carboxylic acids and derivatives","Diazines","Fatty Acyls","Imidazopyrimidines","Indoles and derivatives","Organonitrogen compounds","Organooxygen compounds","Pteridines and derivatives","Purine nucleosides","Pyridines and derivatives","Pyrimidine nucleosides","Unknown"
"1","MSSuc.ster.Brachy.1.419","MSSuc.ster.Brachy",7.79446086982242e-05,0.000583370454946309,7.7689186416631e-06,0.0140994675209069,0.00019180184404005,0,0.100569912246952,2.69154297611797e-06,0.00283871872561907,0.000438356577718508,1.26420950212401e-05,0.0078062775201869,0.000383387463188889,0.000906775323959166,0.872080885157145
"2","MSSuc.ster.Brachy.2.420","MSSuc.ster.Brachy",8.72935988223245e-05,0.000695255168247823,0,0.0107830908256897,0.000271928981912731,0,0.175096427482852,8.13335976756216e-06,0.00210845524294697,0.00104809190266452,1.74984682492046e-05,0.00809282462791788,0.000389400719659531,0.00134576766366155,0.800055831957608
"3","MSSuc.ster.Brachy.3.421","MSSuc.ster.Brachy",5.11855162674396e-05,0.00024368415948056,0,0.0140938955251589,0.000145280096060437,0,0.0870638062608362,4.80607970986962e-06,0.00188297745084021,0.000527404078680593,9.59006777145303e-06,0.00312034225654214,0.000472399644505547,0.000708651307205906,0.891675977556941
"4","MSSuc.ster.Brachy.4.422","MSSuc.ster.Brachy",6.66521510069534e-05,0.000647522301935646,0,0.00907308976689145,0.000353798029593783,7.45329328172216e-06,0.171238944825663,5.31673303961053e-06,0.0017305923987081,0.000957355337944509,1.11593861393506e-05,0.0108353064306288,0.000363382511586178,0.00129548915763334,0.803413937675948
"5","MSSuc.ster.Brachy.5.423","MSSuc.ster.Brachy",8.68933343901985e-05,1.11395578332811e-05,0.0014067863139589,0.00648697749275406,0.00156081974666008,0.0125483210852487,0.119912800555841,3.22432974340057e-05,0.00501658031362737,0.00139722466899797,5.21196352289454e-05,3.16873640834395e-05,0.00824625172479489,0.00075360689624855,0.842456548012899
"6","MS.ster.Brachy.1.412","MS.ster.Brachy",0.00167404050585499,0,0,0.00489062012558124,0.0011470256818293,0,0.510858135531531,0,0.0482339043418843,0.00225498637779205,0,4.36850808030684e-06,0.00159785424615395,0.00347731933044917,0.425861745350844
"7","MS.ster.Brachy.2.413","MS.ster.Brachy",0.00419133765291342,0,0,0.00501237981241261,0.001082433202398,0,0.571857316944952,0,0.0597697378645057,0.00234880869415748,0,0,0.00285843324452595,0.00454138427922037,0.348338168304914
"8","MS.ster.Brachy.3.414","MS.ster.Brachy",0.00234337624610642,0,0,0.00300413965141988,0.00140797070705371,0,0.482029653693205,0,0.0480325513482072,0.00203303730432929,0,3.32071511775399e-05,0.00222524815828749,0.00674237085288733,0.452148444887326
"9","MS.ster.Brachy.4.415","MS.ster.Brachy",0.00342106018262268,0,0,0.00395744220199963,0.00258292261050119,0,0.363407171616135,0,0.0542631411963349,0.00283236015941817,0,0,0.00150198270314811,0.00565369724094498,0.562380222088896
"10","MS.ster.Brachy.5.416","MS.ster.Brachy",0.00251444478401959,0,0,0.00590597280853385,0.0014855034420374,0,0.461582781804088,0,0.0482957047588888,0.000708672164464341,0,0,0.00106382578397561,0.00416837871164673,0.474274715742345
"11","MS.nonster.Brachy.1.426","MS.nonster.Brachy",0.00149716936018795,4.15780623644027e-05,1.19184011240668e-06,0.0172900424468911,0.00170833265329579,3.90819168195307e-06,0.21832443660982,2.1387667045326e-05,0.0334882208503147,0.0101135093934331,1.28933255130201e-05,0.00352296477092355,0.00110743271370137,0.0202807083543747,0.692586223760341
"12","MS.nonster.Brachy.2.427","MS.nonster.Brachy",0.00292840943725859,2.8139593261463e-05,0,0.016048286054878,0.00609297814098382,0,0.141640574551603,2.91338841462906e-05,0.0384338166757284,0.0244094563740145,2.92803114247132e-05,0.0178505701245755,0.00248152838791641,0.0113838910984345,0.738643935365775
"13","MS.nonster.Brachy.3.428","MS.nonster.Brachy",0.000642187513497934,1.17562979287838e-05,2.51588188904601e-06,0.00514591573938398,0.000851086232030138,7.2095068542777e-06,0.0943417520705041,3.67053452518235e-06,0.0148229114872823,0.00615337990610126,6.95115744728835e-06,0.00277109737163042,0.00073340624311607,0.00937097250084753,0.865135187556962
"14","MS.nonster.Brachy.4.429","MS.nonster.Brachy",0.00243410916222904,6.26340479346277e-05,3.82691758693369e-06,0.0184784255173979,0.00240026331504879,1.46659911959685e-05,0.217577564077569,2.46010696372125e-05,0.0301912293438806,0.0144645197074051,9.62809928457534e-05,0.00373783017664277,0.00201055025741521,0.0176509302175521,0.690852569205659
"15","MS.nonster.Brachy.5.430","MS.nonster.Brachy",0.00190986851009765,1.72453842716831e-05,0,0.0217018491013328,0.00323894680080544,5.47934443704409e-06,0.201091847793746,2.24416654307294e-05,0.0558639601994298,0.0162165340633076,4.16623024920388e-05,0.00812228192563457,0.00199672793385073,0.00803245916977487,0.681738695805389
