"","Alcohols and polyols","Alloxazines and isoalloxazines","Amines","Amino acids, peptides, and analogues","Benzoic acids and derivatives","Fatty acids and conjugates","Imidazoles","Indolyl carboxylic acids and derivatives","Purines and purine derivatives","Pyridinecarboxylic acids and derivatives","Pyridoxamines","Pyrimidine 2-deoxyribonucleosides","Pyrimidines and pyrimidine derivatives","Unknown"
"MS.nonster.Brachy","a","a","a","a","a","ab","a","a","b","a","a","b","a","a"
"MS.ster.Brachy","b","b","a","b","b","b","a","b","a","a","b","a","ab","b"
"MSSuc.ster.Brachy","b","a","b","a","a","a","b","a","b","a","ab","c","b","a"
