function	A1	A10	A11	A12	A13	A14	A15	A16	A17	A18	A2	A3	A4	A5	A6	A7	A8	A9
RXN-11838	19657.38	16990.37	17746.21	16161.96	17315.62	21211.81	18489.34	19040.61	19319.27	19337.67	16000.05	21373.7	20944.97	26235.11	22244.01	16300.789999999995	14197.840000000002	16070.1
RXN-11839	30644.11	29964.97	32260.070000000003	30944.05	35083.09	36761.02	34709.41	34003.8	34833.51	34718.98	32949.89	35845.22	34321.08	36392.88	34485.75	31051.980000000003	31388.57	31491.2
RXN-11840	6751.75	5211.02	5454.139999999999	4234.55	5811.76	6894.6	5683.610000000001	6159.68	6276.49	6124.51	5247.650000000001	7785.99	7777.139999999999	10471.35	7909.460000000001	4138.67	3744.71	5602.54
RXN-11841	6859.86	6514.99	6366.76	6325.16	5965.62	6827.79	6865.83	6501.799999999999	6738.27	7314.91	5792.01	6986.870000000001	6732.969999999999	7491.349999999999	7297.16	6303.24	5079.49	5921.29
RXN-11842	23717.68	21617.73	21301.61	18030.42	24011.49	27265.85	22279.28	22889.92	24662.05	23819.370000000003	20278.28	28403.69	26244.56	34472.39	25930.52	17489.120000000003	19103.41	21479.45
RXN-11843	23717.68	21617.73	21301.61	18030.42	24011.49	27265.85	22279.28	22889.92	24662.05	23819.370000000003	20278.28	28403.69	26244.56	34472.39	25930.52	17489.120000000003	19103.41	21479.45
RXN-11845	21149.74	18088.38	18903.88	17422.81	18553.11	22369.13	19693.99	19931.12	20599.44	20625.01	17419.57	22786.06	22375.3	27558.12	24513.33	17659.469999999998	15208.14	16858.100000000002
RXN-11855	5.5	13.5	9.5	11.5	9.0	8.5	11.0	9.5	10.0	9.0	3.0	2.5	3.5	2.0	3.0	7.0	9.0	14.0
RXN-11860	22394.03	20963.24	22035.89	21277.11	22132.82	25668.78	22741.25	22294.14	24142.65	23307.55	19747.32	27004.53	24653.51	29922.68	26109.42	20916.65	20098.39	20868.49
RXN-11865	22394.03	20963.24	22035.89	21277.11	22132.82	25668.78	22741.25	22294.14	24142.65	23307.55	19747.32	27004.53	24653.51	29922.68	26109.42	20916.65	20098.39	20868.49
RXN-11866	2500.67	2940.5	3197.93	3554.48	2374.82	2878.13	3395.34	3173.9700000000003	3049.95	3654.75	2270.67	2613.51	2478.82	2469.53	2580.35	3159.56	2818.85	2621.95
RXN-11867	2500.67	2940.5	3197.93	3554.48	2374.82	2878.13	3395.34	3173.9700000000003	3049.95	3654.75	2270.67	2613.51	2478.82	2469.53	2580.35	3159.56	2818.85	2621.95
RXN-11869	0.5	0.0	0.5	3.0	1.5	0.0	1.0	1.5	1.0	1.5	1.5	0.0	0.0	0.0	0.0	1.5	1.5	0.5
RXN-11877	49.25	33.25	38.25	45.5	28.0	61.0	43.0	56.5	31.25	33.75	48.75	135.25	125.5	87.5	64.5	28.5	19.0	43.75
RXN-11879	112.0	125.0	160.0	170.0	111.0	113.0	143.0	81.0	102.0	169.0	93.0	102.0	83.0	34.0	96.0	177.0	122.0	129.0
RXN-11881	1444.83	1238.83	1521.17	1378.0	2722.5	2944.33	2201.5	2377.0	2073.83	1918.17	2411.0	1280.33	1711.67	1229.83	1337.17	1610.0	2056.67	1668.0
RXN-11902	7186.0	6464.82	8080.19	5954.51	9557.19	12100.14	7182.17	7694.33	9523.47	6888.639999999999	4096.99	5240.47	6081.01	8734.15	5238.5	5928.82	6204.16	6449.65
RXN-12002	52803.95	53389.36	57986.05	57146.11	62739.5	64042.70999999999	62631.81	60602.259999999995	61955.270000000004	62436.12999999999	60045.7	63408.69	59971.84	60147.69	59892.59	57553.880000000005	58487.3	56493.229999999996
RXN-12014	463.38	736.54	550.0899999999999	1297.12	293.22	155.16	351.27	333.11	197.06	382.37	654.1700000000001	530.56	1119.04	267.65	444.0	1276.17	784.91	741.22
RXN-12038	5640.25	5770.74	6781.689999999999	5995.45	9187.94	7846.07	8168.139999999999	8567.02	8183.87	7893.96	10349.58	7248.71	7073.43	4613.06	5874.849999999999	6252.4400000000005	7689.68	6975.219999999999
RXN-12041	5640.25	5770.74	6781.689999999999	5995.45	9187.94	7846.07	8168.139999999999	8567.02	8183.87	7893.96	10349.58	7248.71	7073.43	4613.06	5874.849999999999	6252.4400000000005	7689.68	6975.219999999999
