"","Medicago-1d.1","Medicago-1d.2","Medicago-1d.3","Medicago-1d.4","Medicago-00h.1","Medicago-00h.2","Medicago-00h.3","Medicago-00h.4","Medicago-02h.1","Medicago-02h.2","Medicago-02h.3","Medicago-02h.4","Medicago-04h.1","Medicago-04h.2","Medicago-04h.3","Medicago-04h.4","Medicago-4d.1","Medicago-4d.2","Medicago-4d.3","Medicago-4d.4","Medicago-p5h.1","Medicago-p5h.2","Medicago-p5h.3","Medicago-p5h.4"
"2-hydroxypyridine",0,25818314.7916667,0,0,0,0,0,1759472.125,0,0,0,0,22771334.9583333,0,148540.458333333,10747224.9583333,0,0,0,0,0,0,983229.583333333,0
"2-deoxyadenosine",0,90994.468984,0,0,0,826759.187684,0,0,0,397952.312684,0,0,0,6738.59398399998,0,0,0,0,0,0,0,165223266.687684,167083.875184,0
"2-deoxyguanosine",15256.1406216667,27942.3359216667,799.039061666675,0,262224.3672325,240801.0234325,493964.5859325,682251.7734325,0,88221.6015325,14170.7812425,20949.0156325,17168.804685,34991.437485,0,0,47141.5651525,291500.9401525,36265.4557525,39148.3776525,12327.4140625,1282809.7734325,563960.2734325,325102.9609325
"3-methoxytyramine",20545.58789,43593.27149,0,0,3787.38476666667,1076.60742666667,6740.24023666666,6789.74023666666,30020.41081,8570.51042,4159.54167,362.334639999997,5317.11784,17122.06315,0,0,714771.02539,144132.55669,1251.00977,418.757809999999,4196.39518333333,2221.04948333333,5052.72526333333,2727.28385333333
"3-methyladenine",7979169.56163883,286655018.061639,1058996.68663883,1582768.18663883,2637067.86425833,218470463.364258,939973.051758333,677543.176758333,299368073.818958,198260333.818958,1847160.06895767,2922415.06895767,80417926.6233422,95099496.6233422,2184338.87334217,1851902.24834217,82068704.7494178,109422904.749418,53959664.7494178,2540156.24941783,7463163.94655433,436782280.446554,896475.696554333,1114485.32155433
"4-aminobutanoic acid",249567768.625,1806406528.625,44454638.625,42787368.625,43505974.9183592,213442264.918359,176656.449659167,48193664.9183592,142754126.114567,579552906.114567,0,0,221163933.3229,540034113.3229,3889099.8229,54941193.3229,161078932.166667,733483352.166667,64592182.1666667,168054872.166667,98092912.9921667,283090992.992167,3738090.74216667,1510250.36716667
"4-guanidinobutanoic acid",967367870.296867,693580190.296867,23880180.2968667,1259389.92186667,256366258.566403,6048807.06640333,870157.878903333,1422533.19140333,1528017904.05727,252719444.057273,484971.932273333,126520534.057273,1312871004.90625,248567124.90625,2241018.40625,1060734.40625,2009931327.78298,785014527.782978,167511827.782978,309631507.782978,484320002.22915,92435862.22915,1528816.35415,8635512.22915
"4-hydroxybenzoic acid",859731,27642622.75,22437192.75,0,685719.7713,1170344.4583,19750.3021,378827.5833,0,0,0,0,36257535.9583333,544551.708333333,0,55444.7083333335,80767327.0833333,88765867.0833333,8066927.08333333,0,2378400.763,146505.0755,0,92240.3255
"4-imidazoleacetic acid",946160.03776,1820014.78776,205635.56906,45730.36589,62062.4466133333,20759.3606733333,32543.5755233333,69215.1809933333,2404657.43652667,956721.624526667,4861.30371666666,68403.9521266667,1785521.00651333,1440364.25651333,350015.131513333,66290.9518233333,64039438.83788,4763194.33788,517655.02538,7096408.83788,287186.219776667,24832.2353566667,1774620.75097667,33278.1455066667
"4-pyridoxic acid",376093.086586667,301803.242886667,142209.305386667,177018.461586667,112645.989933333,73878.0836633333,123188.083633333,147614.599333333,290490.3737,91501.694,67774.23308,102725.4987,253985.963586667,201854.119786667,103607.111986667,115730.752586667,716816.600025556,1911129.16252556,619736.225025556,642864.350025556,214490.973632667,92125.1376926667,123121.348632667,134322.286132667
"4-quinolinecarboxylic acid",1089937489.85156,36176579.8515633,30542409.8515633,1477392.10156333,185721749.315103,128145.830703333,8624589.31510333,163847.518203333,433667339.01108,208029.94858,645996.44858,99601129.01108,762412350.527343,1730659.90234333,723010.777343333,651026.589843333,2342013131.29339,580563611.293389,260845671.293389,200702231.293389,229799006.98112,135761.30922,356885.79362,266111.57492
"5-methylcytosine",126451755.307933,1928684075.30793,3546365.55793333,7783866.80793333,159526.136366667,923158.495766667,287607.589566667,120908.777066667,47658249.12368,661868579.12368,2022697.87368,1733110.37368,101091690.560553,526754280.560553,1726326.06055333,2299910.31055333,259012990.254229,333669530.254229,7411243.75422889,70993600.2542289,900734.845703333,130810000.533203,331111.627003333,311609.439503333
"5-deoxyadenosine",0,97073374.4700533,0,0,0,39878.4057917499,0,0,1004035.50739175,1024157.63239175,2552079.25739175,499805.50739175,17625701.96354,6904350.46354,7438431.96354,331221.58854,0,4378320.48090222,0,0,70725.7652250833,375249.671425083,716.733925083303,0
"5-methylthioadenosine",15009675.67707,92847845.67707,378458.55207,486935.73957,1573400.16536333,82099160.6653633,754452.915363333,400022.727863333,895609.90543,1178900.46743,256166.06123,538690.09243,0,0,708996.257813334,2481126.25781333,2272477.57502589,162516578.075026,1726289.32502589,1376590.20002589,522637.243506667,70071737.9935067,9346157.99350667,332882.524806667
"acetylcholine",564926.359366667,4814295.92186667,0,0,0,0,0,0,32728567.1718667,75649237.1718667,0,0,6546875.1927,58603714.6927,0,0,899842.432266667,0,0,0,0,0,0,0
"adenine",718090946.833333,2266021506.83333,256757506.833333,471793826.833333,124728468.833333,574800388.833333,83653678.8333333,194988268.833333,548363271.083333,2899705991.08333,75502271.0833334,339982671.083333,760365223.166667,2156598023.16667,432519743.166667,454914983.166667,398282857.777778,842428617.777778,50588417.7777778,39879297.7777778,734120637.426595,2598691837.4266,241765497.426595,151276177.426595
