"","Medicago-1d.1","Medicago-1d.2","Medicago-1d.3","Medicago-1d.4","Medicago-00h.1","Medicago-00h.2","Medicago-00h.3","Medicago-00h.4","Medicago-02h.1","Medicago-02h.2","Medicago-02h.3","Medicago-02h.4","Medicago-04h.1","Medicago-04h.2","Medicago-04h.3","Medicago-04h.4","Medicago-4d.1","Medicago-4d.2","Medicago-4d.3","Medicago-4d.4","Medicago-p5h.1","Medicago-p5h.2","Medicago-p5h.3","Medicago-p5h.4"
"pipecolic acid",9.38489697455398e-05,0.00166322957345209,1.07223723638065e-05,4.77281362855459e-06,0.00322569327371789,0.0134324027632792,1.53493820243593e-05,6.91642253799045e-05,0.000121221859945196,0.000115003472034753,5.51911101141604e-05,0.00019234501257404,5.26480714411883e-05,5.67022294349909e-05,2.45222294676845e-05,8.38606710746814e-05,3.18671015867282e-05,2.6779453153818e-05,1.80781532238079e-06,0,0.000271732427568561,0.0143631159384003,0.000116206381715705,3.30615476404245e-05
"proline and unresolvable, unidentified isomers",0.0018043466719924,0.0328264981258836,3.5078485433814e-06,0,0.0186785883127857,0.0882395123808037,0,0,0.00383667906027494,0.0361163574623821,0,0.000272416522553609,9.69847712638021e-05,0.00942722314961195,1.46058524609863e-05,6.38331181905086e-05,1.87802818509664e-05,1.207420044642e-05,0,0,0.00124150272937204,0.0445119548293378,0,1.25400801139738e-05
"pyridoxine",0.0708430595848121,0.0393443960560934,0.137248186323185,0.0743447492786102,0.000565338393419075,0,0.0611337185109165,0.166282682475022,0.101092434649672,0.0128613346195449,0,0.0325137552050174,0.0980437396444594,0.0546549698288602,0.17680936797745,0.0449126392821946,0.114653327183451,0.139824625847319,0.299583412070421,0.210154954667078,0.0374022404209232,0,0.141410022896712,0
"sarcosine",1.18316782419081e-05,8.39170721532686e-05,0,1.96992749011915e-06,2.28791056872993e-05,4.36957250757763e-05,0,0,0,2.30351764375937e-06,0,0,0,1.31727377418319e-06,0,5.64497329770284e-06,0,6.24050897662726e-07,0,3.26174310160913e-07,3.23726937336638e-05,2.18621111423263e-05,0,3.45998970941563e-06
"threonine",1.93181290769893e-05,0.000142966680831869,4.75419591279273e-06,0,8.71947956925288e-05,0.000147983507357041,0,3.38488369551812e-05,0,0.000773917873198941,0,0,3.13074670449119e-05,0.000110121143483302,1.644630811661e-05,5.51460146839166e-05,4.05474552374207e-06,5.82995623380732e-06,0,8.7989379594659e-06,0.000112193493698327,7.49934000229102e-05,6.84319299126533e-05,1.86298592583369e-05
"thymidine",0.000108997501710829,0.00194331712635415,0.000174453633023856,0.00155078705853907,2.6458342397225e-05,1.25658369481509e-05,1.46190309549727e-05,4.77813066715557e-05,1.02157176322791e-05,0.00022440498076264,0.0001365552262701,1.87987671099173e-05,0.000198571434160514,0.00184675329444263,0.000457360380529603,0.000202864587838555,5.48755076734325e-05,8.72038322446942e-05,2.94025050359217e-05,8.48098025331271e-05,4.65754362074505e-05,3.75796317033767e-05,8.15226003079566e-05,5.03914775551034e-05
"trigonelline and unresolvable, unidentified isomers",0.0704615259201746,0.0872349337594761,0.143335884204415,0.111257058719524,0.160773160061195,0.25613370891465,0.271565946538732,0.0434463883718088,0.0865779589908864,0.0711501104781566,0.224527196584684,0.280514592671101,0.0885238077038367,0.0807460048762353,0.107980752237569,0.1226646386681,0.0893123607364703,0.226748236197884,0.194885489851656,0.193074091535132,0.0583390315735528,0.193923438827705,0.00838787408416206,0.00659307864949724
"tyrosine",0.000137436767720866,0.000123347100111178,3.4717536216454e-05,1.68181365803476e-05,9.65981292805796e-05,0.000538542221368694,2.24634635791625e-05,5.59640936812904e-05,0.00136119428543249,1.55142567232585e-05,0,0,7.27857856878632e-05,3.91939677353583e-05,8.42051507725575e-06,6.51135925736054e-05,9.644204442011e-05,6.85379081234501e-05,3.08648496726001e-05,3.26005580599091e-05,0.000124209707908488,3.62665436022216e-05,6.03274496643014e-05,4.64244387150537e-05
"unidentified isomer of 3-hydroxyanthranilic acid",7.77208382539097e-05,1.37663866492034e-05,0.00259554622846979,9.97899833395188e-05,0.000142521324368554,6.96377228402828e-06,0.000220157932474286,0.000256610838616878,0.000709692696748748,7.23694838583602e-06,0.000513884372561821,0.000162779456843961,7.02398707644665e-05,1.44862778870794e-05,0.000197459223321764,8.83205962186776e-05,0.000348336272580944,0.00026078875960547,0.000443020559743143,0.000349003968921866,0.000166416893546854,2.76767583874914e-06,0.000693303785485563,0.000361625949469529
"unidentified isomer of cytidine",0.0267795862507164,0.0384808470023172,0.00354573970182554,0.0263180707431213,0.0456276479639041,0.00950230409463121,0.00105544639103247,0.00175200182306686,0.0180485032570326,0.038107839801877,0,0,0.0418872769821167,0.0490815421491445,0.00310918029519568,0.00206524276236357,0.00921855395316106,0.0282041888670213,0.0236905762994093,0.0374276867393762,0.021765847617708,0.0170522378841988,0.00189879203268484,0.0014348358917344
"unidentified isomer of nicotine",0,0,0,0,0,0,0,0.114953290562356,0,0.0174479120456236,0,0,0,0,0,0,0,0,0,0,0,0,0.0201259320211124,0
"unidentified isomer of nicotinic acid",0.00026581783166605,2.37394632172886e-05,0.000467687655922302,0.00028361110991469,0,0,0,0,3.83139369493376e-06,1.79383456338377e-06,0.000143749854936272,7.45811816472527e-05,2.74483958954919e-05,1.15527008446331e-05,1.87997034661729e-05,0.00017078052791615,7.73592047507368e-05,8.21878104255492e-05,0.000371929000215044,0.000498226068080299,6.60306196155932e-05,6.04434223180736e-05,0,0
"unidentified isomer of valine",0,5.17727490232499e-05,0,0,0,0,0,0,0,6.27731035148708e-05,0,0,0,0,0,0,0,0,0,0,0,0.00234363664512374,0,0
"uracil",0.000110035937916847,5.52089326162444e-05,7.84381921623827e-05,4.49906326303253e-05,0.000111760474637605,1.82805064272484e-05,2.32250279695276e-05,5.60544113372691e-05,0,0,0,0,5.14018695622797e-05,3.42199390858058e-05,4.99222082582389e-05,0.000192188980721064,0.00020234982403776,0.00211668858337972,0.000116655524321531,0.000219515968674041,5.53684524804577e-05,5.69470942736017e-06,3.90194153115654e-05,7.17516701147614e-05
"vanillic acid",0.0275479182485405,0.0236000948093908,0.0540290599880125,0.0592508100102755,0.000775963769222088,0.000283098092816467,0.00147112221996268,0.00141727203707355,0.00456605507182414,0.00426734943486505,0.0348315396729326,0.0221047334045215,0.00058892800637899,0.0172945907799952,0.00266886954617613,0.0923550051485835,0.0182804036712865,0.0536060486558542,0.0487421007711031,0.0627479677314472,0.00596013338588876,0.00289786759092384,0.00109438539970637,0.00238895007718089
"xanthine",0.012566564380351,0.000145435296093324,0.000613182027961134,2.15677503095761e-05,0.0256176298940137,0.000170142020176983,0.000743466001737866,0.0225633395094877,0.0132662341654433,0,0,0,0.0198635244339692,0.0012981567735063,0.00672381510273184,0,0.00796514884194609,0.0091023227333877,0.0119208655885406,0.000496329100076576,0.0151986441426145,0,0,0
