"","id","group","Benzenoids","Lipids and lipid-like molecules","Nucleosides, nucleotides, and analogues","Organic acids and derivatives","Organic oxygen compounds","Organoheterocyclic compounds","Unknown"
"1","Brachy.1d.1","Brachy_1d",5.80855845283228e-05,5.76409602638233e-05,0.000384564797768893,0.430217124183943,0.00079260496810555,0.424722941523368,0.143767037982023
"2","Brachy.1d.2","Brachy_1d",7.95118994405769e-05,8.16181240739058e-05,0.00575440687261157,0.401942992074804,0.000728867273366401,0.434216946059966,0.157195657695737
"3","Brachy.1d.3","Brachy_1d",0.000116404963616244,5.94942850031212e-05,0.0137974019982903,0.154111639833864,0,0.662337824045255,0.169577234873972
"4","Brachy.1d.4","Brachy_1d",0.000105630956572937,7.77541307803325e-05,0.00079202294767288,0.420619366991103,0.00566398431426891,0.404022308592444,0.168718932067157
"5","Brachy.00h.1","Brachy_00h",0.000136463358078035,0.00066317158403938,0.000370514158097639,0.0884152707389982,0.0335391945347157,0.564000678870578,0.312874706755493
"6","Brachy.00h.2","Brachy_00h",0.000121107847704176,0.000604388680812078,0.000191937231596234,0.0852560764477316,0.0234021739767728,0.625730260222836,0.264694055592547
"7","Brachy.00h.3","Brachy_00h",7.7068891617389e-05,0.000321694303972055,0.000146581447744775,0.000394892814513337,0.000340092500232213,0.830804263534483,0.167915406507437
"8","Brachy.00h.4","Brachy_00h",4.99820748578942e-05,0.000322440147179181,9.17078045351913e-05,0.3600386502745,0.00521509595615123,0.512687496453636,0.12159462728914
"9","Brachy.02h.1","Brachy_02h",3.97266541235789e-05,0,0.00222094707921721,0.61630248970413,0.00048687769388143,0.325411886539981,0.0555380723286667
"10","Brachy.02h.2","Brachy_02h",4.43702349525946e-05,0,8.10768622468921e-05,0.527590915099104,0.000540244893485794,0.417601989850934,0.0541414030592762
"11","Brachy.02h.3","Brachy_02h",0.000108839822977605,0,0,0.409344864383481,0.000461992465732378,0.415775390326604,0.174308913001204
"12","Brachy.02h.4","Brachy_02h",0.000176051995571817,0,0.0152035513641529,0.180156845935303,1.95505104565051e-05,0.592685970209954,0.211758029984562
"13","Brachy.04h.1","Brachy_04h",1.32061069056284e-06,0,0,0.542240980148591,0,0.14442094313044,0.313336756110279
"14","Brachy.04h.2","Brachy_04h",1.84775361123207e-05,0,0.000149602746010285,0.538561634691564,0.00510520078173456,0.31887022312235,0.137294861122229
"15","Brachy.04h.3","Brachy_04h",0.000137863847466912,1.46771179647372e-05,0.000427588143664359,0.598584256634058,0.000272737198947718,0.277018108642144,0.123544768415755
"16","Brachy.04h.4","Brachy_04h",6.44460158937013e-05,2.9995672095392e-06,0.000759152562939229,0.304502194807466,0.000675719478317784,0.521592946465306,0.172402541102868
"17","Brachy.4d.1","Brachy_4d",5.32673882478296e-05,0.0019423874342797,0.000302413765939306,0.464503908887972,0.0102636107650874,0.373196559553254,0.149737852205219
"18","Brachy.4d.2","Brachy_4d",9.23849789402617e-05,0,0.00039495314166423,0.487775075132145,0.0141033891033787,0.357511863788592,0.14012233385528
"19","Brachy.4d.3","Brachy_4d",0.000129702019701893,0.00199508571237511,0.0189001230853452,0.211406347392842,0,0.507793363741665,0.259775378048071
"20","Brachy.4d.4","Brachy_4d",0.000106795512538513,0,0.00658157067118627,0.436554862031756,0.0150329678897783,0.376898143611278,0.164825660283463
"21","Brachy.p5h.1","Brachy_p5h",0.000180153450239435,0.000220220096559698,0.000448041606073113,0.00371676597094298,0,0.516563977914602,0.478870840961583
"22","Brachy.p5h.2","Brachy_p5h",0.000230486613462616,0.000138442748376001,0.000389668247021669,0.0164962897433837,0.00114579462394192,0.36258631072399,0.619013007299824
"23","Brachy.p5h.3","Brachy_p5h",0.000318718710365052,0.000130373802428551,0.000172335581276753,0.000754253507923737,0.000351108898116539,0.329295037522513,0.668978171977376
"24","Brachy.p5h.4","Brachy_p5h",0.000125853947540603,0.000348765764207022,0.000181531751373423,0.000959170012731047,0.000400510514400143,0.647742147266657,0.35024202074309
