"","id","group","Carboxylic acids and derivatives","Diazines","Fatty Acyls","Imidazopyrimidines","Organooxygen compounds","Phenols","Pyridines and derivatives","Pyrimidine nucleosides","Unknown"
"1","Brachy.1d.1","Brachy_1d",0.430217124183943,0.000931568184308891,5.76409602638233e-05,0.423734380144489,0.00079260496810555,5.80855845283228e-05,5.69931945697934e-05,0.000384564797768893,0.143767037982023
"2","Brachy.1d.2","Brachy_1d",0.401942992074804,0.00588142061578698,8.16181240739058e-05,0.428245085629943,0.000728867273366401,7.95118994405769e-05,9.04398142365583e-05,0.00575440687261157,0.157195657695737
"3","Brachy.1d.3","Brachy_1d",0.154111639833864,0.000516172587127433,5.94942850031212e-05,0.661741035380557,0,0.000116404963616244,8.06160775709586e-05,0.0137974019982903,0.169577234873972
"4","Brachy.1d.4","Brachy_1d",0.420619366991103,0.000734568106935622,7.77541307803325e-05,0.403210229694814,0.00566398431426891,0.000105630956572937,7.75107906948888e-05,0.00079202294767288,0.168718932067157
"5","Brachy.00h.1","Brachy_00h",0.0884152707389982,0.000621334368993603,0.00066317158403938,0.56320621059146,0.0335391945347157,0.000136463358078035,0.000173133910124303,0.000370514158097639,0.312874706755493
"6","Brachy.00h.2","Brachy_00h",0.0852560764477316,0.000402334978309529,0.000604388680812078,0.622802959216513,0.0234021739767728,0.000121107847704176,0.0025249660280139,0.000191937231596234,0.264694055592547
"7","Brachy.00h.3","Brachy_00h",0.000394892814513337,0.00035824134803758,0.000321694303972055,0.83029246313542,0.000340092500232213,7.7068891617389e-05,0.000153559051025409,0.000146581447744775,0.167915406507437
"8","Brachy.00h.4","Brachy_00h",0.3600386502745,0.000371399866013502,0.000322440147179181,0.511156717412287,0.00521509595615123,4.99820748578942e-05,0.00115937917533561,9.17078045351913e-05,0.12159462728914
"9","Brachy.02h.1","Brachy_02h",0.61630248970413,0.0010909291664514,0,0.324237417597206,0.00048687769388143,3.97266541235789e-05,8.35397763233279e-05,0.00222094707921721,0.0555380723286667
"10","Brachy.02h.2","Brachy_02h",0.527590915099104,0.00101549104282557,0,0.416503709467694,0.000540244893485794,4.43702349525946e-05,8.27893404143714e-05,8.10768622468921e-05,0.0541414030592762
"11","Brachy.02h.3","Brachy_02h",0.409344864383481,0.000884474835862315,0,0.414800797888147,0.000461992465732378,0.000108839822977605,9.01176025951281e-05,0,0.174308913001204
"12","Brachy.02h.4","Brachy_02h",0.180156845935303,0.000554113790412066,0,0.592044014616678,1.95505104565051e-05,0.000176051995571817,8.7841802863713e-05,0.0152035513641529,0.211758029984562
"13","Brachy.04h.1","Brachy_04h",0.542240980148591,0.000175949014799703,0,0.14424499411564,0,1.32061069056284e-06,0,0,0.313336756110279
"14","Brachy.04h.2","Brachy_04h",0.538561634691564,0.000641271447914036,0,0.318169595291242,0.00510520078173456,1.84775361123207e-05,5.93563831938932e-05,0.000149602746010285,0.137294861122229
"15","Brachy.04h.3","Brachy_04h",0.598584256634058,0.00041788724393083,1.46771179647372e-05,0.276550717862315,0.000272737198947718,0.000137863847466912,4.95035358976666e-05,0.000427588143664359,0.123544768415755
"16","Brachy.04h.4","Brachy_04h",0.304502194807466,0.00153027004966772,2.9995672095392e-06,0.519959148825156,0.000675719478317784,6.44460158937013e-05,0.000103527590482249,0.000759152562939229,0.172402541102868
"17","Brachy.4d.1","Brachy_4d",0.464503908887972,0.00734169059968892,0.0019423874342797,0.365715488826526,0.0102636107650874,5.32673882478296e-05,0.000139380127039341,0.000302413765939306,0.149737852205219
"18","Brachy.4d.2","Brachy_4d",0.487775075132145,0.0067980813758849,0,0.348365419272869,0.0141033891033787,9.23849789402617e-05,0.00234836313983804,0.00039495314166423,0.14012233385528
"19","Brachy.4d.3","Brachy_4d",0.211406347392842,0.00522227165482755,0.00199508571237511,0.502359479814658,0,0.000129702019701893,0.000211612272179316,0.0189001230853452,0.259775378048071
"20","Brachy.4d.4","Brachy_4d",0.436554862031756,0.00682212380064711,0,0.367832545104358,0.0150329678897783,0.000106795512538513,0.00224347470627324,0.00658157067118627,0.164825660283463
"21","Brachy.p5h.1","Brachy_p5h",0.00371676597094298,0.000218995948539873,0.000220220096559698,0.516199305576216,0,0.000180153450239435,0.000145676389845769,0.000448041606073113,0.478870840961583
"22","Brachy.p5h.2","Brachy_p5h",0.0164962897433837,0.000311656809639458,0.000138442748376001,0.362123188209007,0.00114579462394192,0.000230486613462616,0.000151465705343668,0.000389668247021669,0.619013007299824
"23","Brachy.p5h.3","Brachy_p5h",0.000754253507923737,0.000162093825655429,0.000130373802428551,0.329042100299986,0.000351108898116539,0.000318718710365052,9.0843396871423e-05,0.000172335581276753,0.668978171977376
"24","Brachy.p5h.4","Brachy_p5h",0.000959170012731047,0.00453352691904728,0.000348765764207022,0.643032935374323,0.000400510514400143,0.000125853947540603,0.000175684973286939,0.000181531751373423,0.35024202074309
