"","Row.names","Medicago-1d.1","Medicago-1d.2","Medicago-1d.3","Medicago-1d.4","Medicago-00h.1","Medicago-00h.2","Medicago-00h.3","Medicago-00h.4","Medicago-02h.1","Medicago-02h.2","Medicago-02h.3","Medicago-02h.4","Medicago-04h.1","Medicago-04h.2","Medicago-04h.3","Medicago-04h.4","Medicago-4d.1","Medicago-4d.2","Medicago-4d.3","Medicago-4d.4","Medicago-p5h.1","Medicago-p5h.2","Medicago-p5h.3","Medicago-p5h.4","Medicago_00h_Medicago_02h_log2_FC","Medicago_00h_Medicago_02h_Pvalue","Medicago_00h_Medicago_02h_fdr","Medicago_00h_Medicago_04h_log2_FC","Medicago_00h_Medicago_04h_Pvalue","Medicago_00h_Medicago_04h_fdr","Medicago_00h_Medicago_1d_log2_FC","Medicago_00h_Medicago_1d_Pvalue","Medicago_00h_Medicago_1d_fdr","Medicago_00h_Medicago_4d_log2_FC","Medicago_00h_Medicago_4d_Pvalue","Medicago_00h_Medicago_4d_fdr","Medicago_00h_Medicago_p5h_log2_FC","Medicago_00h_Medicago_p5h_Pvalue","Medicago_00h_Medicago_p5h_fdr","Medicago_02h_Medicago_04h_log2_FC","Medicago_02h_Medicago_04h_Pvalue","Medicago_02h_Medicago_04h_fdr","Medicago_02h_Medicago_1d_log2_FC","Medicago_02h_Medicago_1d_Pvalue","Medicago_02h_Medicago_1d_fdr","Medicago_02h_Medicago_4d_log2_FC","Medicago_02h_Medicago_4d_Pvalue","Medicago_02h_Medicago_4d_fdr","Medicago_02h_Medicago_p5h_log2_FC","Medicago_02h_Medicago_p5h_Pvalue","Medicago_02h_Medicago_p5h_fdr","Medicago_04h_Medicago_1d_log2_FC","Medicago_04h_Medicago_1d_Pvalue","Medicago_04h_Medicago_1d_fdr","Medicago_04h_Medicago_4d_log2_FC","Medicago_04h_Medicago_4d_Pvalue","Medicago_04h_Medicago_4d_fdr","Medicago_04h_Medicago_p5h_log2_FC","Medicago_04h_Medicago_p5h_Pvalue","Medicago_04h_Medicago_p5h_fdr","Medicago_1d_Medicago_4d_log2_FC","Medicago_1d_Medicago_4d_Pvalue","Medicago_1d_Medicago_4d_fdr","Medicago_1d_Medicago_p5h_log2_FC","Medicago_1d_Medicago_p5h_Pvalue","Medicago_1d_Medicago_p5h_fdr","Medicago_4d_Medicago_p5h_log2_FC","Medicago_4d_Medicago_p5h_Pvalue","Medicago_4d_Medicago_p5h_fdr","Medicago_00h","Medicago_02h","Medicago_04h","Medicago_1d","Medicago_4d","Medicago_p5h","id2","HMDBID","KEGGID","Descrip","Kingdom","Super_class","Class","Sub_class","CAS","DTXSID","DTXCID","SID","CID","KEGG","ChEBI","Drugbank","Name","id"
"1","2-deoxyadenosine",0,0.000322274960672679,0,0,0,0.00814349106502086,0,0,0,0.00215558497110387,0,0,0,4.99068231713482e-05,0,0,0,0,0,0,0,1.01283977093706,0.0217571896851891,0,"0.980215364611823","1","1","1.58422261244791","1","1","-1.49032047664209","1","1","1.60211132852048","0.453254704753736","0.453254704753736","-6.41830886474501","0.408351969325938","0.408351969325938","0.604007247836083","1","1","-0.510105112030269","1","1","0.621895963908658","0.453254704753736","0.453254704753736",-7.39852422935683,0.408351969325938,0.408351969325938,"0.0939021358058142","1","1","0.0178887160725745","0.453254704753736","0.453254704753736",-8.00253147719292,0.408351969325938,0.408351969325938,"0.111790851878389","0.453254704753736","0.453254704753736",-7.9086293413871,0.408351969325938,0.408351969325938,"-8.02042019326549","0.185876732365876","0.185876732365876",0.00203587276625522,0.000538896242775968,1.2476705792837e-05,8.05687401681697e-05,0,0.258649240155561,"2-deoxyadenosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-deoxyadenosine"
"2","2-deoxyguanosine",0.000180063505402792,9.896332503288e-05,3.78124581917946e-05,0,0.0180677061347097,0.00237186476060058,0.0565138335790685,0.0665619203871884,0,0.00047786921278977,0.00228703345844135,0.0012251830148504,0.000214556602081444,0.000259150720049553,0,0,0.000300713156980474,0.00147761503424493,0.000733223349864382,0.000637964773083655,0.000349921798383474,0.00786378809187436,0.0734373118319739,0.0307340522047579,"4.20651005390801","0.0303828219765775","0.0303828219765775","5.04325015286306","0.0294010481903397","0.0294010481903397","-5.09474564489376","0.0303828219765775","0.0303828219765775","4.36687538605286","0.0303828219765775","0.0303828219765775","0.341958790556899","0.885233914473202","0.885233914473202","0.836740098955054","0.183150203156622","0.183150203156622","-0.888235590985758","0.245383458473363","0.245383458473363","0.160365332144854","1","1",-3.86455126335111,0.193930852282411,0.193930852282411,"-0.0514954920307042","0.882420114075504","0.882420114075504","-0.6763747668102","0.0294010481903397","0.0294010481903397",-4.70129136230616,0.0294010481903397,0.0294010481903397,"-0.727870258840905","0.0303828219765775","0.0303828219765775",-4.75278685433686,0.0303828219765775,0.0303828219765775,"-4.02491659549596","0.193930852282411","0.193930852282411",0.0358788312153918,0.000997521421520379,0.000118426830532749,7.92098221568666e-05,0.000787379078543361,0.0280962684817474,"2-deoxyguanosine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-deoxyguanosine"
"3","2-hydroxypyridine",0,0.0914406829010923,0,0,0,0,0,0.171657807378809,0,0,0,0,0.284570786560753,0,0.0121474552745831,0.69035349701903,0,0,0,0,0,0,0.128033375603209,0,"5.45662389053866","0.453254704753736","0.453254704753736","-2.49622179009234","0.21860373720806","0.21860373720806","-0.880091429750445","1","1","5.45662389053866","0.453254704753736","0.453254704753736","0.411865038370326","1","1","-7.952845680631","0.0689184442895021","0.0689184442895021","4.57653246078822","0.453254704753736","0.453254704753736","NA","NA","0",-5.04475885216833,0.453254704753736,0.453254704753736,"-3.37631321984278","0.21860373720806","0.21860373720806","7.952845680631","0.0689184442895021","0.0689184442895021",2.90808682846267,0.21860373720806,0.21860373720806,"4.57653246078822","0.453254704753736","0.453254704753736",-0.468226391380118,1,1,"-5.04475885216833","0.453254704753736","0.453254704753736",0.0429144518447023,0,0.246767934713592,0.0228601707252731,0,0.0320083439008023,"2-hydroxypyridine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-hydroxypyridine"
"4","3-methoxytyramine",0.000242493214226181,0.000154394217713425,0,0,0.000260957269934174,1.06044699474766e-05,0.000771141952006198,0.000662421362144556,0.000282076021372273,4.64238122689617e-05,0.000671311680582597,2.11907926562062e-05,6.64474177176549e-05,0.000126808022561478,0,0,0.00455948059568826,0.000730606332102691,2.52932041039974e-05,6.82410733862423e-06,0.000119117451708437,1.36153175944129e-05,0.000657951593835296,0.000257827502047708,"0.184283122305435","0.885233914473202","0.885233914473202","0.444187792727281","0.110210182673421","0.110210182673421","-0.375775912662023","0.110210182673421","0.110210182673421","-0.708412610931419","1","1","0.176400318546338","0.47048642205879","0.47048642205879","0.259904670421846","0.309424060364659","0.309424060364659","-0.191492790356588","0.309424060364659","0.309424060364659","-0.892695733236854","0.885233914473202","0.885233914473202",-0.00788280375909707,0.885233914473202,0.885233914473202,"0.0684118800652581","0.644552170515899","0.644552170515899","-1.1526004036587","0.309424060364659","0.309424060364659",-0.267787474180943,0.191266986878869,0.191266986878869,"-1.08418852359344","0.309424060364659","0.309424060364659",-0.199375594115685,0.309424060364659,0.309424060364659,"0.884812929477757","0.885233914473202","0.885233914473202",0.000426281263508101,0.000255250576720009,4.83138600697831e-05,9.92218579849013e-05,0.00133055105980839,0.000262127966296463,"3-methoxytyramine","HMDB0000022","C05587","belongs to the class of organic compounds known as methoxyphenols. Methoxyphenols are compounds containing a methoxy group attached to the benzene ring of a phenol moiety.","Organic compounds","Benzenoids","Phenols","Methoxyphenols","554-52-9",NA,NA,"223438743",NA,"C05587","  1582",NA,"3-Methoxytyramine","3-methoxytyramine"
"5","3-methyladenine",0.0941756684801053,1.01524560452883,0.050114280840358,0.0622880807000631,0.181698473454457,2.15191109198512,0.107541071017465,0.0661025397755639,2.81290471749985,1.07391509566509,0.298114606986745,0.170914632345544,1.00497369498377,0.704318107447112,0.178632535984998,0.118957888965477,0.523511241399398,0.554663491184299,1.09096894893978,0.0413945686240561,0.211846842863278,2.67753128082795,0.116736529821415,0.105359391239747,"-0.79587070293132","0.312321421676216","0.312321421676216","0.320578894800894","0.665005542102029","0.665005542102029","-1.03465605755853","0.312321421676216","0.312321421676216","0.181401567594178","0.885233914473202","0.885233914473202","-0.311044214073174","0.665005542102029","0.665005542102029","1.11644959773221","0.47048642205879","0.47048642205879","-1.83052676048985","0.112351197690464","0.112351197690464","0.977272270525498","0.885233914473202","0.885233914473202",0.484826488858147,0.312321421676216,0.312321421676216,"-0.714077162757639","0.312321421676216","0.312321421676216","-0.139177327206716","1","1",-0.631623108874067,0.665005542102029,0.665005542102029,"-0.853254489964355","0.665005542102029","0.665005542102029",-1.34570027163171,0.193930852282411,0.193930852282411,"-0.492445781667351","0.885233914473202","0.885233914473202",0.626813294058151,1.08896226312431,0.50172055684534,0.305455908637338,0.552634562536884,0.777868511188099,"3-methyladenine","HMDB0011600",NA,NA,NA,NA,NA,NA,"5142-23-4","DTXSID80199406","DTXCID70121897","315759746"," 1673","C00913"," 38635","DB04104","3-Methyladenine","3-methyladenine"
"6","4-aminobutanoic acid",2.94557112238135,6.39774702211687,2.10370086405158,1.68384927897562,2.99763587276393,2.1023838660077,0.0202110302661889,4.70187548406575,1.34133793783592,3.13925939003687,0,0,2.76386055449663,3.99955644517161,0.318045781513961,3.52917567910894,1.02751264320958,3.71801898121783,1.30593963871608,2.73863426318928,2.78443218901106,1.73538401851428,0.486763604496275,0.142773580079427,"1.13164138820708","0.309424060364659","0.309424060364659","-0.111363488541709","0.885233914473202","0.885233914473202","0.418709988986832","0.885233914473202","0.885233914473202","0.160082995022733","0.885233914473202","0.885233914473202","0.931108310590927","0.47048642205879","0.47048642205879","-1.24300487674879","0.191266986878869","0.191266986878869","1.55035137719391","0.191266986878869","0.191266986878869","-0.971558393184345","0.46782507728497","0.46782507728497",-0.200533077616151,0.663117245320382,0.663117245320382,"0.307346500445123","1","1","0.271446483564442","0.665005542102029","0.665005542102029",1.04247179913264,0.312321421676216,0.312321421676216,"0.578792984009565","0.47048642205879","0.47048642205879",1.34981829957776,0.193930852282411,0.193930852282411,"0.771025315568194","0.47048642205879","0.47048642205879",2.45552656327589,1.1201493319682,2.65265961507279,3.28271707188136,2.19752638158319,1.28733834802526,"4-aminobutanoic acid","HMDB0000112","C00334","belongs to the class of organic compounds known as gamma amino acids and derivatives. These are amino acids having a (-NH2) group attached to the gamma carbon atom.","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","56-12-2","DTXSID6035106","DTXCID4015106","315677424","  119","C00334"," 16865","DB02530","4-Aminobutanoic acid","4-aminobutanoic acid"
"7","4-guanidinobutanoic acid",11.4175435360308,2.45645181566558,1.13006780570193,0.0495618889413382,17.6640724564162,0.0595801135724637,0.0995536096237031,0.138785335152653,14.3574721108913,1.36890330361808,0.0782699991294476,7.39943165235367,16.4067998298121,1.84091749382161,0.183267718202069,0.0681368176066032,12.8212288441493,3.97922993917612,3.38679277456684,5.04577728241321,13.7477434694639,0.566643665891884,0.199078141887902,0.816369936786354,"-0.369358433744019","0.665005542102029","0.665005542102029","-0.0425001461740652","0.665005542102029","0.665005542102029","-0.254774317743812","0.885233914473202","0.885233914473202","-0.490273513982026","0.312321421676216","0.312321421676216","0.22854997657173","0.312321421676216","0.312321421676216","0.326858287569954","0.885233914473202","0.885233914473202","-0.624132751487831","0.665005542102029","0.665005542102029","-0.120915080238007","0.885233914473202","0.885233914473202",0.597908410315749,0.665005542102029,0.665005542102029,"-0.297274463917877","1","1","-0.447773367807961","0.312321421676216","0.312321421676216",0.271050122745796,0.885233914473202,0.885233914473202,"-0.745047831725838","0.193930852282411","0.193930852282411",-0.0262243411720818,0.885233914473202,0.885233914473202,"0.718823490553756","0.312321421676216","0.312321421676216",4.49049787869126,5.80101926649813,4.6247804648606,3.76340626158491,6.30825721007636,3.83245880350752,"4-guanidinobutanoic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4-guanidinobutanoic acid"
"8","4-hydroxybenzoic acid",0.0101471388736148,0.0979018313872723,1.06178214996269,0,0.0472472617604746,0.011527769852623,0.00225960588633828,0.0369592171424092,0,0,0,0,0.453106308668206,0.00403301428754656,0,0.00356151922356828,0.515209832968723,0.449953196245277,0.163098992592851,0,0.0675124781276963,0.000898094863304123,0,0.00872006508697861,"4.67233841898303","0.0210705701343787","0.0210705701343787","-2.18782003024509","0.665005542102029","0.665005542102029","3.52467072766912","0.885233914473202","0.885233914473202","-3.4726537229819","0.312321421676216","0.312321421676216","0.330163489110218","0.47048642205879","0.47048642205879","-6.86015844922812","0.0689184442895021","0.0689184442895021","8.19700914665215","0.0689184442895021","0.0689184442895021","-8.14499214196493","0.0689184442895021","0.0689184442895021",-4.34217492987281,0.0689184442895021,0.0689184442895021,"1.33685069742404","0.561363210234124","0.561363210234124","-1.28483369273681","0.561363210234124","0.561363210234124",2.51798351935531,1,1,"0.0520170046872225","0.771503409140308","0.771503409140308",3.85483421677934,0.38363032713199,0.38363032713199,"3.80281721209212","0.245383458473363","0.245383458473363",0.0244984636604613,0,0.11517521054483,0.292457780055894,0.282065505451713,0.0192826595194948,"4-hydroxybenzoic acid","HMDB0000500",NA,NA,NA,NA,NA,NA,"99-96-7","DTXSID3026647","DTXCID806647","315675580","  135","C00156"," 30763","DB04242","4-Hydroxybenzoic acid","4-hydroxybenzoic acid"
"9","4-imidazoleacetic acid",0.0111672340532275,0.00644594337104361,0.00973117176725808,0.00179966766140828,0.00427620842122806,0.000204477519787117,0.00372326734257996,0.00675277888056512,0.022594501013049,0.00518226603949243,0.000784569605683965,0.00400053929809543,0.0223134532153681,0.010667507854431,0.0286238052796652,0.0042582332266594,0.40850365832997,0.0241445792970677,0.0104660687121543,0.115643587945153,0.00815197072035584,0.000152224780896286,0.231086095266538,0.00314599491295245,"-0.947629807414437","0.665005542102029","0.665005542102029","-1.88181829810429","0.112351197690464","0.112351197690464","0.80603817076581","0.312321421676216","0.312321421676216","-4.89173219638103","0.0303828219765775","0.0303828219765775","-3.70101780748608","0.885233914473202","0.885233914473202","-0.934188490689849","0.312321421676216","0.312321421676216","-0.141591636648627","0.665005542102029","0.665005542102029","-3.94410238896659","0.0606019697120061","0.0606019697120061",-2.75338800007164,1,1,"-1.07578012733848","0.312321421676216","0.312321421676216","-3.00991389827674","0.312321421676216","0.312321421676216",-1.8191995093818,0.47048642205879,0.47048642205879,"-4.08569402561522","0.0606019697120061","0.0606019697120061",-2.89497963672027,0.885233914473202,0.885233914473202,"1.19071438889495","0.193930852282411","0.193930852282411",0.00373918304104006,0.00814046898908019,0.0164657498940309,0.00728600421323437,0.139689473571086,0.0606340714201855,"4-imidazoleacetic acid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4-imidazoleacetic acid"
"10","4-pyridoxic acid",0.00443891028589331,0.00106889604739921,0.00672968778672882,0.00696636457176109,0.00776150082789363,0.00072769135580888,0.0140937853758,0.0144015913060637,0.00272948859290579,0.000495636462285286,0.0109381364387513,0.00600780191332823,0.00317403373871141,0.00149495545903502,0.00847286169107189,0.00743402413837996,0.00457252919100976,0.00968749253931855,0.0125299699539615,0.0104761636057589,0.0060884680963936,0.000564738884715083,0.0160325138110859,0.0126983406808188,"0.76179987569465","0.312321421676216","0.312321421676216","0.737838036819219","0.47048642205879","0.47048642205879","-0.82071608298801","0.312321421676216","0.312321421676216","-0.00987820908523849","0.885233914473202","0.885233914473202","0.0574689251100462","0.885233914473202","0.885233914473202","-0.0239618388754306","0.885233914473202","0.885233914473202","-0.0589162072933604","0.885233914473202","0.885233914473202","-0.771678084779888","0.312321421676216","0.312321421676216",-0.704330950584603,0.312321421676216,0.312321421676216,"-0.082878046168791","0.665005542102029","0.665005542102029","-0.747716245904458","0.112351197690464","0.112351197690464",-0.680369111709173,0.665005542102029,0.665005542102029,"-0.830594292073248","0.112351197690464","0.112351197690464",-0.763247157877964,0.665005542102029,0.665005542102029,"0.0673471341952846","0.885233914473202","0.885233914473202",0.00924614221639156,0.00504276585181765,0.00514396875679957,0.00480096467294561,0.00931653882251217,0.00884601536825334,"4-pyridoxic acid","HMDB0000017","C00847","belongs to the class of organic compounds known as pyridinecarboxylic acids. Pyridinecarboxylic acids are compounds containing a pyridine ring bearing a carboxylic acid group.","Organic compounds","Organoheterocyclic compounds","Pyridines and derivatives","Pyridinecarboxylic acids and derivatives","82-82-6",NA,NA,"  8144151",NA,"C00847"," 17405",NA,"4-Pyridoxic acid","4-pyridoxic acid"
