"","MSSuc-ster-Brachy-1-419","MSSuc-ster-Brachy-2-420","MSSuc-ster-Brachy-3-421","MSSuc-ster-Brachy-4-422","MSSuc-ster-Brachy-5-423","MS-ster-Brachy-1-412","MS-ster-Brachy-2-413","MS-ster-Brachy-3-414","MS-ster-Brachy-4-415","MS-ster-Brachy-5-416","MS-nonster-Brachy-1-426","MS-nonster-Brachy-2-427","MS-nonster-Brachy-3-428","MS-nonster-Brachy-4-429","MS-nonster-Brachy-5-430"
"C6 sugar alcohol peak 2 (ex. mannitol, galactitol)",0.0408095807191465,0.0217849798163668,0.0813593544446966,0.0253589961455075,0,0,0,0,0,0,0.00015041500347562,0.000142670393259375,4.51554041360117e-05,0.000110703059899919,9.64968628588901e-05
"caffeic acid and/or isomers",5.61765477311687e-05,0.000109760943451872,3.68865556196635e-05,0.000260600953350884,0.00743852999204849,0,0,0,0,0,0.000575176747922575,0,2.79951031298161e-06,6.45367039978479e-05,0.000553833836479539
"carnitine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"choline o-sulfuric acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"citrulline",0.00088353911799244,0.000394854007338857,0.000579905331741187,0.00033113673853003,0.00126158118805616,0,0,0,0,0,0.000457496040362315,0.000350848212846525,0.000158307641333263,0.000489144748769091,0.000362914131586816
"creatine",0,0,0,0,0,0,0,0,0,0,3.78852929962089e-06,0,7.39756814286861e-06,0,0
"creatinine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cytidine",0.000100322445955782,0.000329311695226219,4.88548652845017e-05,0.000231248194122287,0.000539798493853091,0.00202930611022758,0.00241143734522831,0.00484291370348813,0.00319299123039534,0.00168607585305851,0.019074688551236,0.0101110452102961,0.00901496476477449,0.0163815489098012,0.00693813749877358
"cytosine",1.12934124373047e-05,0,0,0,0.00378735283396279,0,0,0,0,0,0.00169897835503945,0.00103633661728075,0.00108640237822362,0.00124639403708708,0.00064659441245053
"deoxycarnitine",9.63879716072478e-05,6.31536821724051e-05,9.30063459656717e-05,2.54632019054383e-05,0.000856600232336855,8.54036285670925e-05,0.000327464147969759,0.000236499078136151,0.000829278227428189,3.39181857786099e-05,6.59171621262035e-05,0.000433307539260287,0.000381052838169017,0.000339706230037484,0.00017072309861485
"deoxycytidine",0,6.84732314638756e-06,0,0,9.06878956638679e-05,0.000630839484969065,0.00100620484673747,0.000882877554960876,0.000808499519775047,0.000731296649776895,0.000983789019506942,0.000227600196621368,0.000226906152427901,0.000971537895248935,0.000735226031508246
"deoxyuridine",4.06889992038178e-05,9.27481197172307e-05,2.65866870340277e-05,4.03172197982976e-05,2.69592164795908e-05,0.000371481776516011,0.000616448757048124,0.000655460842997422,0.000726882793520404,0.000837107752210708,6.44409374518973e-05,0.000402052105291843,4.26339563866538e-05,0.000146651179900227,0.000172920371409646
"dethiobiotin",0,0,0,7.45329328172216e-06,0.0125483210852487,0,0,0,0,0,3.90819168195307e-06,0,7.2095068542777e-06,1.46659911959685e-05,5.47934443704409e-06
"dihexose (ex. sucrose, palatinose, maltose, cellobiose, trehalose, melibiose)",0.000202622766139025,0.000136508577986892,0.00100480856348018,0.000153623714029964,0,0,0,0,0,0,5.25942178198273e-06,0,2.1052856538847e-06,5.87981935617997e-06,8.99533949413127e-06
"ferulic acid",9.76053737451381e-05,0.000102847385515856,4.86936228695485e-05,0.000116525107304662,3.07376223422888e-05,0.00039696542997324,0.0005049055722136,0.000235922675071854,0.000519164281300653,0.000525598493942408,0.000155157127786551,0.00059663083856477,6.54888967634454e-05,0.000344104196021018,0.000589221775885154
"fumaric acid and/or isomers",0,0,0,0,0.0021585058389596,0,0,0,0.000341570016072753,0,0.00403435772680412,0.00204758751268511,0.00123650323951073,0.00459857086670575,0.00219696736622778
"glutamic acid",0.000340842203374203,0.000381470646294092,0.000273228687590339,0.000565007681890316,9.05519271838317e-05,0,0,0,0,0,4.42823378523972e-06,1.21890149319427e-07,4.96382895673106e-07,4.67495571415615e-07,0
"glutamic acid2",0.00215721816427727,0.00260764441848972,0.00127862939007828,0.00351754316012226,0.000385357423607794,0,0,0,0,0,0.00582321611392984,0.00343113692137889,0.00149367839161634,0.00040300744976166,0.00531149640314811
"glutamine",0.0807223422572046,0.0630843696340813,0.077022356497814,0.0540417107228722,0.000464469016789322,0.00452159967427591,0.00676116054839499,0.00176047592693886,0.00549842324082029,0.00535122936173981,0.0461114317858574,0.0362172548883874,0.018537055431276,0.137259225249456,0.0601906532808959
"glyceraldehyde or lactic acid",1.30021854260729e-05,7.45450510084791e-06,5.00090997460925e-06,1.84013486058698e-06,5.97917826790007e-06,0,0,0,0,0,5.25709963642218e-05,7.7408639064938e-05,6.29187338895187e-05,4.06380020548765e-05,3.36027101738515e-05
"glyceric acid and/or isomers",0.000533697192912567,0.000632942373411434,0.000304778601074566,0.000955989136599885,0.000152437722639345,0.000145466602558916,0.000184354237496063,0.000176769409010007,0.000133223942702739,0.000216707971568769,4.66966233201953e-05,8.02128843118703e-05,4.35549234926285e-05,9.27563592414165e-05,7.84209883707527e-05
"guanine",0.00660062608822215,0.0154652619536275,0.00440394934997798,0.0152970383231508,0.0077439071741716,0.0477904478808683,0.0546362751674275,0.037907671434629,0.0450324851519129,0.0908394320884842,0.0786943846120852,0.0479692393627862,0.0325268759431563,0.0598370828450697,0.0486516159427124
"guanosine",2.30353282285715e-05,4.89905531963378e-06,1.22895372245591e-05,6.53777064027349e-06,0,4.36850808030684e-06,0,3.32071511775399e-05,0,0,2.60956176775165e-05,7.5790643706137e-05,3.94851637631203e-05,3.68866544162139e-05,4.93552949498876e-05
"hexosamine",0.0290244109955067,0.0237190178913334,0.0279063608408041,0.0284525285424962,0,0,0,0,0,0,0.000768115029361782,0.00204428197291328,0.00658793073576281,5.44671015625195e-05,0
"hexose phosphate",0.000903007387983463,0.00251191093132254,0.000755498752429228,0.00338490871091855,0,0.000548065188962836,0.000626095878860079,0.000658781865529869,4.67845171163048e-05,9.86750816439333e-05,0.000985614334424681,0,0,0,0.00144533697051393
"histamine",0.00283871872561907,0.00210845524294697,0.00188297745084021,0.0017305923987081,0.00501658031362737,0.0482339043418843,0.0597697378645057,0.0480325513482072,0.0542631411963349,0.0482957047588888,0.0334882208503147,0.0384338166757284,0.0148229114872823,0.0301912293438806,0.0558639601994298
"histidine",0.000966711814644834,0.000711921349059004,0.00055311847290944,0.00103116662956832,0.000419247483865477,3.81166655863613e-05,7.66398872986294e-05,1.7353712808138e-05,8.29191263749544e-05,8.5531607203646e-05,0.000321891054616671,0.000120332044650442,0.000127075549895625,0.000431350957223433,0.000297814059530294
"histidinol",0.00122194503970588,0.00118371653371261,0.00049238046316885,0.00108594477307505,0.00216138863692336,0.003259655992555,0.00638943982977606,0.00341723134787048,0.00514965171555164,0.00412146411706835,0.00604053092013781,0.00560926482665725,0.00194985221825191,0.0051825482237339,0.00473321036039723
"hydroxybutyric acid",0,0,1.00414280857036e-05,6.16885711291461e-06,1.09239014381695e-05,7.12523355465264e-05,8.12559691889729e-05,6.23360707975217e-05,7.01484550460152e-05,7.43777495570451e-05,6.84013560741272e-05,6.28836378075862e-05,1.99080666726219e-05,5.03749102190008e-05,0.000102330023229342
"hydroxycinnamic acid",0,0,0,0,0,0,0,0,0,0,2.70014813841345e-05,5.92745760149476e-06,3.406353490585e-06,6.25524466192919e-06,4.14653343214507e-06
"hypoxanthine",0,0.000893314245624516,0.000634806669959869,0.0028770804178204,0.0439693167549616,0,0,0,0,0,0.0056214989328741,0,0.00056276577553121,0.000482623870493041,0.002353659070115
"indole-3-pyruvic acid",2.69154297611797e-06,8.13335976756216e-06,4.80607970986962e-06,5.31673303961053e-06,3.22432974340057e-05,0,0,0,0,0,2.1387667045326e-05,2.91338841462906e-05,3.67053452518235e-06,2.46010696372125e-05,2.24416654307294e-05
"inosine",0,1.69880944417319e-05,3.20057386763756e-06,2.64453154559866e-05,0.00134822257431191,0.000256832486407452,0.000179340485015435,0.000314975129906147,0.000352018411672733,0.000262661734491275,0.000317799329637839,0.000138069430437625,6.11215287587243e-05,0.000142873335607401,0.000188350689880369
"Isomer of dopamine",0.00778324219195833,0.00808792557259825,0.00310805271931758,0.0108287686599886,3.16873640834395e-05,0,0,0,0,0,0.00349686915324604,0.0177747794808693,0.0027316122078673,0.00370094352222656,0.00807292663068468
"isonicotinic acid or isomer",0.000110710897266396,5.93564915704183e-05,0.000134843627199504,6.78047177877814e-05,6.01582493403839e-05,0.000500466773928054,0.000867684610734324,0.000172656311516223,7.54613573399451e-06,0,0.000301982378235233,0,9.16881183125763e-05,0.000647626761631613,0.000661959833965293
"kynurenine",0,0,0,0,2.19478057916039e-05,0,0,0,0,0,0.000101078581993141,2.20118805516777e-05,7.78403477528722e-05,2.18710841666556e-05,2.20705349103023e-05
"leucine/norleucine/isoleucine",0.000158623662122535,0.000238692161752347,5.11793150366846e-05,0.000159356036679291,0.000177811458694591,0.000175316223112739,0.000166617871785723,8.75354920859212e-05,0.000147677557654409,0.000180593341893271,0.000924104754899329,0.00106382025663741,0.000290943011432644,0.00111776220772533,0.00131848772707688
"lumichrome",1.57134310251172e-05,3.61033645932491e-05,3.32299117752412e-05,7.6863329432742e-05,0.000511177791519871,3.50283764970096e-05,0.000243698317731154,0.000258366441418425,0,0,6.86047444113346e-05,3.84283491440056e-05,2.49185137747776e-05,7.67950114822239e-05,5.60986060800097e-05
"lysine",0.000506278778674625,0.000845826030131272,0.000295749917855668,0.000785912437439416,0.00022947789674236,0,0,0,0,0.00170701757468137,0.000105379141558937,0,0,0.000132201950239918,0.00013281544983504
"malic acid and/or isomers",4.60769072835004e-05,4.66837610766158e-05,3.3938007959225e-05,4.52987585838289e-05,0.000646396130771321,0,0,0,0,0,0.000587525022011859,0.000244898292562499,0.000169786876132036,0.000391378194339242,0.000313704291085417
"methionine",4.41234756022236e-05,0.000145915068483595,4.6671285496823e-06,8.73146703440006e-05,0.000171348426420555,0,0,0,0,0,0.000402772214884178,0.000201726595369743,0.000163607410249028,0.000384755075280664,0.000268644948241516
"methyl beta-galactoside",0.00211496264833153,0.0045604206306798,0.00184238585681344,0.00433604067616161,0.000962389092766119,0.00760571497205219,0.00820286996894361,0.00836388209163615,0.0146072344253001,0.0207605596852696,0.0083793417518907,0.00865587820478163,0.00204718127115154,0.0039405288577027,0.00770571670645656
"methyl indole-3-acetic acid",0.000227205883986664,0.000962685679590136,0.000236753750585134,0.000361736696980485,5.66841545709962e-05,0.00455377190738583,0.00882476831724718,0.00593024341435489,0.00505884447693553,0.00488355953138978,0.00113226755201028,0.00062873935369395,0.000379623552612277,0.001121423367843,0.000948397598783699
"methylglutaric acid",0.00170018813999858,0.000795958961667225,0.00158862366144741,0.000845507100274563,0,0,0,0,0,0,0,0,0,0,0
"N-acetyl-alanine and/or isomers",0.00227633848812376,0.00224725815907415,0.00244916179302375,0.00296553604577058,0.000137477671581659,0,0,0,0,0,0.00125342096088193,0.00455799420598742,0.000709820765562958,0.00186362944016194,0.00154790399597353
"N-acetyl-aspartic acid",0.00100710592408876,0.00125333450058622,0.000618378769315867,0.00135569414071156,1.58048258637491e-05,0.000397986987283253,0.000708724993324727,0.00042191300587598,0.000343786727931373,8.12661254544906e-05,0.000134167490477923,0.000194086906015084,0,5.0829391836858e-05,0.000266885028969786
"N-acetyl-glutamic acid and/or isomers",0.000219162817798544,0.000761320348881512,5.02828147196214e-05,0.00052009828513813,2.62893986589149e-05,0.00011044723184452,8.83352095154103e-05,5.79660254597369e-05,0.000110563517697841,0.00012332862334978,4.38756933327555e-05,6.79405001044178e-05,2.84593699797174e-05,0.000110920891694946,8.14749320379731e-05
