"","MSSuc-ster-Brachy-1-419","MSSuc-ster-Brachy-2-420","MSSuc-ster-Brachy-3-421","MSSuc-ster-Brachy-4-422","MSSuc-ster-Brachy-5-423","MS-ster-Brachy-1-412","MS-ster-Brachy-2-413","MS-ster-Brachy-3-414","MS-ster-Brachy-4-415","MS-ster-Brachy-5-416","MS-nonster-Brachy-1-426","MS-nonster-Brachy-2-427","MS-nonster-Brachy-3-428","MS-nonster-Brachy-4-429","MS-nonster-Brachy-5-430"
"N-alpha-acetyl-asparagine",1105363.44238,3874260.69238,543308.19238,2461995.19238,784.159179999999,4478807.7334,29270713.7334,3348181.2334,3098598.2334,100087273.7334,2543537.267575,3764190.517575,2710861.017575,13073279.517575,5827219.517575
"N-alpha-acetyl-lysine",38707.0502966667,8495.37646666667,36570.0385766667,22810.8549766667,238609.343236667,0,0,0,0,0,44968.6005833333,18127.1962833333,24707.2080033333,43973.0146433333,20061.7548833333
"N-methyl-glutamic acid",70775353.375,37862421.375,70597081.375,40983361.375,1251158.375,0,0,0,0,0,2317899.701175,14557.576175,33262.263675,3331.169925,939.986335000001
"N-trimethyllysine",4492592.033205,2408919.283205,2060200.283205,855432.720705,31612552.033205,173591.535155,16357.972655,0,150147.660155,351953.847655,14911453,979583.25,3277999.75,6544114,4820608
"nicotinamide",766417.67185,874969.67185,575817.23435,711550.35935,994057.67185,566968.7031,864324.2031,1078409.0781,301035.3911,212713.8906,1734246.0547,813841.4297,1045806.6797,1382837.0547,1051136.1797
"nicotinic acid",410140.660155,317566.910155,574582.285155,81596.535155,0,0,0,0,0,0,560576.828125,684063.015625,966920.703625,539805.328125,258244.796925
"o-acetyl-serine and/or isomers",49288.26465,1164218.62793,43494.32715,611152.81543,0,13922.677244,40092.134274,17110.085444,16876.474124,15426.032714,1546392.25,70525.50781,302880.75,501918.4375,197067.4844
"omega-hydroxydodecanoic acid",0,0,0,0,983686.77345,0,0,0,0,0,0,0,0,0,0
"ornithine",3355491.94271667,3609259.94271667,1262621.81771667,2608010.44271667,0,0,0,0,0,0,3198671.44271667,460154.817716667,1216080.94271667,3672450.69271667,1087976.94271667
"orotic acid",0,42914.33595,0,0,0,0,0,0,0,0,0,0,0,0,0
"pantothenic acid",893785.923825,2086141.423825,1074118.923825,1451425.548825,1894303.048825,1175979.8281,1305914.8281,1361443.8281,1525929.5781,360398.8281,4968684.591785,4903841.091785,4454321.591785,7726221.091785,6838546.091785
"phenylalanine",27136.89648,30131.46094,18945.37891,16459.56055,6766.143555,44890.72656,113097.6719,68341.54688,101494.8047,89428.83594,257906.0313,53962.51563,107749.3281,246158.6875,157663.3281
"pipecolic acid",539579.460935,964423.961435,30897.929685,413928.929735,667035.523435,0,0,0,0,0,2710083.745115,191623.385715,415836.088915,871883.932615,209531.979515
"proline",2064505.64455,3787796.39455,68209.14455,1500354.76955,6625819.89455,0,0,0,0,0,210740253.9453,7543671.9453,36388721.9453,13643222.9453,11257101.9453
"pyridoxamine",0,0,0,0,1087409.379885,0,0,0,0,0,404104.00781,246197.88281,236330.44531,1014256.38331,496126.10161
"pyridoxine",1176636.39845,1116271.64845,1305107.14845,1343490.89845,62447430.64845,514565.90625,423839.40625,952986.28125,384343.65625,0,5099102.7148,1782377.9648,3228972.9648,2798650.4648,3086942.2148
"quinic acid",0,0,0,0,0,0,0,0,0,0,24532794.24609,19278758.24609,19125574.24609,19307280.24609,17875670.24609
"riboflavin",25776.56445,34829.27344,19531.27344,16918.50195,70661.78125,0,0,0,0,0,37610.30469,29008.18555,26636.99805,179944.6094,63493.91016
"serine",795869.44138,1114794.12888,520841.37888,676693.12888,0,82080.03121,207980.14061,0,76511.84371,88666.57811,2076287.45735833,512416.644858333,903856.769858333,1489800.83235833,1051582.45735833
"sn-glycero-3-phosphocholine",72444951.71875,70640495.71875,53071463.71875,49873259.71875,25476519.71875,15533643.46875,16219616.46875,15974159.46875,14128357.46875,13453454.46875,34033216,17340412,27716114,82714320,31767820
"sorbic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"suberic acid",222621.190945,309486.956545,268809.581545,333602.612845,9789507.706545,733532.226075,1139528.351075,1014159.039075,906248.976075,541252.538575,2250380.523435,1406144.148435,1317480.398435,1993558.023435,2395352.023435
"syringic acid and/or isomers",118717.075915,175181.755615,84682.372805,120711.294715,507165.974415,311694.2434575,337929.1496575,245168.1184575,573577.3371575,810858.7746575,1193097.831787,1399125.456787,673510.269287,737936.269287,951304.456787
"taurine",1204769.87892,2605983.62892,653963.62892,2071271.37892,18976975.12892,57448118.21875,60945458.21875,73199822.21875,73572654.21875,40274586.21875,154787551.0703,40763583.0703,58050363.0703,75602847.0703,98730247.0703
"tetrasaccharide (ex. stachyose)",5269577.03125,984321.78125,17378047.53125,574066.90625,0,0,0,0,0,0,53832.46094,0,0,29929.54297,26815.56445
"threonine/allothreonine/homoserine",3784548.73435,5791868.23435,1276931.10935,3810102.73435,2531239.98435,0,0,0,0,0,11006951.398455,930318.336455,10176667.398455,3013525.148455,1390565.148455
"thymidine",77196.390645,62511.210945,49784.210945,33448.718745,130371.750045,227420.53618,274882.50488,224212.97368,487012.75488,430230.00488,329111.20703,554256.64453,289658.89453,231105.97263,254415.26953
"thymine",0,0,0,0,0,0,0,0,0,0,2344652.125,1946422.375,779957.25,1651242.875,569076
"trans-cinnamic acid",28382.95508,41241.15821,24557.72461,24030.87696,28454.2168,0,0,22690.57811,0,16849.75001,1380828.27246,557967.58496,658717.77246,758542.45996,846317.83496
"trigonelline",0,0,0,0,815364.9375,3502382.73435,2623141.48435,2194715.23435,1983892.98435,1872988.73435,9706402.58595,3913719.83595,5863277.08595,7215252.08595,7360366.08595
"trisaccharide (ex. raffinose)",191162.3845195,174815.3220195,40515.0368595,99872.8689195,295579.0408195,0,0,0,0,0,15757846.883791,396830.290091,2310738.633791,649052.383791,619644.008791
"tryptophan",424383.5791,102267.0635,39058.34082,52023.0166,1821169.2666,47991.132815,46118.460935,31367.624995,98011.976535,63164.390625,1027872.830322,239017.267822,471565.767822,868222.017822,562332.392822
"tyramine",80701.24614,160156.27734,236412.30864,171558.90234,268702.43364,671370.589855,770005.339855,788356.902355,724167.652355,748898.714855,4831167.691405,3177513.441405,2395028.441405,9875464.691405,10672042.691405
"tyrosine",123543.09817,73441.48097,54538.0669,52708.43408,895223.61377,0,0,0,0,0,1753395.217285,234109.748585,685327.217285,775780.904785,502309.467285
"uracil",260752.617185,352130.335985,148192.679685,421428.523485,1977899.867185,216127.84277,116499.26467,152859.12407,618876.78027,575324.90527,1893163.972655,3342995.347655,931467.660155,1046265.597655,3278924.847655
"uridine",1484155.73827,1762424.86327,1239820.11327,1518899.73827,0,5008.69629,7167.66113,17613.82129,11503.93067,34537.69629,131167.5772,82959.2178,41687.07715,51465.13965,29318.34668
"uronic acid",1025.16144000003,0,0,0,566729.78644,0,0,0,0,0,8708552.10418,1233294.22918,4231932.10418,3416502.85418,1571115.97918
"valine",0,10965272.375,0,6963631.375,6707235.375,0,0,0,479079,0,26239805.3125,5288454.3125,11206498.3125,20971933.3125,8324814.3125
"vanillic acid",1424030.64746,1035588.52246,866721.58496,1298766.64746,3089301.89746,1750589.04492,2871979.41992,2073736.66992,3911211.41992,2627824.16992,9131997.19824,16793969.19824,8769831.19824,9735431.19824,18266829.19824
"xanthine",32306.917975,0,0,0,139202.402345,0,0,0,0,0,3553.25097,17479.38183,6968.77637,23514.91308,9659.10449
"xanthosine",15869620,16098356,6329906,16417260,42960.5,0,0,0,0,0,10200495.92185,17609583.92185,10467601.92185,6916887.92185,12303248.92185
