,logFC,level,p,Genus,ord
M00567,0.138015003825132,enriched,8.31544919220721e-08,M00567,0.0190481412808513
M00529,0.134741849246069,enriched,2.46388513710603e-06,M00529,0.0181553659382505
M00673,0.131616369773781,enriched,0.00699685111386411,M00673,0.0173228687924287
M00551,-0.130731301661207,depleted,0.0165413684357411,M00551,0.0170906732340336
M00550,0.129175773382446,enriched,0.000149135377245723,M00550,0.0166863804289531
M00014,-0.126936174668308,depleted,2.79317989769733e-07,M00014,0.0161127924394232
M00537,-0.126606441567804,depleted,0.00320884336914985,M00537,0.0160291910464618
M00008,-0.12633807633412,depleted,3.69167866577659e-10,M00008,0.015961309531806
M00097,-0.121010137373824,depleted,0.00015683725921706,M00097,0.0146434533472317
M00153,-0.12049254122117,depleted,2.02814313219275e-07,M00153,0.0145184524899354
M00079,-0.114635996674594,depleted,0.000800887479274073,M00079,0.0131414117335775
M00835,-0.114563417247387,depleted,0.00120556896472278,M00835,0.013124776571399
M00046,0.103970970400841,enriched,2.20571827763343e-08,M00046,0.0108099626860926
M00972,-0.103954404898792,depleted,5.25920485419192e-07,M00972,0.0108065182978621
M00006,-0.0989349272021737,depleted,9.01959802444733e-06,M00006,0.00978811982049942
M00568,-0.0935487367351399,depleted,0.000717984343598051,M00568,0.00875136614474051
M00032,-0.0912461653699738,depleted,1.58982327721841e-09,M00032,0.00832586269472461
M00053,0.0896606267367357,enriched,1.51839151131509e-07,M00053,0.00803902798682425
M00061,-0.0896233140375196,depleted,0.000604097678584523,M00061,0.00803233841906786
M00930,-0.0831084133226661,depleted,0.00980073920988248,M00930,0.00690700836501111
M00004,-0.0814765939113232,depleted,2.79894469363248e-07,M00004,0.00663843535539067
M00549,-0.0740371941988937,depleted,0.000778346352155311,M00549,0.00548150612484471
M00169,0.0734627225867328,enriched,9.33410985890253e-05,M00169,0.00539677160985527
M00925,-0.0731480448838226,depleted,0.000521176367474646,M00925,0.00535063647032572
M00038,-0.0709405419913381,depleted,0.00937404313932826,M00038,0.0050325604980248
M00535,0.0686147596629121,enriched,0.000738754691379001,M00535,0.00470798524359919
M00052,0.0680630528843292,enriched,0.000344511773748366,M00052,0.00463257916793499
M00007,-0.0679461955570516,depleted,1.15609870364428e-06,M00007,0.0046166854906771
M00555,-0.066030127365419,depleted,0.00825035953184305,M00555,0.00435997771989345
M00171,0.0629635159992453,enriched,0.00229924139435155,M00171,0.00396440434698722
M00432,0.061972226443454,enriched,3.01536925391526e-05,M00432,0.00384055685035874
M00938,0.0601032163659696,enriched,1.57574036968732e-05,M00938,0.00361239661753456
M00165,-0.0598315173705024,depleted,1.91141202614519e-08,M00165,0.00357981047085673
M00141,0.0592290242958537,enriched,0.00469467285668441,M00141,0.00350807731903882
M00844,0.0584588292143077,enriched,0.00027341240200976,M00844,0.0034174347131076
M00149,0.0567222350250678,enriched,0.00175485423936021,M00149,0.00321741194623902
M00545,-0.0563432604506176,depleted,0.00799147727618285,M00545,0.00317456299820613
M00144,0.0556624693429476,enriched,3.04388658881762e-05,M00144,0.00309831049335458
M00912,-0.0525657984267814,depleted,0.000804587153139256,M00912,0.00276316316424502
M00020,-0.0522660001044326,depleted,0.00314785594399445,M00020,0.00273173476691654
M00172,0.0522304381616217,enriched,0.00182179033716521,M00172,0.00272801867055498
M00029,0.0522022569390376,enriched,0.000321860578608833,M00029,0.0027250756295293
M00173,0.0495610626714012,enriched,0.000157787049632842,M00173,0.00245629893311856
M00035,0.0491103214898934,enriched,0.00576262206152799,M00035,0.00241182367684068
M00565,-0.0465806784865551,depleted,0.00519667618080567,M00565,0.00216975960826782
M00970,-0.046481401646429,depleted,0.00504970443699354,M00970,0.00216052069901666
M00051,0.0444197529854786,enriched,0.000548123107282621,M00051,0.00197311445529094
M00083,-0.0424094883177896,depleted,0.00165595854277724,M00083,0.00179856469937673
M00346,0.0341601576430028,enriched,0.0104187489615332,M00346,0.0011669163701948
M00016,-0.0318319355999012,depleted,0.00862260184043541,M00016,0.00101327212403626
M00374,0.0305621941220379,enriched,0.00960090446775251,M00374,0.00093404770955313
